map,run,mode,experiment_profile,filter_profile,filter_backend,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_published_frames,filter_rate_limited_frames,filter_max_publish_hz,filter_publish_duty_pct,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_guard_bounded,filter_replan_guard_active,filter_replan_guard_burst_s,filter_replan_guard_cooldown_s,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed1,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.83,5,5,0,0.378,True,241490,0,0.457,0.257,,,,,,,0,,,,,,,,,,,,6383,5180,1.12,-0.951,1.686,-24.495,24.051,-24.26,26.116,223.99,7.0,0.0,1787420224.611029,3.521,4.126,1787420225.248408,6.063,5.803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,466,277,189,5,59.442,7150180,2949197,41.246,True,70.601,False,21.674,21.279,False,0.6,1.4,1.5,0.2,3,2.899094,1,0,0,1787420236.49,1787420236.49,1787420237.22,,,,,,36,1.149885,0,True,True,False,0.6,1.4,3,15,False,23,23,21.674,395,238,13,1787420224.61,,,,,,,,,,,,,,,,,,,,,,,10647.578125,12.65821,7.6906604296875,4.9658994140625,1.387250140625,41.246,75.55257918037509,2.322553840949475,22.34530263377676,1,257,,
seed2,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08,5,5,0,0.46,True,241490,0,0.53,0.33,,,,,,,0,,,,,,,,,,,,6702,5607,1.11,-0.966,1.525,-25.9,24.025,-24.646,24.224,222.937,7.0,0.0,1787420296.755531,3.304,3.444,1787420297.432724,4.65,4.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,481,290,191,5,60.291,7420229,3172342,42.753,False,0,False,22.661,22.796,False,0.6,1.4,1.5,0.2,3,2.899955,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,28,28,22.661,363,247,13,1787420296.76,,,,,,,,,,,,,,,,,,,,,,,10828.174904942965,13.961409809885932,8.428809847908745,5.530995209125475,1.5557709125475285,42.753,80.53606060134264,2.3078642090236867,25.260552269022302,1,264,,
seed3,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.21,5,5,0,0.42,True,444850,0,0.526,0.326,,,,,,,0,,,,,,,,,,,,7119,6052,0.626,-1.35,1.664,-26.729,24.025,-25.229,26.259,224.993,7.0,0.0,1787420373.500727,2.789,3.12,1787420374.274753,3.825,4.317,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,429,288,141,5,67.133,9520538,4346417,45.653,True,33.1,False,20.047,21.441,False,0.6,1.4,1.5,0.2,3,2.8993,1,0,0,1787420420.08,1787420420.08,1787420420.25,,,,,,18,0.739911,0,True,True,False,0.6,1.4,3,15,False,28,28,20.047,343,234,9,1787420373.5,,,,,,,,,,,,,,,,,,,,,,,14854.11923076923,16.33470003846154,10.109253615384615,6.223780346153846,1.9711236384615385,45.653,75.70475412741771,2.4142051633518755,25.734567941768958,1,261,,
seed4,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.41,5,5,0,0.391,True,444850,0,0.497,0.297,,,,,,,0,,,,,,,,,,,,8638,7840,1.107,-0.971,1.068,-23.977,24.025,-26.039,26.555,229.632,7.0,0.0,1787420454.343534,2.203,3.326,1787420455.043818,2.203,3.326,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,522,331,191,5,63.41,12774961,6150282,48.143,True,71.264,False,29.31,29.821,True,0.6,1.4,1.5,0.2,3,2.899702,1,2,1,1787420482.44,1787420482.44,1787420483.36,1787420487.36,1787420488.57,1.209862,1787420516.92,28.349399,20,1.209862,0,True,True,False,0.6,1.4,3,15,False,27,27,17.241,384,215,12,1787420454.34,,,,,,,,,,,,,,,,,,,,,,,17609.192170818504,16.57545775800712,10.32828950177936,6.2453953024911035,1.876649380782918,48.143,63.40410195408371,2.5051348680008356,25.06671654563973,0,281,,
seed5,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.94,5,5,0,0.377,True,635500,0,0.457,0.257,,,,,,,0,,,,,,,,,,,,10094,8760,1.199,-0.821,2.036,-24.212,24.025,-25.845,25.123,225.755,7.0,0.0,1787420551.137311,3.253,3.282,1787420552.639272,4.974,4.534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,473,332,141,5,70.19,12836744,7128621,55.533,True,86.892,False,39.958,40.303,True,0.6,1.4,1.5,0.2,3,2.896614,1,1,0,1787420560.03,1787420560.03,1787420560.28,1787420577.49,1787420578.7,1.209888,,,15,1.209888,0,True,True,False,0.6,1.4,3,15,False,28,28,15.645,328,202,8,1787420551.14,,,,,,,,,,,,,,,,,,,,,,,20022.77606177606,19.683647335907335,12.188034517374517,7.493761274131274,2.2874031853281855,55.533,51.45228046009761,2.648683431467206,,0,259,,
seed6,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.98,5,5,0,0.33,True,635500,0,0.404,0.204,,,,,,,0,,,,,,,,,,,,10098,8983,0.778,-1.275,1.894,-23.975,24.025,-27.895,29.829,239.254,7.0,0.0,1787420662.147382,2.43,3.295,1787420663.117631,3.588,4.921,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,523,354,169,5,67.686,15614308,7368428,47.19,False,0,False,15.488,15.819,False,0.6,1.4,1.5,0.2,3,2.898931,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,27,27,15.488,346,198,12,1787420662.15,,,,,,,,,,,,,,,,,,,,,,,19147.242320819114,15.16486375426621,9.693260307167234,5.469634027303754,1.8306921058020478,47.19,52.14065534267525,2.784313201469792,24.12781277858685,0,293,,
seed7,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.4,5,5,0,0.387,True,838860,0,0.442,0.242,,,,,,,0,,,,,,,,,,,,11239,10090,0.963,-1.125,1.683,-25.923,24.025,-27.938,25.77,235.237,7.0,0.0,1787420773.200536,3.091,3.48,1787420773.876544,4.3,4.875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,558,391,167,5,70.072,19583649,9985847,50.991,True,52.509,False,24.373,25.28,True,0.6,1.4,1.5,0.2,3,2.899856,1,1,0,1787420826.42,1787420826.42,1787420827.09,1787420836.94,1787420838.15,1.20999,,,8,1.20999,0,True,True,False,0.6,1.4,3,15,False,23,23,12.724,349,183,12,1787420773.2,,,,,,,,,,,,,,,,,,,,,,,23200.610169491527,17.02608505084746,10.872837830508475,6.15129840677966,2.0531070067796606,50.991,47.3198157757664,2.917869025283753,26.6561682777279,0,295,,
seed8,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.28,5,5,0,0.431,True,838860,0,0.44,0.24,,,,,,,0,,,,,,,,,,,,9328,8350,1.354,-0.586,1.947,-26.714,24.061,-26.936,24.318,224.854,6.998,0.0,1787420896.811985,2.864,3.577,1787420897.513284,3.7,5.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,465,331,134,5,71.183,15520772,7837776,50.499,True,41.72,False,19.14,19.869,False,0.6,1.4,1.5,0.2,3,2.896257,1,0,0,1787420948.47,1787420948.47,1787420948.58,,,,,,31,1.130048,0,True,True,False,0.6,1.4,3,15,False,29,29,19.14,292,183,9,1787420896.81,,,,,,,,,,,,,,,,,,,,,,,21377.406015037595,17.218643909774435,10.949461766917292,6.267462293233082,2.1431184135338346,50.499,50.32806809357451,2.873342036959454,27.51498394050231,0,266,,
seed9,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.94,5,5,0,0.369,True,1042220,0,0.452,0.252,,,,,,,0,,,,,,,,,,,,10391,9707,1.112,-1.0,1.471,-23.975,24.025,-26.472,25.545,236.76,6.999,0.0,1787421004.892892,5.242,4.308,1787421001.128382,4.764,2.934,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,548,385,163,5,70.255,23659317,12475579,52.73,True,68.978,True,21.533,21.877,True,0.6,1.4,1.5,0.2,3,2.896827,1,1,0,1787421033.47,1787421033.47,1787421033.53,1787421089.88,1787421091.09,1.210079,,,42,1.210079,0,True,True,False,0.6,1.4,3,15,False,29,29,16.971,347,193,8,1787421000.37,,,,,,,,,,,,,,,,,,,,,,,30059.14652014652,16.577408388278386,10.607732051282051,5.967908021978022,2.26136221978022,52.73,48.93386367300089,3.158374284297748,27.7760014130491,0,273,,
seed10,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.47,5,5,1,0.195,True,1042220,0,0.321,0.121,,,,,,,1,live_cloud,2.7325,0.1995,5.629149913787842,3.4295499324798584,0.8777099847793579,0.62732,5.575669765472412,3.2373600006103516,0.8804299831390381,,11346,10830,0.643,-1.354,2.007,-26.336,24.067,-25.225,27.15,238.02,7.0,0.0,1787421119.326039,7.451,5.068,1787421119.947639,8.736,7.737,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,630,424,206,5,67.302,26026552,13740812,52.795,True,67.619,False,30.317,30.211,True,0.6,1.4,1.5,0.2,3,2.899916,1,1,0,1787421149.52,1787421149.52,1787421149.71,1787421156.66,1787421157.86,1.20014,,,6,1.20014,0,True,True,False,0.6,1.4,3,15,False,24,24,12.381,342,172,10,1787421119.33,,,,,,,,,,,,,,,,,,,,,,,30047.74061433447,18.402005836177473,11.748826518771331,6.651436962457338,2.3457408498293515,52.795,47.447793879519516,3.1512225212305642,,0,293,,
