map,run,mode,experiment_profile,filter_profile,filter_backend,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_published_frames,filter_rate_limited_frames,filter_max_publish_hz,filter_publish_duty_pct,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_guard_bounded,filter_replan_guard_active,filter_replan_guard_burst_s,filter_replan_guard_cooldown_s,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed1,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.78,5,5,0,0.435,True,241490,0,0.533,0.333,,,,,,,0,,,,,,,,,,,,6677,5270,1.075,-0.973,2.059,-25.254,24.091,-24.12,25.291,226.045,7.0,0.0,1787419101.842973,0.818,-0.33,1787419102.598822,3.728,1.931,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,559,313,246,5,55.993,8932069,3520848,39.418,True,89.445,False,21.646,21.608,False,0.6,1.4,1.5,0.2,3,2.899888,1,0,0,1787419103.58,1787419103.58,1787419103.95,,,,,,44,0.939972,0,True,True,False,0.6,1.4,3,15,False,26,26,21.646,399,251,12,1787419101.84,,,,,,,,,,,,,,,,,,,,,,,11163.83448275862,13.465147103448276,8.286415827586206,5.17691375862069,1.3952799344827587,39.418,80.96352570963178,2.2930432767812494,24.747660903756106,2,292,,
seed2,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.22,5,5,0,0.434,True,241490,0,0.464,0.264,,,,,,,0,,,,,,,,,,,,6016,4930,1.077,-1.012,1.274,-27.025,24.025,-25.245,24.504,222.003,7.001,0.0,1787419178.080734,3.305,3.445,1787419178.751845,4.65,4.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,503,287,216,5,57.058,7638265,2864982,37.508,True,64.215,False,20.676,21.564,False,0.6,1.4,1.5,0.2,3,2.899382,1,0,0,1787419196.12,1787419196.12,1787419196.31,,,,,,35,0.860061,0,True,True,False,0.6,1.4,3,15,False,23,23,20.676,355,247,11,1787419178.08,,,,,,,,,,,,,,,,,,,,,,,10083.14869888476,13.800161449814127,8.41512907063197,5.383329925650558,1.5411884981412638,37.508,87.52559651047797,2.279562776175474,23.047110792632772,1,270,,
seed3,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.94,5,5,0,0.393,True,444850,0,0.407,0.207,,,,,,,0,,,,,,,,,,,,8592,7174,1.421,-0.278,1.405,-24.143,24.154,-25.482,26.14,224.826,7.0,0.0,1787419247.796725,2.789,3.12,1787419248.568885,3.833,4.325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,426,289,137,5,67.84,9066731,4038639,44.543,False,0,False,20.892,21.478,False,0.6,1.4,1.5,0.2,3,2.897566,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,29,29,20.892,334,214,10,1787419247.8,,,,,,,,,,,,,,,,,,,,,,,12873.45564516129,14.59256697580645,9.003312701612902,5.587544677419355,1.7864398266129033,44.543,58.50865825083281,2.5102477009270197,27.149127099820163,0,248,,
seed4,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.43,5,5,0,0.4,True,444850,0,0.454,0.254,,,,,,,0,,,,,,,,,,,,8140,7370,0.709,-1.311,2.082,-25.443,24.025,-24.351,24.536,225.502,7.0,0.0,1787419343.681261,1.859,2.938,1787419344.342937,2.203,3.327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,498,322,176,5,64.659,11989850,5543176,46.232,False,0,False,17.871,17.075,False,0.6,1.4,1.5,0.2,3,2.899071,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,26,26,17.871,365,221,9,1787419343.68,,,,,,,,,,,,,,,,,,,,,,,16590.78647686833,15.031571637010675,9.547273024911032,5.482395658362989,1.6993860676156582,46.232,61.77842174560565,2.5842000693530105,21.32363556672019,0,281,,
seed5,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.32,5,5,0,0.31,True,635500,0,0.385,0.185,,,,,,,0,,,,,,,,,,,,9431,7590,1.011,-1.07,1.797,-24.597,24.025,-27.861,25.177,228.575,6.999,0.0,1787419435.668062,3.114,3.131,1787419436.500036,5.01,4.333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,500,342,158,5,68.4,13263489,6865205,51.76,True,88.6,False,33.8,34.858,True,0.6,1.4,1.5,0.2,3,2.894761,1,1,0,1787419441.71,1787419441.71,1787419442.21,1787419470.17,1787419471.38,1.20996,,,18,1.210126,0,True,True,False,0.6,1.4,3,15,False,31,31,17.8,303,196,10,1787419435.67,,,,,,,,,,,,,,,,,,,,,,,18348.403636363637,18.94237378181818,11.826613709090909,7.1140404,2.1206681818181816,51.76,54.3395518429362,2.768799947619789,21.558313788872606,0,275,,
seed6,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.91,5,5,0,0.405,True,635500,0,0.476,0.276,,,,,,,0,,,,,,,,,,,,9090,8097,0.928,-1.151,1.742,-25.545,24.025,-25.274,27.226,231.461,6.999,0.0,1787419539.709399,3.009,3.936,1787419540.353491,3.133,4.257,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,526,343,183,5,65.209,15950701,7460957,46.775,True,81.369,False,15.779,15.466,False,0.6,1.4,1.5,0.2,3,2.897629,1,0,0,1787419550.62,1787419550.62,1787419550.88,,,,,,59,1.080038,0,True,True,False,0.6,1.4,3,15,False,27,27,15.779,349,184,10,1787419539.71,,,,,,,,,,,,,,,,,,,,,,,19636.60516605166,16.34138811808118,10.377424132841329,5.961908671586716,1.959639782287823,46.775,55.913688332459536,2.9134066719673837,25.955363783154887,1,272,,
seed7,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.41,5,5,0,0.339,True,838860,0,0.368,0.168,,,,,,,0,,,,,,,,,,,,12241,11159,0.459,-1.374,1.688,-25.728,24.336,-24.534,24.776,247.263,7.0,0.0,1787419653.771336,15.965,13.839,1787419654.675892,19.381,17.947,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,615,432,183,5,70.244,22794157,11652632,51.121,True,35.285,True,17.886,16.919,True,0.6,1.4,1.5,0.2,3,2.898241,1,1,0,1787419716.07,1787419716.07,1787419716.65,1787419732.96,1787419734.17,1.209607,,,12,1.209607,0,True,True,False,0.6,1.4,3,15,False,22,22,11.707,338,171,13,1787419653.77,,,,,,,,,,,,,,,,,,,,,,,24578.890532544377,15.772198786982248,10.105450384615384,5.664848727810651,1.8691629792899407,51.121,44.316819008489624,0.0,26.980314731187736,0,338,,
seed8,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81,5,5,0,0.399,True,838860,0,0.474,0.274,,,,,,,0,,,,,,,,,,,,9681,8520,1.392,-0.506,1.967,-27.107,24.025,-25.988,24.039,238.58,7.001,0.0,1787419775.007707,2.581,1.654,1787419775.691118,4.174,1.967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,542,378,164,5,69.742,18704333,9077279,48.53,True,13.284,True,15.867,15.736,True,0.6,1.4,1.5,0.2,3,2.898555,1,1,0,1787419855.88,1787419855.88,1787419856,1787419865.37,1787419866.58,1.209779,,,6,1.209779,0,True,True,False,0.6,1.4,3,15,False,28,28,14.391,365,210,14,1787419775.01,,,,,,,,,,,,,,,,,,,,,,,21369.074324324323,16.674987905405406,10.466504695945947,6.206623006756757,2.1214600878378382,48.53,55.33275266677251,0.0,25.95958230556688,0,296,,
seed9,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6,5,5,0,0.387,True,1042220,0,0.468,0.268,,,,,,,0,,,,,,,,,,,,12360,11787,1.206,-0.796,1.472,-25.782,24.028,-26.333,24.876,245.451,7.0,0.0,1787419881.684959,1.684,2.493,1787419882.591578,3.259,6.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,590,426,164,5,72.203,26549797,14695495,55.351,True,57.966,False,22.542,22.704,True,0.6,1.4,1.5,0.2,3,2.890313,1,1,0,1787419933.63,1787419933.63,1787419933.74,1787419956,1787419957.21,1.209638,,,15,1.209638,0,True,True,False,0.6,1.4,3,15,False,24,24,10,337,176,9,1787419881.68,,,,,,,,,,,,,,,,,,,,,,,31029.160142348755,15.903429822064055,10.312092669039146,5.589423807829181,2.0341098861209965,55.351,42.08083974397527,3.223672911407095,28.723117764180703,0,281,,
seed10,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.33,5,5,0,0.327,True,1042220,0,0.426,0.226,,,,,,,0,,,,,,,,,,,,11232,10640,1.175,-0.872,2.098,-26.424,24.025,-25.013,25.933,249.584,7.001,0.309,1787420021.765053,10.258,11.182,1787420022.90416,13.593,13.166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,586,408,178,5,69.625,24661936,12439326,50.439,True,22.867,False,14.334,13.454,True,0.6,1.4,1.5,0.2,3,2.89991,1,1,0,1787420101.37,1787420101.37,1787420101.49,1787420114.26,1787420115.46,1.200028,,,10,1.200028,0,True,True,False,0.6,1.4,3,15,False,24,24,11.433,356,191,10,1787420021.76,,,,,,,,,,,,,,,,,,,,,,,28004.343971631206,16.187490425531912,10.216728829787233,5.968879716312056,2.194031283687943,50.439,48.35581052528806,3.0833108210188738,,0,282,,
