map,run,mode,experiment_profile,filter_profile,filter_backend,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_published_frames,filter_rate_limited_frames,filter_max_publish_hz,filter_publish_duty_pct,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_guard_bounded,filter_replan_guard_active,filter_replan_guard_burst_s,filter_replan_guard_cooldown_s,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed1,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.79,5,5,0,0.4,True,241490,0,0.458,0.258,,,,,,,0,,,,,,,,,,,,6708,5036,0.691,-1.262,2.063,-26.447,24.025,-24.262,26.332,231.096,7.001,0.0,1787435247.512776,2.352,2.679,1787435248.248299,4.783,4.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,578,332,246,5,57.439,8682934,3466665,39.925,True,26.298,False,19.896,21.372,False,0.6,1.4,1.5,0.2,3,2.900044,1,0,0,1787435294.72,1787435294.72,1787435294.84,,,,,,9,1.049962,0,True,True,False,0.6,1.4,3,15,False,26,26,19.896,352,221,8,1787435247.51,,,,,,,,,,,,,,,,,,,,,,,10680.400662251655,17.404898145695363,11.320570099337749,6.082341509933775,1.8879261026490066,39.925,100.55735102808522,2.9173026292887356,33.29197463174202,0,302,,
seed1,2,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.28,5,5,0,0.4,True,241490,0,0.409,0.209,,,,,,,0,,,,,,,,,,,,6566,5010,1.082,-0.961,1.615,-26.426,24.025,-23.981,25.268,226.156,6.999,0.0,1787435325.551058,0.848,3.296,1787435326.314883,1.452,3.597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,559,318,241,5,56.887,8436976,3165664,37.521,False,0,False,18.784,21.537,False,0.6,1.4,1.5,0.2,3,2.899189,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,24,24,18.784,353,215,6,1787435325.55,,,,,,,,,,,,,,,,,,,,,,,10269.824137931035,16.68308544827586,10.745445068965516,5.935771586206896,1.8752961000000001,37.521,95.18453541000672,2.9323631210451753,29.72528390885682,0,290,,
seed1,3,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.32,5,5,0,0.389,True,241490,0,0.408,0.208,,,,,,,0,,,,,,,,,,,,6375,4947,1.05,-1.03,1.655,-27.764,24.025,-26.273,27.01,226.298,7.0,0.0,1787435402.855264,1.897,1.834,1787435403.46905,2.271,2.606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,547,309,238,5,56.49,8103940,3159905,38.992,False,0,False,21.389,22.681,False,0.6,1.4,1.5,0.2,3,2.899546,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,24,24,21.389,326,202,7,1787435402.85,,,,,,,,,,,,,,,,,,,,,,,10445.762589928057,16.95128917266187,10.844418489208634,6.104812769784172,1.9897468309352517,38.992,99.26459330721042,2.84113417644939,,0,278,,
seed1,4,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,5,5,0,0.34,True,241490,0,0.347,0.147,,,,,,,0,,,,,,,,,,,,6662,5220,1.099,-0.957,1.862,-26.812,24.025,-24.268,25.571,227.885,7.002,0.0,1787435477.500904,2.878,3.496,1787435478.194185,3.642,4.126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,584,330,254,5,56.507,9166630,3583200,39.09,False,0,False,20.034,21.992,False,0.6,1.4,1.5,0.2,3,2.900349,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,25,25,20.034,348,233,8,1787435477.5,,,,,,,,,,,,,,,,,,,,,,,11250.96,17.475159866666665,11.296020166666667,6.177125706666667,1.91943658,39.09,101.78636358330488,2.8896045278726863,32.59841457155932,0,300,,
seed1,5,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.48,5,5,0,0.413,True,241490,0,0.464,0.264,,,,,,,0,,,,,,,,,,,,6890,5300,1.183,-0.825,1.962,-26.518,24.025,-23.975,26.432,225.774,7.002,0.0,1787435555.844077,2.039,1.91,1787435556.489312,2.509,2.675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,567,328,239,5,57.848,8668966,3548733,40.936,False,0,False,19.4,20.712,False,0.6,1.4,1.5,0.2,3,2.898671,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,26,26,19.4,358,233,8,1787435555.84,,,,,,,,,,,,,,,,,,,,,,,11199.023255813954,17.031205548172757,11.02740561461794,6.001750930232558,1.8687197475083057,40.936,97.06977963457756,2.9354820452763337,,0,301,,
seed2,1,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.75,5,5,0,0.471,True,241490,0,0.499,0.299,,,,,,,0,,,,,,,,,,,,5927,4670,1.051,-1.058,1.635,-25.309,24.025,-25.634,24.178,221.581,7.0,0.0,1787435635.286079,4.051,4.257,1787435635.967624,5.14,5.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,565,311,254,5,55.044,8681697,3167940,36.49,False,0,False,19.292,21.411,False,0.6,1.4,1.5,0.2,3,2.898804,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,21,21,19.292,343,209,7,1787435635.29,,,,,,,,,,,,,,,,,,,,,,,10687.112676056338,18.19598246478873,11.843093028169015,6.350940950704226,2.0288142676056338,36.49,106.74026361037117,2.99330124518051,36.55275144331341,0,284,,
seed2,2,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.94,5,5,0,0.374,True,241490,0,0.418,0.218,,,,,,,0,,,,,,,,,,,,5957,4790,0.963,-1.118,1.513,-25.177,24.025,-25.425,24.228,220.571,7.0,0.0,1787435705.73266,3.878,4.011,1787435706.342898,4.051,4.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,540,308,232,5,57.037,8336034,3287519,39.437,False,0,False,20.556,22.725,False,0.6,1.4,1.5,0.2,3,2.899768,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,23,23,20.556,300,197,8,1787435705.73,,,,,,,,,,,,,,,,,,,,,,,11093.779783393502,18.120022996389892,11.625377472924187,6.4925807942238265,2.023924133574007,39.437,104.02473457006361,2.864041156170026,30.552946862842482,0,277,,
seed2,3,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.12,5,5,0,0.436,True,241490,0,0.513,0.313,,,,,,,0,,,,,,,,,,,,6264,4850,0.591,-1.369,1.921,-25.979,24.025,-25.2,24.243,219.609,7.004,0.0,1787435776.683797,4.038,4.211,1787435777.301978,4.626,4.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,544,312,232,5,57.353,8138380,3167889,38.925,False,0,False,19.669,22.701,False,0.6,1.4,1.5,0.2,3,2.899114,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,23,23,19.669,329,202,8,1787435776.68,,,,,,,,,,,,,,,,,,,,,,,10514.293286219081,17.8031454770318,11.508477137809187,6.29267377385159,1.9922110212014132,38.925,97.85643197972576,2.8846284063823195,33.12121207626301,0,283,,
seed2,4,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.98,5,5,0,0.421,True,241490,0,0.509,0.309,,,,,,,0,,,,,,,,,,,,5645,4555,1.094,-0.999,1.503,-24.884,24.025,-25.224,24.268,219.077,7.001,0.0,1787435851.627512,4.059,4.283,1787435852.264324,4.65,4.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,530,295,235,5,55.66,7916808,2945803,37.209,False,0,False,19.811,20.162,False,0.6,1.4,1.5,0.2,3,2.899459,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,21,21,19.811,300,187,9,1787435851.63,,,,,,,,,,,,,,,,,,,,,,,10393.810606060606,18.297365075757575,11.74874303030303,6.546529734848485,2.1224268787878784,37.209,102.0734483577935,2.9752929899651437,36.688276239103374,0,264,,
seed2,5,adaptive,,strict-burst,cpp,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.28,5,5,0,0.358,True,241490,0,0.466,0.266,,,,,,,0,,,,,,,,,,,,5994,4900,1.078,-1.021,1.691,-25.035,24.025,-25.237,24.289,220.207,7.001,0.0,1787435920.430785,4.559,4.866,1787435921.118792,5.073,6.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0.6,1.2,1.5,2,1.5,541,306,235,5,56.562,8402500,3249720,38.676,False,0,False,20.702,23.379,False,0.6,1.4,1.5,0.2,3,2.899686,0,0,0,,,,,,,,,0,0,,True,True,False,0.6,1.4,3,15,False,22,22,20.702,335,188,7,1787435920.43,,,,,,,,,,,,,,,,,,,,,,,10981.192727272728,17.863087345454545,11.48412250909091,6.377014654545454,2.0249873418181816,38.676,101.46564627352994,2.9447044700238445,32.79354637147954,0,275,,
