map,run,mode,experiment_profile,filter_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_guard_bounded,filter_replan_guard_active,filter_replan_guard_burst_s,filter_replan_guard_cooldown_s,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed1,1,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.77,5,5,0,0.372,True,241490,0,0.376,0.176,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run1_adaptive.json,5877,4510,1.122,-0.966,1.143,-24.476,24.312,-25.56,25.07,224.913,7.001,0.0,1787396161.736799,1.17,-0.499,1787396162.063653,2.343,0.532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,524,8037380,4776290,59.426,True,89.695,False,10.687,10.43,False,0.6,1.4,1.5,0.2,3.0,2.899827,1,0,0,1787396163.349549,1787396163.349549,1787396164.399885,,,,,,39,1.049973,0.0,True,True,False,0.25,1.75,3,15,False,25,25,10.687,443,276,12,1787396161.73578,,,,,,,,,,,,,,,,,,,,,,,9093.847736625514,10.955179567901235,6.822715555555556,4.130889226337448,0.9360074547325103,59.426,98.98083514567575,10.371349490239147,21.444130062759445,2,488,,
seed1,2,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.58,5,5,0,0.425,True,241490,0,0.509,0.309,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run2_adaptive.json,6058,4760,1.05,-1.049,1.534,-25.647,24.025,-24.337,26.523,226.663,7.0,0.0,1787396230.77905,2.222,0.082,1787396231.254706,3.707,1.751,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,481,7568514,4594449,60.705,True,55.094,False,9.356,8.847,False,0.6,1.4,1.5,0.2,3.0,2.899763,1,0,0,1787396256.003054,1787396256.003054,1787396256.173156,,,,,,25,0.82995,0.0,True,True,False,0.25,1.75,3,15,False,24,24,9.356,386,272,10,1787396230.776705,,,,,,,,,,,,,,,,,,,,,,,9772.74606741573,11.430252719101125,7.167239056179775,4.261353865168539,1.0682919707865168,60.705,97.07561716112222,10.632992060603279,24.748809841128296,0,445,,
seed1,3,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.31,5,5,0,0.402,True,241490,0,0.405,0.205,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run3_adaptive.json,5930,4660,1.216,-0.764,1.957,-26.625,24.025,-24.403,25.456,224.274,6.999,0.0,1787396301.170236,1.896,0.257,1787396301.653425,3.699,2.217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,509,7736840,4707126,60.84,True,61.69,False,11.198,10.942,False,0.6,1.4,1.5,0.2,3.0,2.898791,1,0,0,1787396322.172235,1787396322.172235,1787396322.43217,,,,,,26,0.69015,0.0,True,True,False,0.25,1.75,3,15,False,25,25,11.198,404,263,13,1787396301.169231,,,,,,,,,,,,,,,,,,,,,,,9340.501061571125,11.356585923566879,7.134781677282377,4.220294573248407,1.0247332866242038,60.84,99.82807313670429,11.102027357157263,23.893580796104942,0,471,,
seed1,4,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.25,5,5,0,0.434,True,241490,0,0.516,0.316,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run4_adaptive.json,6024,4480,1.26,-0.765,1.591,-24.77,24.025,-25.447,24.847,225.766,7.001,0.0,1787396371.670575,4.517,2.143,1787396372.426978,6.084,4.912,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,541,8337446,4890597,58.658,True,63.031,False,10.351,11.638,False,0.6,1.4,1.5,0.2,3.0,2.899884,1,1,1,1787396387.817314,1787396387.817314,1787396388.34744,1787396398.127182,1787396399.328658,1.201475,1787396405.267186,5.938528,26,1.201475,0.0,True,True,False,0.25,1.75,3,15,False,24,24,7.948,403,262,11,1787396371.669674,,,,,,,,,,,,,,,,,,,,,,,8875.735353535354,11.196581010101012,7.032248747474748,4.162673143434344,0.9883755616161617,58.658,96.42735622691434,11.244832295002103,24.490326811156965,0,495,,
seed1,5,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.43,5,5,0,0.349,True,241490,0,0.452,0.252,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run5_adaptive.json,5742,4430,0.759,-1.228,1.668,-25.683,24.025,-24.566,25.486,224.884,7.0,0.0,1787396440.851294,3.013,1.334,1787396441.465555,3.751,2.605,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,514,8282438,5010638,60.497,True,45.136,False,9.144,8.972,False,0.6,1.4,1.5,0.2,3.0,2.899974,1,0,0,1787396469.613261,1787396469.613261,1787396470.903302,,,,,,18,0.550124,0.0,True,True,False,0.25,1.75,3,15,False,24,24,9.144,399,260,11,1787396440.850471,,,,,,,,,,,,,,,,,,,,,,,9754.365180467092,10.801056050955413,6.810726985138005,3.9887798322717622,0.9770013630573248,60.497,97.49247321478191,10.835164075432036,22.53657417118438,0,471,,
seed2,1,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,5,5,0,0.448,True,241490,0,0.509,0.309,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run1_adaptive.json,5297,4210,0.952,-1.068,2.121,-25.18,24.025,-25.86,24.261,222.35,6.999,0.0,1787396508.075438,2.971,3.094,1787396508.415792,4.027,4.246,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,484,7481108,4384726,58.611,True,26.653,False,10.537,10.788,False,0.6,1.4,1.5,0.2,3.0,2.899651,1,0,0,1787396545.527136,1787396545.527136,1787396546.417157,,,,,,11,0.629686,0.0,True,True,False,0.25,1.75,3,15,False,23,23,10.537,388,248,11,1787396508.074123,,,,,,,,,,,,,,,,,,,,,,,9204.529147982063,11.876597040358744,7.446007578475337,4.4289854887892375,1.0996188677130045,58.611,103.83218589092218,11.459141373093853,25.15584597456109,0,446,,
seed2,2,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.65,5,5,0,0.433,True,241490,0,0.471,0.271,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run2_adaptive.json,5864,4700,1.139,-0.932,1.7,-26.347,24.025,-24.971,24.339,222.774,7.001,0.0,1787396571.341426,3.208,3.343,1787396571.639683,4.039,4.255,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,476,7268769,4107977,56.515,True,63.445,False,9.034,9.221,False,0.6,1.4,1.5,0.2,3.0,2.899505,1,0,0,1787396589.183403,1787396589.183403,1787396589.283717,,,,,,29,0.949959,0.0,True,True,False,0.25,1.75,3,15,False,23,23,9.034,395,248,13,1787396571.340486,,,,,,,,,,,,,,,,,,,,,,,8791.585421412301,11.131321845102505,7.012465375854214,4.117154277904327,1.0032077949886105,56.515,92.88344054292004,10.937107543338414,23.958008267707193,0,439,,
seed2,3,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28,5,5,0,0.452,True,241490,0,0.519,0.319,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run3_adaptive.json,6019,4928,1.101,-0.953,1.785,-24.671,24.025,-25.01,24.316,224.482,7.001,0.0,1787396639.764067,3.388,3.533,1787396640.112259,4.566,4.762,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,588,9540384,5641054,59.128,True,71.939,False,9.524,10.389,False,0.6,1.4,1.5,0.2,3.0,2.899687,1,0,0,1787396653.405776,1787396653.405776,1787396653.505943,,,,,,32,0.599966,0.0,True,True,False,0.25,1.75,3,15,False,25,25,9.524,423,259,9,1787396639.762989,,,,,,,,,,,,,,,,,,,,,,,9657.108058608059,11.301178498168499,7.2523700915750915,4.047124492673992,0.9246787527472528,59.128,100.37668899491379,11.728420958934585,25.570532344046004,0,546,,
seed2,4,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.69,5,5,0,0.446,True,241490,0,0.53,0.33,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run4_adaptive.json,5368,4230,1.046,-1.048,1.834,-24.86,24.115,-25.329,24.594,221.61,6.998,0.0,1787396709.968191,2.875,2.993,1787396710.430715,4.072,4.301,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,447,6788887,3825031,56.343,True,28.412,False,9.172,10.162,False,0.6,1.4,1.5,0.2,3.0,2.898921,1,0,0,1787396748.124318,1787396748.124318,1787396748.4942,,,,,,11,0.900084,0.0,True,True,False,0.25,1.75,3,15,False,23,23,9.172,393,246,9,1787396709.967101,,,,,,,,,,,,,,,,,,,,,,,8543.60687960688,11.387998476658476,7.137563931203931,4.248711597051597,1.0817618206388206,56.343,96.60955233554775,10.933465386679304,24.15305391239966,0,407,,
seed2,5,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.13,5,5,0,0.436,True,241490,0,0.508,0.308,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan025_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run5_adaptive.json,5707,4537,0.846,-1.147,1.566,-25.093,24.025,-26.172,24.765,221.644,7.0,0.0,1787396774.468021,3.95,4.187,1787396774.783667,4.202,4.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,499,7656667,4348946,56.799,True,72.745,False,9.619,9.897,False,0.6,1.4,1.5,0.2,3.0,2.900001,1,0,0,1787396785.165693,1787396785.165693,1787396785.395827,,,,,,36,0.619596,0.0,True,True,False,0.25,1.75,3,15,False,24,24,9.619,342,233,10,1787396774.46683,,,,,,,,,,,,,,,,,,,,,,,8615.668859649122,11.413976513157895,7.254092960526315,4.158377105263158,0.9863764605263158,56.799,92.67684150703352,11.56235649065857,25.93851136039549,0,456,,
