map,run,mode,experiment_profile,filter_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_published_frames,filter_rate_limited_frames,filter_max_publish_hz,filter_publish_duty_pct,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_recovery_active,filter_open_burst_s,filter_open_cooldown_s,filter_near_field_radius_m,filter_near_field_speed_gain_s,filter_near_field_max_radius_m,filter_max_effective_near_field_radius_m,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,filter_replan_guard_en,filter_replan_guard_bounded,filter_replan_guard_active,filter_replan_guard_burst_s,filter_replan_guard_cooldown_s,filter_replan_fail_streak_open,filter_replan_ok_streak_close,filter_replan_guard_open,filter_replan_guard_open_transitions,filter_replan_guard_close_transitions,filter_replan_guard_open_duty_pct,filter_replan_status_count,filter_replan_fail_count,filter_max_replan_fail_streak,filter_first_replan_guard_open_time_s,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed1,1,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03,5,5,0,0.446,True,241490,0,0.492,0.292,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run1_adaptive.json,6402,5210,1.15,-0.897,1.232,-26.399,24.073,-24.135,24.836,226.617,7.0,0.0,1787401975.145272,1.156,-0.671,1787401975.754585,2.748,1.135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,536,304,232,5.0,56.716,8180890,3199384,39.108,True,50.56,False,22.575,22.811,False,0.6,1.4,1.5,0.2,3.0,2.896876,1,0,0,1787402005.299361,1787402005.299361,1787402005.599155,,,,,,28,1.109401,0.0,True,True,False,0.6,1.4,3,15,False,25,25,22.575,416,258,11,1787401975.14431,,,,,,,,,,,,,,,,,,,,,,,10299.541516245486,12.958324476534296,7.73169963898917,5.225003104693141,1.4366347328519855,39.108,85.79502830897447,10.04944568370776,21.43255615438047,1,278,,
seed1,2,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.27,5,5,0,0.379,True,241490,0,0.489,0.289,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run2_adaptive.json,7826,6390,1.191,-0.869,1.688,-24.322,24.025,-24.173,25.497,226.614,7.0,0.0,1787402049.927543,1.425,-0.619,1787402050.558694,2.613,1.106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,571,335,236,5.0,58.669,9054850,3666550,40.493,False,0.0,False,19.264,18.77,False,0.6,1.4,1.5,0.2,3.0,2.90003,0,0,0,,,,,,,,,0,0.0,,True,True,False,0.6,1.4,3,15,False,25,25,19.264,374,244,11,1787402049.925592,,,,,,,,,,,,,,,,,,,,,,,10607.47213114754,12.622160426229508,7.68759344262295,4.933012068852459,1.3254789114754097,40.493,71.15664470691321,10.763394038794726,,0,305,,
seed1,3,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.03,5,5,0,0.432,True,241490,0,0.474,0.274,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run3_adaptive.json,5903,4390,0.998,-0.968,1.019,-24.695,24.025,-25.585,26.641,223.49,6.999,0.0,1787402138.017872,2.437,0.827,1787402138.672369,3.807,2.306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,492,289,203,5.0,58.74,7459759,3073726,41.204,False,0.0,False,21.138,20.906,False,0.6,1.4,1.5,0.2,3.0,2.899768,0,0,0,,,,,,,,,0,0.0,,True,True,False,0.6,1.4,3,15,False,23,23,21.138,409,262,10,1787402138.016828,,,,,,,,,,,,,,,,,,,,,,,10446.756653992396,13.41374494296578,8.028251634980988,5.384006235741444,1.5789598935361215,41.204,92.33032823043922,10.381572973471634,22.272522220148822,0,263,,
seed1,4,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.21,5,5,0,0.325,True,241490,0,0.444,0.244,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run4_adaptive.json,6620,5018,0.781,-1.238,1.754,-24.577,24.025,-24.787,25.403,229.965,7.0,0.0,1787402207.431632,1.857,0.317,1787402208.222716,3.758,2.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,532,308,224,5.0,57.895,8056265,3110447,38.609,True,63.91,False,21.053,20.725,False,0.6,1.4,1.5,0.2,3.0,2.899359,1,0,0,1787402226.665334,1787402226.665334,1787402226.985553,,,,,,35,1.040133,0.0,True,True,False,0.6,1.4,3,15,False,24,24,21.053,376,224,12,1787402207.428803,,,,,,,,,,,,,,,,,,,,,,,9770.829181494662,13.39010099644128,8.149009252669039,5.239513736654804,1.454992,38.609,77.90741803109516,10.458797272045294,23.0501320618633,0,281,,
seed1,5,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.93,5,5,0,0.344,True,241490,0,0.42,0.22,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed1_run5_adaptive.json,6092,4630,1.187,-0.895,1.358,-24.581,24.025,-25.556,26.007,224.221,7.0,0.0,1787402284.163912,1.625,0.101,1787402284.877863,3.797,2.302,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,531,290,241,5.0,54.614,8307277,3216840,38.723,False,0.0,False,19.962,20.43,False,0.6,1.4,1.5,0.2,3.0,2.899312,0,0,0,,,,,,,,,0,0.0,,True,True,False,0.6,1.4,3,15,False,25,25,19.962,387,252,11,1787402284.148151,,,,,,,,,,,,,,,,,,,,,,,10741.884615384615,13.484364961538462,8.140080653846153,5.342492611538462,1.5423778038461537,38.723,86.42144680142687,10.432857248217369,,0,260,,
seed2,1,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.26,5,5,0,0.421,True,241490,0,0.501,0.301,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run1_adaptive.json,5520,4370,0.986,-0.855,1.732,-25.013,24.025,-25.306,24.727,222.373,7.001,0.0,1787402355.132034,3.162,3.295,1787402355.831084,4.011,4.194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,522,290,232,5.0,55.556,8312159,3149193,37.887,True,56.513,False,22.989,23.415,False,0.6,1.4,1.5,0.2,3.0,2.898187,1,0,0,1787402377.362817,1787402377.362817,1787402377.672556,,,,,,25,0.480271,0.0,True,True,False,0.6,1.4,3,15,False,23,23,22.989,368,248,11,1787402355.130991,,,,,,,,,,,,,,,,,,,,,,,10511.480916030534,14.281437709923665,8.527748702290078,5.752027900763359,1.6573744007633588,37.887,94.0948638831156,10.408877472576588,25.16694445480006,0,262,,
seed2,2,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.52,5,5,0,0.413,True,241490,0,0.511,0.311,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run2_adaptive.json,5735,4638,0.588,-1.341,1.63,-25.017,24.078,-25.361,24.379,221.727,7.0,0.0,1787402420.577784,3.551,3.753,1787402421.189955,3.985,4.237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,467,272,195,5.0,58.244,6946809,2800531,40.314,False,0.0,False,25.054,25.687,False,0.6,1.4,1.5,0.2,3.0,2.899687,0,0,0,,,,,,,,,0,0.0,,True,True,False,0.6,1.4,3,15,False,26,26,25.054,350,260,14,1787402420.576976,,,,,,,,,,,,,,,,,,,,,,,10129.282258064517,14.383858427419355,8.517151572580644,5.865232782258064,1.716324931451613,40.314,91.92172853803818,9.903967511880618,25.70310743312534,0,248,,
seed2,3,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.08,5,5,0,0.401,True,241490,0,0.491,0.291,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run3_adaptive.json,6405,5270,0.901,-1.178,1.972,-24.922,24.025,-25.052,24.338,220.516,7.0,0.0,1787402488.026397,3.163,3.295,1787402488.640836,4.087,4.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,512,290,222,5.0,56.641,7637902,2944531,38.552,False,0.0,False,22.461,23.89,False,0.6,1.4,1.5,0.2,3.0,2.898784,0,0,0,,,,,,,,,0,0.0,,True,True,False,0.6,1.4,3,15,False,26,26,22.461,366,240,13,1787402488.025388,,,,,,,,,,,,,,,,,,,,,,,9831.409266409266,13.275091544401544,7.947875212355211,5.325418146718146,1.5482801660231662,38.552,77.51312826022446,10.548612781754125,23.990575792136227,0,259,,
seed2,4,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.26,5,5,0,0.472,True,241490,0,0.598,0.398,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run4_adaptive.json,5816,4750,1.044,-1.02,1.748,-24.539,24.025,-25.183,24.381,222.814,7.001,0.0,1787402562.33788,2.827,2.943,1787402563.012353,4.104,4.322,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,516,283,233,5.0,54.845,8064706,2957573,36.673,True,26.938,False,21.899,22.978,False,0.6,1.4,1.5,0.2,3.0,2.899658,1,0,0,1787402603.705981,1787402603.705981,1787402604.126107,,,,,,13,0.70003,0.0,True,True,False,0.6,1.4,3,15,False,24,24,21.899,375,257,10,1787402562.335922,,,,,,,,,,,,,,,,,,,,,,,10291.529411764706,14.273802862745098,8.709702274509803,5.5624849411764705,1.6415196901960785,36.673,95.93789338967404,9.872537489406826,,0,255,,
seed2,5,adaptive,,strict-burst,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.21,5,5,0,0.421,True,241490,0,0.519,0.319,,,,,,,0,,,,,,,,,,,../../tmp/adaptive_replan060_cap5_strict_v7_seed1_10_n5_20260822_artifacts/seed2_run5_adaptive.json,6713,5470,1.457,0.313,1.759,-25.924,24.32,-25.022,24.135,221.83,7.001,0.0,1787402630.547858,3.384,3.537,1787402631.301467,4.439,4.709,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,489,285,204,5.0,58.282,7370771,2923954,39.67,False,0.0,False,21.063,22.019,False,0.6,1.4,1.5,0.2,3.0,2.896351,0,0,0,,,,,,,,,0,0.0,,True,True,False,0.6,1.4,3,15,False,24,24,21.063,368,228,13,1787402630.547037,,,,,,,,,,,,,,,,,,,,,,,10008.3046875,13.520287734375001,8.1667997265625,5.351935546875,1.5645928671875,39.67,76.21162863413258,10.335803736991512,,0,256,,
