map,mode,n,complete,completion_pct,collision_runs,collision_events,run_valid_count,speed_limit_valid_count,resource_valid_count,first_attempt_count,retry_total,resource_abort_total,algorithm_cpu_scope,end_to_end_cpu_scope,mission_time_mean_all_s,mission_time_sd_all_s,mission_time_mean_success_s,mission_time_min_s,mission_time_max_s,clearance_mean_m,clearance_min_m,clearance_below_0p20_count,effective_full_open_total,effective_full_open_mean,system_available_min_mib,system_peak_swap_max_mib,psi_some_avg10_max,psi_full_avg10_max,preflight_wait_mean_s,mission_time_s,map_compute_ms_per_frame,algorithm_cores_mean,algorithm_core_s,algorithm_cores_p95_1s,algorithm_peak_pss_mib,end_to_end_cores_mean,end_to_end_core_s,end_to_end_cores_p95_1s,end_to_end_peak_pss_mib,planner_ingress_mib_s,dds_algorithm_mib_s
seed1,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,61.1,0.9441162828569127,61.1,59.32,62.9,0.2653,0.161,1,0,,4032.109375,2047.96875,0.0,0.0,5.00629860140034,61.1,35.78712520277707,1.5357173859934028,96.8019193,1.7984931867682283,3406.315625,1.5942768237782163,100.4934457,1.8608919754421742,3453.20166015625,5.357759151531942,
seed1,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,60.162,1.1326939372820688,60.162,58.36,62.41,0.2605,0.218,0,0,0.0,5208.86328125,2047.96875,0.0,0.0,5.0058165926981015,60.162,9.310970794969322,1.0567164059152339,65.2643064,1.2353716472007725,3152.38046875,1.3082975508598063,80.8007694,1.4973160337403437,3347.37529296875,1.3964159533708984,1.3964159533708984
seed1,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,59.484,2.341942213918467,59.484,56.03,62.65,0.2994,0.256,0,203,20.3,5156.70703125,2047.96875,0.0,0.0,5.00615768339776,59.484,21.18554522703642,1.084123535883538,66.3528645,1.2807766869435735,3163.6248046875,1.3704672245869578,83.8861734,1.5743471679899228,3374.98603515625,1.2505571702072453,1.2532974779593862
seed2,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,54.398,3.041062679758874,54.398,50.92,59.59,0.3079,0.245,0,0,,5172.39453125,2047.8671875,0.0,0.0,5.008296811304172,54.398,29.67528962354201,1.4414321534107615,81.1836332,1.6282197945916705,3440.174609375,1.4886392848449719,83.8488098,1.6754886097005623,3487.05546875,5.337915124092642,
seed2,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,53.803,1.4392208540271596,53.803,51.49,55.86,0.30069999999999997,0.169,1,0,0.0,5148.16015625,2047.87109375,0.0,0.0,5.0076829887999335,53.803,8.569415554393355,1.0526292791736878,58.4138137,1.2126334815220947,3150.73935546875,1.280626609502302,71.0777247,1.4415740921058375,3347.12646484375,1.2556520151317645,1.2556520151317645
seed2,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,53.943,2.559418553760469,53.943,49.45,57.44,0.3149,0.223,0,218,21.8,5085.87109375,2047.8671875,0.0,0.0,5.007535625797755,53.943,15.629533135837432,1.0439444779415912,57.899245199999996,1.2208594201490999,3160.6123046875,1.2976193136290175,72.00858769999999,1.4802912234262877,3368.52158203125,1.0757362064115419,1.0784971519655462
seed3,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,55.796,2.7722922725507217,55.796,51.3,60.36,0.2881,0.176,1,0,,5003.09375,2046.48046875,0.0,0.0,5.008253422001144,55.796,31.33060105725033,1.4417369719432434,83.2767514,1.6399276436199024,3536.5142578125,1.486121284152632,85.8426915,1.6844649715366733,3582.72392578125,7.682058379500029,
seed3,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.371,1.887976282807716,54.371,50.7,56.62,0.295,0.246,0,0,0.0,5135.7265625,2046.4765625,0.0,0.0,5.008443116501439,54.371,9.119922377463281,1.057245302228446,59.2054647,1.206111537955489,3158.52509765625,1.2829952594208478,71.85649219999999,1.4314068327539093,3370.5734375,1.9205652722441235,1.9205652722441235
seed3,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,54.778999999999996,2.4520352091001203,54.778999999999996,52.21,59.52,0.2834,0.253,0,226,22.6,5138.93359375,2046.48046875,0.0,0.0,5.009035603402299,54.778999999999996,17.097881435943126,1.0497567962214358,59.105237,1.2253714359061394,3170.2943359375,1.3084263951519632,73.6833111,1.4774981601985142,3408.61650390625,1.5666843847092529,1.5694455899870434
seed4,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,60.546,2.9810221960484182,60.546,55.98,64.59,0.2701,0.23,0,0,,4908.625,2046.4296875,0.0,0.0,5.009050728401053,60.546,30.752994685233126,1.4305833824330059,89.0769265,1.6240303961801594,3525.8794921875,1.4754023741710784,91.8671949,1.670315412417858,3572.432421875,8.18335982797444,
seed4,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,60.899,4.21166488589858,60.899,54.39,68.1,0.2685,0.227,0,0,0.0,4857.35546875,2046.4296875,0.0,0.0,5.008732584393874,60.899,8.981453134278924,1.0157129752910667,63.2112258,1.204145770721812,3169.08408203125,1.252905145713834,78.0008438,1.438419720165212,3380.733203125,2.3351023832842728,2.3351023832842728
seed4,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,58.521,1.7763348658278242,58.521,55.04,60.47,0.2368,0.108,2,180,18.0,5061.33984375,2046.4296875,0.0,0.0,5.009321147999435,58.521,20.518127805873686,1.0558986045191383,63.4113639,1.2425624458686741,3178.9185546875,1.320226122750649,79.2937579,1.5085599060687913,3421.77177734375,1.9181359234571873,1.920877972193271
seed5,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,57.99,2.935347793135708,57.99,54.16,63.15,0.2425,0.203,0,0,,4958.9609375,2044.3046875,0.0,0.0,5.008645713099395,57.99,34.295739466417686,1.484729005880185,88.9617107,1.6761767284632785,3351.82333984375,1.529006139828791,91.6155197,1.7200026094664873,3398.71142578125,9.047888763720842,
seed5,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,56.883,2.085692264506494,56.883,53.98,60.02,0.2737,0.201,0,0,0.0,4961.99609375,2044.3046875,0.0,0.0,5.009043745102827,56.883,9.548245238573656,1.0439117573036767,60.9703199,1.2056777845722215,3163.39375,1.2779708324773578,74.6548042,1.4375123534230843,3431.70361328125,2.4609688266110172,2.4609688266110172
seed5,adaptive,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,57.921,3.3265345665154635,57.921,53.88,62.85,0.2719,0.216,0,226,22.6,4964.0390625,2044.3046875,0.0,0.0,5.008522882102989,57.921,19.23393677998521,1.0323118966944602,61.6077827,1.2246870056861037,3180.3619140625,1.3047449934924458,77.881297,1.4912556764331928,3492.8115234375,1.9842971702262369,1.987048841088107
seed6,full,10,10,100.0,0,0.0,10,10,10,10,0,0,simulator+planner,simulator+frontend+planner+mission,62.887,1.624671248796711,62.887,59.78,65.66,0.2548,0.188,1,0,,4962.05859375,2044.22265625,0.0,0.0,5.008536288797041,62.887,32.502850652880696,1.4658472740048054,94.8594567,1.6704877784713235,3366.13291015625,1.509701282493905,97.6970113,1.7147086864994336,3413.07880859375,9.929539935960758,
seed6,sector,10,10,100.0,0,0.0,10,10,10,10,0,0,planner_only,simulator+frontend+planner+mission,61.417,3.4683779430096076,61.417,56.39,67.56,0.2663,0.175,1,0,0.0,4947.3828125,2044.21875,0.0,0.0,5.008833482098998,61.417,9.25521486583785,1.0330059501487392,65.0050737,1.2092467742715567,3176.57138671875,1.2732431827189832,80.1314704,1.443810401584208,3440.65810546875,2.8006706355656545,2.8006706355656545
