mode,metric,full,candidate,reduction_pct
sector,planner_ingress_mib_s_mean,4.584227,0.759692,83.428133
sector,map_compute_ms_mean,42.984096,10.045068,76.630733
sector,algorithm_cpu_cores_mean,1.617221,0.903329,44.143132
sector,end_to_end_cpu_cores_mean,1.677232,1.152105,31.309145
sector,end_to_end_cpu_core_s_mean,103.32619,87.938419,14.892421
sector,end_to_end_peak_pss_mib_mean,3467.338281,3403.139844,1.851519
adaptive,planner_ingress_mib_s_mean,4.584227,0.805679,82.424976
adaptive,map_compute_ms_mean,42.984096,21.973974,48.878827
adaptive,algorithm_cpu_cores_mean,1.617221,1.100537,31.94888
adaptive,end_to_end_cpu_cores_mean,1.677232,1.399474,16.5605
adaptive,end_to_end_cpu_core_s_mean,103.32619,85.726797,17.032848
adaptive,end_to_end_peak_pss_mib_mean,3467.338281,3428.750391,1.112897
