seed,run,success,waypoints_reached,mission_time_s,collisions,static_pcd_collisions,min_clearance_m,static_pcd_min_distance_m,worker_results,shadow_safe,shadow_unsafe,shadow_insufficient,worker_total_ms_mean,worker_total_ms_p95,worker_total_ms_max
1,1,1,5,62.02,0,0,0.393,0.416,12,6,5,1,5.338,8.314,13.913
2,1,1,5,54.6,0,0,0.421,,1,0,1,0,9.57,9.57,9.57
3,1,1,5,65.49,0,0,0.455,,45,8,15,22,3.359,7.623,10.948
4,1,1,5,68.07,0,0,0.352,0.409,46,12,12,22,4.41,9.161,11.462
5,1,1,5,58.43,0,0,0.424,0.455,3,1,2,0,10.462,10.564,14.648
6,1,1,5,72.39,0,0,0.387,0.436,60,16,18,26,5.204,13.161,20.304
7,1,1,5,98.24,0,0,0.429,0.478,94,19,26,49,4.301,11.216,16.425
8,1,1,5,70.97,0,0,0.396,0.485,41,14,16,11,6.425,13.417,15.314
9,1,1,5,79.76,0,0,0.371,0.458,76,11,23,42,4.87,15.302,22.706
10,1,0,2,120.0,0,0,0.374,0.466,24,8,7,9,7.408,18.108,19.042
1,2,1,5,67.22,0,0,0.423,0.499,7,7,0,0,6.272,7.671,8.884
2,2,1,5,56.93,0,0,0.454,,6,4,2,0,8.436,9.275,10.923
3,2,1,5,63.04,0,0,0.408,0.472,43,10,13,20,4.117,7.734,9.33
4,2,1,5,67.48,0,0,0.337,0.412,11,9,2,0,9.947,13.683,14.568
5,2,1,5,67.9,0,0,0.364,0.421,21,5,6,10,5.593,13.828,19.668
6,2,1,5,72.76,0,0,0.373,0.451,19,11,3,5,6.75,13.422,13.989
7,2,1,5,74.31,0,0,0.39,0.445,99,22,19,58,4.572,10.328,17.988
8,2,1,5,69.16,0,0,0.393,0.46,125,22,33,70,4.107,11.09,13.693
9,2,1,5,81.33,0,0,0.384,0.467,57,13,26,18,6.434,17.44,18.492
10,2,1,5,77.17,0,0,0.391,0.443,22,13,9,0,10.251,14.801,16.165
