seed,full_success,full_time_s,full_static_clearance_m,sector_success,sector_waypoints,sector_time_s,sector_static_clearance_m,adaptive_success,adaptive_time_s,adaptive_static_clearance_m,adaptive_minus_full_s,adaptive_effective_open_transitions,adaptive_effective_close_transitions,adaptive_commit_refresh_frames,adaptive_commit_ack_hz,adaptive_points_reduction_vs_full_pct
1,1,52.14,0.307,1,5/5,59.27,0.288,1,60.36,0.292,8.22,24,24,17,4.64,31.6
2,1,56.17,0.318,1,5/5,57.25,0.252,1,59.64,0.334,3.47,23,23,29,4.90,36.1
3,1,71.02,0.303,1,5/5,68.31,0.316,1,69.35,0.278,-1.67,22,22,9,3.60,37.6
4,1,75.50,0.252,1,5/5,99.11,0.167,1,70.20,0.284,-5.30,25,25,25,3.83,35.2
5,1,85.05,0.278,1,5/5,71.84,0.300,1,80.67,0.272,-4.38,25,25,18,3.24,34.4
6,1,71.62,0.311,1,5/5,84.94,0.173,1,83.93,0.250,12.31,25,25,30,3.16,36.2
7,1,81.42,0.293,1,5/5,89.72,0.196,1,103.50,0.271,22.08,24,24,35,2.88,42.8
8,1,67.99,0.277,1,5/5,67.68,0.206,1,96.07,0.284,28.08,26,26,19,3.00,35.4
9,1,80.49,0.274,1,5/5,90.07,0.229,1,116.12,0.174,35.63,54,54,74,3.13,33.1
10,1,85.39,0.283,0,4/5,240.01,0.108,1,118.91,0.257,33.52,41,41,53,2.71,37.3
