elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.001,3132012,3128034,0,485112,2097128,12523464,757620,1.2,1.2
1.095,3152876,3147167,0,469548,2097128,12594352,757620,1.2,1.2
2.149,3154188,3146909,0,454768,2097128,12629144,757620,1.17,1.16
3.199,3174572,3166967,0,433256,2097128,12647316,757620,1.17,1.16
4.243,3172736,3169602,0,415592,2097128,12645176,757620,1.13,1.13
5.32,3176768,3173964,0,346732,2097128,12683748,757620,1.11,1.11
6.384,3179292,3176861,0,359672,2097128,12665080,757620,1.11,1.11
7.452,3180988,3178395,0,358724,2097128,12680272,757620,0.91,0.91
8.508,3187884,3185520,0,385040,2097128,12664248,757620,0.91,0.91
9.597,3189660,3186671,0,372952,2097128,12672344,757620,0.92,0.92
10.685,3199056,3196465,0,359272,2097128,12702276,757620,0.92,0.92
11.822,3204020,3201679,0,348988,2097128,12701864,757620,0.94,0.94
12.908,3205392,3203184,0,356356,2097128,12705620,757620,0.94,0.94
13.99,3204308,3201855,0,377700,2097128,12695992,757620,1.13,1.13
15.077,3203952,3201702,0,352888,2097128,12694244,757620,1.13,1.13
16.167,3204256,3201726,0,361340,2097128,12692932,757620,1.29,1.29
17.257,3205332,3204646,0,343620,2097128,12722460,757620,1.29,1.29
18.343,3202392,3200486,0,340468,2097128,12713064,757620,1.41,1.41
19.635,3202588,3201156,0,316084,2097128,12702576,757620,4.78,4.78
20.859,3213156,3209672,0,315064,2097128,12722928,757620,4.78,4.78
22.241,3214700,3213115,0,359616,2097124,12723284,757620,8.99,8.99
23.743,3213512,3211781,0,357224,2097124,12730760,757620,12.25,12.25
24.979,3213208,3211602,0,356332,2097124,12726216,757620,12.25,12.25
26.571,3222152,3219535,0,352868,2097124,12736660,757620,15.83,15.64
28.375,3223776,3222464,0,343600,2097124,12733020,757620,20.39,20.06
30.732,3235072,3230161,0,353764,2097124,12734208,757620,23.76,23.31
32.463,3234372,3230680,0,306104,2097124,12730876,757620,28.33,27.78
34.122,3234360,3231668,0,324848,2097124,12730648,757620,29.9,29.27
36.168,3234344,3232384,0,301296,2097124,12733624,757620,31.55,31.03
38.025,3236016,3232991,0,352680,2097124,12735228,757620,33.8,33.2
40.306,3235984,3232890,0,309112,2097124,12735192,757620,36.01,35.15
42.224,3236964,3233970,0,299380,2097124,12729776,757620,37.82,36.94
43.776,3235756,3233033,0,304144,2097124,12740824,757620,36.4,35.5
45.607,3239896,3234768,0,345776,2097124,12737240,757620,37.6,36.68
48.828,3237820,3235149,0,341820,2097124,12746592,757620,39.84,38.73
51.172,3239208,3236715,0,310232,2097124,12741028,757620,39.33,38.23
53.731,3239648,3236805,0,347632,2097124,12745944,757620,43.35,42.14
58.133,3241580,3237307,0,346124,2097124,12745020,757620,47.77,46.44
62.271,3240920,3239133,0,302156,2097124,12750616,757620,50.72,49.33
66.991,3250704,3248403,0,308772,2097124,12738940,757620,54.26,52.72
102.452,3251372,3248634,0,316052,2097100,12745052,757620,67.13,63.03
131.754,3250508,3248286,0,337872,2097096,12746200,757620,68.34,64.2
162.806,3250132,3248899,0,341788,2097028,12745596,757620,67.42,63.34
185.117,3250528,3248693,0,341768,2097024,12745536,757620,67.03,62.63
210.552,3249212,3249302,0,296068,2097004,12753160,757620,61.76,57.95
212.491,3253452,3249870,0,334224,2097004,12707996,757620,61.76,57.95
