elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.001,3144748,3132750,0,588232,2097096,12516792,757384,0.04,0.04
1.118,3179684,3171836,0,517616,2097096,12551656,757384,0.04,0.04
2.147,3179408,3170750,0,500656,2097096,12586208,757384,0.21,0.21
3.233,3189868,3181076,0,455516,2097096,12596804,757384,0.21,0.21
4.275,3182376,3178846,0,416172,2097096,12622392,757384,0.17,0.17
5.337,3181604,3179356,0,418644,2097096,12609192,757384,0.17,0.17
6.413,3188408,3186083,0,438540,2097096,12615484,757384,0.32,0.32
7.485,3192612,3189896,0,423496,2097096,12652124,757384,0.32,0.32
8.523,3196316,3193646,0,381692,2097096,12668244,757384,0.26,0.26
9.561,3202348,3197719,0,392396,2097096,12648056,757384,0.26,0.26
10.621,3198616,3196321,0,410908,2097096,12631448,757384,0.21,0.21
11.716,3200412,3198358,0,419760,2097096,12644296,757384,0.21,0.21
12.766,3203328,3200851,0,410760,2097096,12651884,757384,0.36,0.36
13.814,3203340,3200622,0,382356,2097096,12651824,757384,0.36,0.36
14.856,3203404,3200682,0,383292,2097096,12652556,757384,0.29,0.29
15.889,3204320,3201600,0,382248,2097096,12653900,757384,0.29,0.29
16.92,3207348,3204603,0,384352,2097096,12656692,757384,0.24,0.24
17.954,3215556,3210674,0,381868,2097096,12687172,757384,0.19,0.19
19.009,3210420,3207985,0,370868,2097096,12664844,757384,0.19,0.19
20.077,3211836,3209492,0,414772,2097096,12661852,757384,0.88,0.7
21.168,3210876,3209041,0,398796,2097096,12658168,757384,0.88,0.7
22.395,3211716,3208825,0,371872,2097096,12651036,757384,1.45,1.3
23.456,3212116,3209394,0,282672,2097096,12640576,757384,1.45,1.3
24.53,3214240,3211852,0,360048,2097096,12681808,757384,1.55,1.42
25.608,3215596,3213018,0,388392,2097096,12657888,757384,1.55,1.42
26.686,3216700,3214175,0,392900,2097096,12659420,757384,1.45,1.35
27.722,3216608,3214123,0,402984,2097096,12679336,757384,1.45,1.35
28.83,3217304,3215712,0,391552,2097096,12680488,757384,1.36,1.28
29.973,3219072,3216745,0,360332,2097096,12688588,757384,3.11,3.04
31.071,3218804,3215897,0,325204,2097096,12651076,757384,3.11,3.04
32.289,3217600,3215848,0,376036,2097096,12671908,757384,5.99,5.93
33.558,3218904,3216736,0,375024,2097096,12657256,757384,5.99,5.93
34.677,3222972,3220437,0,367876,2097096,12674384,757384,7.26,7.21
35.766,3221568,3219337,0,360868,2097096,12672536,757384,7.26,7.21
36.827,3223720,3221297,0,369888,2097096,12665900,757384,6.3,6.27
37.91,3222780,3220482,0,292084,2097096,12668660,757384,6.3,6.27
39.0,3226464,3224219,0,368628,2097096,12673908,757384,5.34,5.31
40.072,3236116,3233800,0,371604,2097096,12676580,757384,4.92,4.89
41.144,3238392,3236123,0,369372,2097096,12691736,757384,4.92,4.89
42.191,3240560,3238336,0,278076,2097096,12677456,757384,4.21,4.19
43.284,3243712,3241231,0,360304,2097096,12676296,757384,4.21,4.19
44.447,3243520,3241457,0,368720,2097096,12677612,757384,3.99,3.97
45.54,3242756,3240595,0,386020,2097096,12676260,757384,3.99,3.97
46.622,3241780,3239654,0,392680,2097096,12687496,757384,3.44,3.43
47.696,3243296,3241047,0,367744,2097096,12677264,757384,3.44,3.43
48.786,3242636,3241335,0,366144,2097096,12714256,757384,3.54,3.53
49.934,3245660,3241634,0,382900,2097096,12690572,757384,5.62,5.43
51.184,3244432,3241919,0,395120,2097092,12680004,757380,5.62,5.43
52.329,3245232,3243236,0,373224,2097092,12703508,757380,8.22,8.07
53.503,3246920,3244080,0,296956,2097092,12680516,757380,8.22,8.07
54.881,3245696,3244931,0,382860,2097092,12697872,757380,11.26,10.95
56.113,3248636,3246335,0,367316,2097092,12697008,757380,13.21,12.77
57.409,3258620,3256294,0,306128,2097092,12703552,757380,13.21,12.77
58.687,3257088,3254641,0,377236,2097092,12705000,757380,15.34,14.99
59.924,3257540,3255443,0,357800,2097092,12726404,757380,18.0,17.52
61.219,3260516,3257944,0,383240,2097092,12698028,757380,18.0,17.52
62.716,3259960,3257356,0,330924,2097092,12721724,757380,20.71,20.33
64.453,3260880,3259524,0,363372,2097092,12709192,757380,23.85,23.35
66.503,3263584,3260651,0,360476,2097076,12714408,757380,27.13,26.54
67.978,3266500,3263993,0,307724,2097076,12720424,757380,28.56,27.89
69.604,3283224,3280973,0,245772,2097076,12745564,757380,28.56,27.89
71.258,3288288,3284182,0,244028,2097076,12735320,757380,30.81,30.09
73.307,3284816,3283694,0,254412,2097076,12735792,757380,32.84,32.24
75.382,3285932,3284648,0,357844,2097076,12724632,757380,35.58,34.92
77.593,3287884,3285219,0,352624,2097072,12733928,757380,37.83,36.92
80.01,3288356,3286077,0,351748,2097072,12731556,757380,40.88,39.95
81.97,3290636,3287335,0,255048,2097072,12731224,757380,42.35,41.4
83.845,3290960,3287349,0,360604,2097072,12737984,757380,42.83,41.87
86.858,3290112,3287181,0,345980,2097072,12741660,757380,43.59,42.62
90.367,3291492,3288053,0,349244,2097064,12743872,757372,44.71,43.73
93.12,3291144,3289093,0,351272,2097064,12738172,757372,45.67,44.69
95.202,3291172,3288655,0,362220,2097064,12735528,757372,46.27,45.29
98.561,3290372,3288662,0,353316,2097064,12733088,757372,47.76,46.62
101.531,3290592,3288605,0,250052,2097064,12738872,757372,47.84,46.75
104.696,3291308,3288862,0,348564,2097064,12737316,757372,47.87,46.79
108.141,3290192,3289127,0,355264,2097064,12731100,757372,48.09,47.04
114.023,3291040,3288758,0,350964,2096952,12744820,757372,49.32,48.02
116.251,3292432,3289489,0,255700,2096952,12737684,757372,49.26,48.01
118.56,3291644,3289369,0,303292,2096952,12732220,757372,49.03,47.65
122.022,3290244,3289179,0,352652,2096952,12728048,757372,49.79,48.21
126.494,3294248,3291010,0,356864,2096952,12739028,757372,50.37,48.98
129.913,3292800,3290950,0,346796,2096948,12738724,757372,50.58,48.98
134.692,3292312,3290636,0,360912,2096948,12737816,757372,51.08,49.5
141.37,3291652,3290189,0,354608,2096948,12741464,757372,52.22,50.5
146.168,3293120,3291738,0,357568,2096936,12736128,757372,52.14,50.67
153.466,3292164,3291675,0,236288,2096932,12726324,757372,53.7,52.34
160.856,3292456,3291253,0,346888,2096924,12734052,757364,54.99,53.55
168.343,3294564,3292101,0,356040,2096916,12739344,757364,53.37,51.85
170.869,3294588,3291772,0,355712,2096912,12729712,757364,52.39,50.79
174.275,3295168,3292123,0,350420,2096912,12740928,757364,51.06,49.66
178.393,3295060,3292240,0,357544,2096912,12736704,757364,51.04,49.59
180.981,3296808,3293810,0,355608,2096912,12743268,757364,50.49,48.94
183.455,3298388,3293895,0,357764,2096904,12738484,757364,50.87,48.99
188.05,3295752,3294421,0,240060,2096904,12741028,757364,51.65,49.58
191.356,3298224,3296833,0,403928,2096904,12681020,757364,51.17,49.11
191.665,3301192,3298361,0,391264,2096904,12677644,757364,51.17,49.11
