map,adaptive_vs_full_mission_time_reduction_pct,adaptive_vs_full_algorithm_core_s_reduction_pct,adaptive_vs_full_end_to_end_core_s_reduction_pct,adaptive_vs_full_planner_ingress_reduction_pct,adaptive_vs_full_peak_pss_reduction_pct
seed1,10.358394,9.081367,4.760944,60.812466,-0.029576
seed2,9.439168,12.771725,7.393708,67.941266,0.284045
seed3,17.434529,6.705507,3.274946,57.043263,0.164030
seed4,24.904348,3.648387,2.376178,49.234056,0.448781
seed5,19.128648,6.520873,3.407369,53.310861,0.196349
seed6,19.498106,1.735096,-1.394668,47.494695,0.277656
seed7,23.811615,-2.423759,-13.350836,46.692010,1.050524
seed8,23.581565,-4.872031,-5.672698,43.062517,0.160102
seed9,17.916590,-7.097734,-9.511843,42.129407,0.321850
seed10,25.764997,-1.848877,-3.273611,41.214001,0.651488
overall,19.882903,2.219109,-1.900253,49.547366,0.353921
