map,mode,n,completion_n,completion_pct,collision_events,safe_runs_n,mission_time_mean_s,mission_time_std_s,mission_time_max_s,successful_mission_time_mean_s,static_clearance_min_m,algorithm_cpu_core_s_mean,algorithm_cpu_cores_mean,end_to_end_cpu_core_s_mean,end_to_end_cpu_cores_mean,planner_ingress_mib_s_mean,algorithm_peak_pss_mib_mean,sensor_hz_mean,trajectory_commit_hz_mean,cloud_publish_hz_mean,risk_verdict_hz_mean,risk_compute_ms_mean,adaptive_effective_full_opens,adaptive_guard_opens,frontend_risk_occupied,frontend_risk_brakes,optimizer_iteration_cap_hits,retry_count,oom_kill_delta
seed1,full,10,10,100.000000,0,10,64.817000,4.836758,75.370000,64.817000,0.250000,70.744291,1.066518,82.175562,1.237782,3.448959,3168.435254,10.000269,2.306246,,,,0,0,0,0,38,0,0
seed1,sector,10,10,100.000000,0,10,58.184000,2.136525,61.220000,58.184000,0.189000,64.048169,1.068644,76.450101,1.275534,1.629473,3158.395410,10.000168,2.546273,9.999968,0.000000,0.000000,0,0,0,0,28,0,0
seed1,adaptive,10,10,100.000000,0,10,58.103000,2.568450,62.160000,58.103000,0.219000,64.319742,1.075133,78.263229,1.307947,1.351562,3169.372363,10.000393,2.549322,5.028689,4.993509,2.272952,133,21,0,0,24,0,0
seed2,full,10,10,100.000000,0,10,59.804000,2.445714,63.030000,59.804000,0.230000,67.764460,1.098985,78.393693,1.271103,3.518552,3168.341699,10.000258,2.197845,,,,0,0,0,0,38,0,0
seed2,sector,10,10,100.000000,0,10,54.544000,1.319286,57.500000,54.544000,0.201000,60.755434,1.083711,72.244226,1.288550,1.452093,3155.106934,10.000104,2.397231,9.999989,0.000000,0.000000,0,0,0,0,40,0,0
seed2,adaptive,10,10,100.000000,0,10,54.159000,1.248007,56.460000,54.159000,0.246000,59.109769,1.060963,72.597492,1.303067,1.128003,3159.342187,10.000370,2.502619,5.011201,4.993841,2.243239,212,12,0,0,35,0,0
seed3,full,10,10,100.000000,0,10,69.305000,5.489730,76.280000,69.305000,0.158000,67.591413,0.953865,80.076126,1.128144,3.877071,3175.265430,10.000256,1.907697,,,,0,0,0,0,23,0,0
seed3,sector,10,10,100.000000,0,10,57.166000,2.555074,61.060000,57.166000,0.196000,64.564250,1.098499,76.784053,1.306310,2.276411,3160.008398,10.000236,2.422065,10.000126,0.000000,0.000000,0,0,0,0,36,0,0
seed3,adaptive,10,10,100.000000,0,10,57.222000,3.370525,66.360000,57.222000,0.247000,63.059066,1.071440,77.453676,1.315522,1.665463,3170.057031,10.000303,2.367865,5.018922,4.994122,3.183103,229,14,0,0,25,0,0
seed4,full,10,10,100.000000,0,10,80.239000,8.865348,92.760000,80.239000,0.217000,70.671084,0.871786,85.687405,1.054081,3.984457,3196.596289,10.000164,1.968536,,,,0,0,0,0,27,0,0
seed4,sector,10,10,100.000000,0,10,63.863000,3.045299,68.700000,63.863000,0.182000,70.102367,1.070663,83.875542,1.280939,2.639845,3186.207422,10.000294,2.546231,10.000239,0.000000,0.000000,0,0,0,0,31,0,0
seed4,adaptive,10,10,100.000000,0,10,60.256000,2.962860,65.880000,60.256000,0.156000,68.092729,1.097014,83.651319,1.347637,2.022747,3182.250586,10.000291,2.559024,5.042076,4.992886,3.541359,167,25,0,0,27,0,0
seed5,full,10,10,100.000000,0,10,72.990000,7.512847,83.660000,72.990000,0.184000,70.060238,0.940308,83.607309,1.119863,4.423925,3181.822461,10.000196,2.085981,,,,0,0,0,0,33,0,0
seed5,sector,10,10,100.000000,0,10,59.873000,3.016252,66.650000,59.873000,0.158000,67.656987,1.100487,81.101645,1.318699,2.812875,3173.047656,10.000315,2.450310,10.000153,0.000000,0.000000,0,0,0,0,26,0,0
seed5,adaptive,10,10,100.000000,0,10,59.028000,3.371909,65.050000,59.028000,0.244000,65.491699,1.077139,80.758500,1.327878,2.065492,3175.575000,10.000391,2.498692,5.048462,4.993539,3.767135,211,29,1,1,45,0,0
seed6,full,10,10,100.000000,0,10,78.941000,5.186464,86.530000,78.941000,0.152000,72.157618,0.896332,86.730089,1.075887,4.643882,3184.544531,10.000289,1.909331,,,,0,0,0,0,29,0,0
seed6,sector,10,10,100.000000,0,10,65.046000,3.803198,72.050000,65.046000,0.151000,72.912196,1.090043,87.549078,1.308739,3.334572,3173.177344,10.000187,2.621838,10.000223,0.000000,0.000000,0,0,0,0,40,0,0
seed6,adaptive,10,10,100.000000,0,10,63.549000,3.542035,70.150000,63.549000,0.174000,70.905614,1.079543,87.939686,1.338434,2.438284,3175.702441,10.000210,2.560010,5.060305,4.995985,4.217559,198,37,0,0,35,0,0
seed7,full,10,9,90.000000,0,10,100.178000,31.751251,183.540000,90.915556,0.224000,82.337423,0.816521,121.743761,1.106604,5.158160,3215.657129,9.524696,1.703098,,,,0,0,0,0,57,0,0
seed7,sector,10,10,100.000000,0,10,68.656000,4.056334,73.660000,68.656000,0.221000,75.002925,1.062439,90.582074,1.282962,4.058056,3187.724023,10.000266,2.500704,9.999561,0.000000,0.000000,0,0,0,0,42,0,0
seed7,adaptive,10,9,90.000000,0,10,76.324000,37.574139,182.960000,64.475556,0.194000,84.333083,1.066145,137.997570,1.483022,2.749712,3181.875879,9.242169,2.424135,4.711759,4.654853,5.546742,138,39,4,4,26,0,0
seed8,full,10,10,100.000000,0,10,82.450000,7.708505,94.980000,82.450000,0.193000,66.229409,0.791328,81.789577,0.975026,4.518025,3187.717480,10.000126,1.674089,,,,0,0,0,0,24,0,0
seed8,sector,10,10,100.000000,0,10,62.493000,3.936750,67.630000,62.493000,0.180000,69.671137,1.081662,83.645135,1.298132,3.503287,3177.544531,10.000106,2.310013,9.999975,0.000000,0.000000,0,0,0,0,31,0,0
seed8,adaptive,10,10,100.000000,0,10,63.007000,3.009888,68.220000,63.007000,0.223000,69.456126,1.067945,86.429253,1.328660,2.572450,3182.613867,10.000171,2.464933,5.044935,4.995242,4.638310,218,28,3,2,31,0,0
seed9,full,10,10,100.000000,0,10,92.579000,11.763697,113.120000,92.579000,0.126000,75.491825,0.805546,93.224726,0.992061,6.094300,3226.429199,10.000131,1.997996,,,,0,0,0,0,32,0,0
seed9,sector,10,10,100.000000,0,10,70.970000,4.031443,76.740000,70.970000,0.199000,77.807797,1.063824,93.954757,1.284298,4.888334,3201.452539,10.000146,2.452821,10.000112,0.000000,0.000000,0,0,0,0,39,0,0
seed9,adaptive,10,10,100.000000,0,10,75.992000,6.978979,89.040000,75.992000,0.140000,80.850034,1.038853,102.092116,1.310901,3.526808,3216.044922,10.000149,2.575309,5.085066,4.996531,5.823721,199,56,4,2,24,0,0
seed10,full,10,10,100.000000,0,10,98.203000,12.971995,123.040000,98.203000,0.160000,77.678882,0.780437,96.300699,0.965368,5.912283,3231.873633,10.000051,1.915625,,,,0,0,0,0,47,0,0
seed10,sector,10,10,100.000000,0,10,70.557000,3.535286,77.110000,70.557000,0.157000,76.813498,1.057316,92.763739,1.276636,4.713669,3190.445508,10.000079,2.642525,10.000020,0.000000,0.000000,0,0,0,0,26,0,0
seed10,adaptive,10,10,100.000000,1,9,72.901000,3.833851,78.420000,72.901000,-0.149000,79.115068,1.054940,99.453209,1.325751,3.475595,3210.818359,10.000192,2.602545,5.096302,4.995777,5.827012,195,59,5,1,18,0,0
