seed,full_raw_complete,full_safe_complete,full_contact_events,full_static_collisions,full_mission_time_s,full_static_body_clearance_m,sector_raw_complete,sector_safe_complete,sector_contact_events,sector_static_collisions,sector_mission_time_s,sector_static_body_clearance_m,adaptive_raw_complete,adaptive_safe_complete,adaptive_contact_events,adaptive_static_collisions,adaptive_mission_time_s,adaptive_static_body_clearance_m,adaptive_effective_full_open_transitions,adaptive_effective_full_close_transitions,adaptive_full_open_duty_pct,adaptive_retained_input_pct,adaptive_max_speed_mps
1,1,1,0,0,56.26,0.266,1,1,0,0,51.72,0.332,1,1,0,0,71.29,0.254,26,26,20.211,41.310,7.006
2,1,1,0,0,58.84,0.307,1,1,0,0,54.46,0.295,1,1,0,0,59.26,0.303,23,23,22.311,37.689,7.000
3,1,1,0,0,66.66,0.283,1,1,0,0,66.38,0.264,1,1,0,0,76.92,0.275,34,34,28.364,47.744,7.001
4,1,1,0,0,65.71,0.266,1,1,0,0,79.76,0.180,1,1,0,0,66.76,0.216,26,26,21.671,36.062,7.001
5,1,1,0,0,74.10,0.208,1,1,0,0,76.42,0.225,1,1,0,0,83.23,0.255,32,31,26.604,47.416,7.001
6,1,1,0,0,83.44,0.285,1,1,0,0,89.30,0.293,1,1,0,0,90.83,0.305,28,28,17.434,43.928,7.000
7,1,1,0,0,89.34,0.274,1,0,2,1,80.83,-0.007,1,1,0,0,115.32,0.243,36,36,24.054,48.205,6.997
8,1,1,0,0,64.74,0.277,1,1,0,0,85.31,0.219,1,1,0,0,84.04,0.285,26,26,17.919,44.686,7.001
9,1,1,0,0,91.27,0.294,1,1,0,0,102.42,0.230,1,1,0,0,136.18,0.229,45,45,22.595,56.480,6.993
10,1,1,0,0,88.38,0.214,1,1,0,0,86.40,0.236,1,1,0,0,120.29,0.268,45,45,29.889,52.275,6.996
