map,mode,runs,completions,safety_qualified,collision_runs,collision_events,mean_time_s,worst_clearance_m,mean_points_per_update,mean_map_hz,mean_payload_mbps,mean_map_update_ms,mean_fsm_cpu_pct,effective_open_transitions,slowdown_refresh_triggers,slowdown_refresh_frames,slowdown_refresh_commit_acks,points_reduction_vs_full_pct,map_hz_reduction_vs_full_pct,payload_reduction_vs_full_pct,map_update_reduction_vs_full_pct,fsm_cpu_reduction_vs_full_pct,time_delta_vs_full_pct
seed1,full,10,10,10,0,0,60.02,0.218,15545.0,8.026,31.95,31.35,117.1,0,0,0,0,,,,,,
seed1,sector,10,10,10,0,0,61.30,0.206,7074.3,7.846,8.88,11.31,97.9,0,0,0,0,,,,,,
seed1,adaptive,10,10,10,0,0,61.89,0.255,12960.7,5.237,13.29,24.16,98.0,177,415,410,410,,,,,,
seed2,full,10,10,10,0,0,57.23,0.266,15571.4,7.679,30.63,32.59,117.9,0,0,0,0,,,,,,
seed2,sector,10,10,10,0,0,58.09,0.173,6700.8,7.467,8.01,11.71,96.1,0,0,0,0,,,,,,
seed2,adaptive,10,10,10,0,0,57.82,0.257,12444.4,5.252,12.70,24.19,101.8,192,372,367,367,,,,,,
seed3,full,10,10,10,0,0,65.46,0.209,22990.3,6.366,37.56,37.38,107.2,0,0,0,0,,,,,,
seed3,sector,10,10,10,0,0,65.78,0.235,10382.4,5.595,9.30,13.55,85.4,0,0,0,0,,,,,,
seed3,adaptive,10,10,10,0,0,67.72,0.195,19386.2,4.454,17.69,30.45,91.1,117,431,423,421,,,,,,
seed4,full,10,10,10,0,0,68.46,0.211,24617.7,6.672,42.09,37.24,109.6,0,0,0,0,,,,,,
seed4,sector,10,10,10,0,0,69.66,0.212,11967.0,5.981,11.43,13.28,84.0,0,0,0,0,,,,,,
seed4,adaptive,10,10,10,0,0,76.20,0.217,21002.5,4.163,18.33,30.36,82.5,106,496,488,487,,,,,,
seed5,full,10,10,10,0,0,68.97,0.194,27785.8,5.991,42.59,41.01,105.0,0,0,0,0,,,,,,
seed5,sector,10,10,10,0,0,71.58,0.193,12916.6,5.488,11.38,14.56,81.0,0,0,0,0,,,,,,
seed5,adaptive,10,10,10,0,0,76.37,0.161,23368.9,4.162,20.11,33.34,84.0,109,472,461,461,,,,,,
seed6,full,10,10,10,0,0,72.20,0.204,29919.5,6.048,46.48,39.11,103.7,0,0,0,0,,,,,,
seed6,sector,10,10,10,0,0,75.19,0.204,15740.8,5.612,14.14,13.89,82.5,0,0,0,0,,,,,,
seed6,adaptive,10,10,10,0,0,76.84,0.219,25478.6,4.419,22.96,30.82,87.9,135,499,489,489,,,,,,
seed7,full,10,10,10,0,0,77.51,0.219,36757.6,5.327,50.14,39.39,95.1,0,0,0,0,,,,,,
seed7,sector,10,10,10,0,0,76.66,0.089,19587.3,5.310,16.69,14.60,79.3,0,0,0,0,,,,,,
seed7,adaptive,10,10,10,0,0,78.65,0.172,31554.7,4.294,27.67,32.99,86.2,111,521,508,507,,,,,,
seed8,full,10,10,10,0,0,73.59,0.167,34372.0,5.428,47.81,40.68,95.6,0,0,0,0,,,,,,
seed8,sector,10,10,10,0,0,73.42,0.032,16556.1,5.064,13.43,15.30,78.5,0,0,0,0,,,,,,
seed8,adaptive,10,10,10,0,0,81.09,0.138,29224.3,3.964,24.26,34.10,76.7,78,507,489,489,,,,,,
seed9,full,10,10,10,0,0,85.85,0.150,43040.2,5.642,62.27,37.68,94.4,0,0,0,0,,,,,,
seed9,sector,10,10,9,1,1,79.00,-0.175,24387.1,5.874,23.00,14.43,84.5,0,0,0,0,,,,,,
seed9,adaptive,10,10,10,0,0,95.15,0.210,37679.7,3.821,30.24,31.58,73.7,75,576,557,557,,,,,,
seed10,full,10,10,10,0,0,80.44,0.151,42019.1,5.936,64.02,39.18,101.2,0,0,0,0,,,,,,
seed10,sector,10,10,10,0,0,84.26,0.197,24250.0,5.656,21.95,14.05,79.9,0,0,0,0,,,,,,
seed10,adaptive,10,10,10,0,0,86.37,0.038,35806.0,4.098,30.27,31.89,80.0,98,527,519,518,,,,,,
all,full,100,100,100,0,0,70.97,0.150,29261.9,6.311,45.55,37.56,104.7,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00
all,sector,100,100,99,1,1,71.49,-0.175,14956.3,5.989,13.82,13.67,84.9,0,0,0,0,48.89,5.10,69.66,63.61,18.89,0.73
all,adaptive,100,100,100,0,0,75.81,0.038,24890.6,4.386,21.75,30.39,86.2,1198,4816,4711,4706,14.94,30.50,52.25,19.10,17.66,6.81
