map,mode,n,completed,safe,first_attempt_success,mean_time_s,worst_clearance_m,algorithm_cores_mean,algorithm_core_s_mean,dds_algorithm_mib_s,rog_input_mib_s,rog_frame_ms_mean,kept_pct_mean,adaptive_effective_full_opens,current_body_brakes,active_brake_replacements,retries,oom_kills
map1,full,3,3,3,3,64.25,0.203,1.061,70.03,3.410,3.410,29.75,,0,0,0,0,0
map1,sector,3,3,3,3,55.84,0.266,1.067,61.42,1.602,1.602,10.81,46.9,0,0,0,0,0
map1,adaptive,3,3,3,3,57.45,0.313,1.067,63.61,1.303,1.300,18.96,38.1,57,0,0,0,0
map2,full,3,3,3,3,58.43,0.225,1.136,68.10,3.769,3.769,31.29,,0,0,0,0,0
map2,sector,3,3,3,3,55.73,0.271,1.073,61.40,1.518,1.518,11.52,45.8,0,0,0,0,0
map2,adaptive,3,3,3,3,56.79,0.274,1.032,60.25,1.176,1.174,18.85,35.2,67,0,0,0,0
map3,full,3,3,3,3,76.74,0.202,0.900,69.15,3.729,3.729,35.10,,0,0,0,0,0
map3,sector,3,3,3,3,55.23,0.304,1.097,62.68,2.206,2.206,13.47,46.6,0,0,0,0,0
map3,adaptive,3,3,3,3,55.74,0.290,1.087,62.45,1.648,1.645,22.52,34.7,66,0,0,0,0
map4,full,3,3,3,3,72.42,0.240,0.954,70.84,4.310,4.310,34.99,,0,0,0,0,0
map4,sector,3,3,3,3,61.40,0.239,1.093,69.40,2.680,2.680,13.00,51.1,0,0,0,0,0
map4,adaptive,3,3,3,3,62.95,0.265,1.086,70.79,2.161,2.158,26.50,41.6,39,0,0,0,0
map5,full,3,3,3,3,74.55,0.212,0.888,67.91,4.405,4.405,37.76,,0,0,0,0,0
map5,sector,3,3,3,3,61.22,0.222,1.064,67.09,2.847,2.847,14.11,49.4,0,0,0,0,0
map5,adaptive,3,3,3,3,57.76,0.239,1.091,65.22,2.064,2.061,23.81,35.5,60,0,0,0,0
map6,full,3,3,3,3,85.69,0.218,0.840,73.92,4.326,4.326,36.28,,0,0,0,0,0
map6,sector,3,3,3,2,73.03,0.180,1.008,75.38,3.457,3.457,13.41,54.7,0,0,0,1,1
map6,adaptive,3,3,3,3,65.35,0.235,1.058,71.39,2.658,2.655,24.39,40.8,56,0,0,0,0
map7,full,3,3,3,3,80.06,0.246,0.920,74.57,6.000,6.000,38.08,,0,0,0,0,0
map7,sector,3,3,3,3,68.35,0.255,1.052,74.45,3.950,3.950,14.32,53.9,0,0,0,0,0
map7,adaptive,3,3,3,3,68.40,0.121,1.080,76.17,3.093,3.090,26.50,40.7,59,1,0,0,0
map8,full,3,3,3,3,87.25,0.276,0.753,66.60,4.525,4.525,38.58,,0,0,0,0,0
map8,sector,3,3,3,3,61.40,0.199,1.105,70.02,3.479,3.479,14.86,50.5,0,0,0,0,0
map8,adaptive,3,3,3,3,61.37,0.224,1.085,68.98,2.639,2.637,25.83,37.9,66,0,0,0,0
map9,full,3,3,3,3,86.74,0.223,0.843,74.20,6.211,6.211,35.94,,0,0,0,0,0
map9,sector,3,3,3,3,74.16,0.238,1.049,80.11,4.901,4.901,13.50,56.7,0,0,0,0,0
map9,adaptive,3,3,3,3,70.87,0.179,1.054,77.07,3.458,3.455,26.36,39.5,64,0,0,0,0
map10,full,3,3,3,3,92.94,0.166,0.808,74.80,5.862,5.862,36.03,,0,0,0,0,0
map10,sector,3,3,3,3,69.90,0.182,1.063,76.56,4.748,4.748,13.56,55.5,0,0,0,0,0
map10,adaptive,3,3,3,3,76.02,0.192,1.022,80.15,3.350,3.347,25.17,39.5,61,0,0,0,0
ALL,full,30,30,30,30,77.908,0.166,0.910,71.012,4.655,4.655,35.378,,0,0,0,0,0
ALL,sector,30,30,30,29,63.625,0.180,1.067,69.851,3.139,3.139,13.256,51.118,0,0,0,1,1
ALL,adaptive,30,30,30,30,63.270,0.121,1.066,69.609,2.355,2.352,23.890,38.335,595,1,0,0,0
