elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
7e-05,0,2086,,,True,1,5,3162312,3138919,0,3454016,3373874,0
1.1481,573637,796221,0.49967076686992035,0.6917371864929288,False,1,5,3162312,3138919,0,3454016,3373874,0
2.216083,1539198,1996973,0.9040978259704535,1.1243176482166057,False,1,5,3162312,3138919,0,3454016,3373874,0
3.275709,2850349,3663906,1.237370775365251,1.5731324452270743,False,1,5,3162312,3138919,0,3454016,3373874,0
4.327152,4150746,5216914,1.2367742775609563,1.4770261291331688,False,1,5,3162312,3138919,0,3454016,3373874,0
5.389589,5336351,6642840,1.1159299264565032,1.3421278556622278,False,1,5,3162312,3138919,0,3454016,3373874,0
6.444025,6568486,8080824,1.1685243208426896,1.3637460805696244,False,1,5,3162312,3138919,0,3454016,3373874,0
7.492928,7769672,9483646,1.145183763223214,1.3374189984667781,False,1,5,3162312,3138919,0,3454016,3373874,0
8.533333,8945393,10863900,1.1300608702059403,1.3266506563591447,False,1,5,3162312,3138919,0,3454016,3373874,0
9.598063,10148024,12277975,1.1295171939037079,1.328106481513769,False,1,5,3162312,3138919,0,3454016,3373874,0
10.663743,11345964,13687613,1.1241083985082374,1.3227589984943777,True,1,5,3713136,3688612,0,4014296,3929723,0
11.841531,12573621,15151538,1.0423415336458897,1.2429447554508781,False,1,5,3713136,3688612,0,4014296,3929723,0
12.892135,13762296,16542943,1.1314203026570209,1.3243854427984876,False,1,5,3713136,3688612,0,4014296,3929723,0
13.951711,14986162,17960600,1.1550522273282346,1.3379470264207545,False,1,5,3713136,3688612,0,4014296,3929723,0
15.001724,16176354,19352381,1.133502280803674,1.3254894486597275,False,1,5,3713136,3688612,0,4014296,3929723,0
16.080591,17377818,20782618,1.1136349016288036,1.3256841992776105,False,1,5,3713136,3688612,0,4014296,3929723,0
17.13123,18582603,22203282,1.146716836162883,1.3521909115157524,False,1,5,3713136,3688612,0,4014296,3929723,0
18.202222,19784314,23629565,1.1220536479095773,1.3317395306370796,False,1,5,3713136,3688612,0,4014296,3929723,0
19.278735,20977158,25024770,1.1080628410456759,1.2960410717085655,False,1,5,3713136,3688612,0,4014296,3929723,0
20.357924,22172177,26416990,1.1073314479284426,1.2900623240592295,False,1,5,3713136,3688612,0,4014296,3929723,0
21.412365,23359828,27811110,1.1263320280426259,1.3221409378132007,True,1,5,4710860,4686333,0,5012152,4927586,0
22.586395,24634959,29310468,1.08611401623839,1.2771030891407706,False,1,5,4710860,4686333,0,5012152,4927586,0
23.714698,25893353,30809444,1.115298122494776,1.328522798475461,False,1,5,4710860,4686333,0,5012152,4927586,0
24.802819,27107464,32248116,1.1157866148503528,1.3221616151735605,False,1,5,4710860,4686333,0,5012152,4927586,0
25.892281,28304492,33645186,1.0987336000688572,1.2823490767535919,False,1,5,4710860,4686333,0,5012152,4927586,0
26.97458,29496068,35044105,1.1009677217218397,1.2925442139682188,False,1,5,4710860,4686333,0,5012152,4927586,0
28.037388,30683094,36448249,1.1168767452209047,1.3211637997326615,False,1,5,4710860,4686333,0,5012152,4927586,0
29.122924,31864865,37832740,1.0886520606086578,1.2753985163319639,False,1,5,4710860,4686333,0,5012152,4927586,0
30.195273,33059029,39239975,1.1135960112346592,1.312291513451926,False,1,5,4710860,4686333,0,5012152,4927586,0
31.263008,34249550,40632102,1.114997618598535,1.3038142878510526,False,1,5,4710860,4686333,0,5012152,4927586,0
32.332617,35432490,42022304,1.105954799398756,1.299728282105389,True,1,5,5690224,5665705,0,5991156,5906590,0
33.515434,36649324,43455857,1.0287592328023554,1.2119819831312366,False,1,5,5690224,5665705,0,5991156,5906590,0
34.594354,37841269,44847951,1.1047575015190643,1.2902661526493926,False,1,5,5690224,5665705,0,5991156,5906590,0
35.665529,39039478,46247842,1.118593279905129,1.306874397704967,False,1,5,5690224,5665705,0,5991156,5906590,0
36.737944,40222484,47646179,1.10312302101336,1.3039137044400102,False,1,5,5690224,5665705,0,5991156,5906590,0
37.818742,41422066,49066953,1.1099040050660152,1.3145601992141118,False,1,5,5690224,5665705,0,5991156,5906590,0
38.899819,42612127,50472432,1.1008110510070475,1.300073538380246,False,1,5,5690224,5665705,0,5991156,5906590,0
39.990651,43889091,51966643,1.1706334240086549,1.3697906433708358,False,1,5,5690224,5665705,0,5991156,5906590,0
40.997097,45048277,53361073,1.1517614061940895,1.385498666856936,False,1,5,5690224,5665705,0,5991156,5906590,0
41.046179,45097317,53423108,0.9991423758620596,1.2639028810481823,True,0,4,0,0,0,185728,176036,0
