elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3162312,3138919,0,4806236,2021228,8710976,934072,0.0,0.0
1.154,3177684,3153353,0,4759876,2021228,8769452,934072,0.0,0.0
2.221,3189076,3164713,0,4709868,2021228,8794364,934072,0.0,0.0
3.286,3200440,3176005,0,4519520,2021228,8810996,934072,0.0,0.0
4.348,3202480,3177956,0,4618876,2021228,8745256,934072,0.0,0.0
5.399,3216744,3193841,0,4643804,2021228,8770700,934072,0.0,0.0
6.472,3313564,3289038,0,4527304,2021228,8858240,934072,0.0,0.0
7.514,3412540,3388013,0,4405796,2021228,8956132,934072,0.0,0.0
8.563,3517088,3492564,0,4364300,2021228,9061212,934072,0.0,0.0
9.603,3609260,3584747,0,4260692,2021228,9152568,934072,0.0,0.0
10.668,3712976,3688456,0,4200444,2021228,9256668,934072,0.0,0.0
11.85,3816324,3791796,0,4113844,2021228,9361180,934072,0.0,0.0
12.912,3921732,3897204,0,4020560,2021228,9466408,934072,0.0,0.0
13.961,4354620,4390185,0,3569924,2021228,9949188,934072,0.0,0.0
15.021,4109900,4085377,0,3870188,2021228,9655704,934072,0.0,0.0
16.072,4212664,4188154,0,3760880,2021228,9759604,934072,0.0,0.0
17.15,4308192,4283677,0,3685184,2021228,9857432,934072,0.0,0.0
18.201,4401864,4377334,0,3599772,2021228,9952116,934072,0.0,0.0
19.271,4502820,4478301,0,3490896,2021228,10056072,934072,0.0,0.0
20.349,4608600,4584080,0,3383912,2021228,10162812,934072,0.0,0.0
21.43,4710724,4686197,0,3275112,2021228,10264684,934072,0.0,0.0
22.595,4869628,4886813,0,3124708,2096008,10365204,1009992,0.0,0.0
23.698,4864680,4840156,0,3052188,2097148,9234596,1009992,0.9,0.72
24.792,4964060,4939536,0,2944952,2097148,9334352,1009992,0.9,0.72
25.873,5066352,5041828,0,2822176,2097148,9437552,1009992,0.74,0.59
26.963,5169808,5145289,0,2703256,2097148,9541616,1009992,0.6,0.48
28.045,5273272,5248749,0,2590204,2097148,9646644,1009992,0.6,0.48
29.108,5375964,5351436,0,2466244,2097148,9750868,1009992,0.49,0.39
30.192,5480364,5455837,0,2345472,2097148,9856656,1009992,0.49,0.39
31.265,5586308,5561772,0,2234024,2097148,9964528,1009992,0.4,0.32
32.334,5690068,5665549,0,2126848,2097148,10067288,1009992,0.4,0.32
33.508,5797904,5773380,0,2321856,2097148,10175492,1009992,0.33,0.26
34.585,5903852,5879325,0,2074964,2097148,10281472,1009992,0.33,0.26
35.664,6005140,5980617,0,2148608,2097148,10370008,1009992,0.27,0.21
36.736,6110096,6085582,0,2036768,2097148,10413068,1009992,0.27,0.21
37.808,6213960,6189429,0,1920596,2097148,10449464,1009992,0.22,0.17
38.89,6319344,6294817,0,1823656,2097148,10455084,1009992,0.22,0.17
39.976,6581224,6611341,0,1426620,2097148,10756980,1009992,0.18,0.14
41.061,,,,2571916,2097136,9277456,1009992,1.23,1.2
