elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3179588,3156315,0,5054800,2086456,9752320,733448,0.0,0.0
1.041,3181608,3157475,0,5003080,2086456,9788112,733448,0.0,0.0
2.098,3193436,3169089,0,4929576,2086456,9835480,733448,0.0,0.0
3.156,3212388,3188101,0,4821520,2086456,9913796,733448,0.0,0.0
4.204,3219144,3194793,0,4807468,2086456,9932120,733448,0.0,0.0
5.263,3223388,3199039,0,4808404,2086456,9941232,733448,0.0,0.0
6.309,3224680,3200321,0,4806668,2086456,9952668,733448,0.0,0.0
7.355,3227628,3203271,0,4824344,2086456,9947424,733448,0.0,0.0
8.413,3229136,3204779,0,4861680,2086456,9948592,733448,0.0,0.0
9.47,3233412,3209055,0,4852196,2086456,9953040,733448,0.0,0.0
10.529,3234768,3210411,0,4854372,2086456,9955220,733448,0.0,0.0
11.586,3235012,3210655,0,4853900,2086456,9956552,733448,0.0,0.0
12.621,3235016,3210659,0,4842644,2086456,9957136,733448,0.0,0.0
13.677,3237636,3213279,0,4841220,2086456,9958400,733448,0.0,0.0
14.724,3238360,3214003,0,4845956,2086456,9959452,733448,0.0,0.0
15.782,3238360,3214003,0,4846176,2086456,9960628,733448,0.0,0.0
16.842,3238816,3214459,0,4842176,2086456,9960688,733448,0.0,0.0
17.893,3240000,3215644,0,4846556,2086456,9961096,733448,0.0,0.0
18.95,3240152,3215795,0,4838944,2086456,9961832,733448,0.0,0.0
20.006,3243892,3219535,0,4846164,2086456,9966172,733448,0.0,0.0
21.054,3246708,3222351,0,4841756,2086456,9968992,733448,0.0,0.0
22.113,3253832,3229476,0,4835420,2086456,9975512,733448,0.0,0.0
23.156,3260180,3235822,0,4832268,2086456,9983904,733448,0.0,0.0
24.192,3261888,3237529,0,4820692,2086456,9991844,733448,0.0,0.0
25.225,3262164,3237806,0,4814372,2086456,9984212,733448,0.0,0.0
26.283,3262320,3237963,0,4815148,2086456,9984484,733448,0.0,0.0
27.332,3262892,3238535,0,4819156,2086456,9990816,733448,0.0,0.0
28.38,3263744,3239386,0,4823096,2086456,9985100,733448,0.0,0.0
29.439,3264676,3240318,0,4824076,2086456,9985976,733448,0.0,0.0
30.505,3264676,3240319,0,4818848,2086456,9985640,733448,0.0,0.0
31.562,3264912,3240549,0,4816556,2086456,9987420,733448,0.0,0.0
32.611,3265200,3240837,0,4814828,2086456,9988180,733448,0.0,0.0
33.667,3265200,3240837,0,4827332,2086456,9988592,733448,0.0,0.0
34.726,3265412,3241049,0,4801492,2086456,9991504,733448,0.0,0.0
35.783,3265420,3241057,0,4804688,2086456,9991208,733448,0.0,0.0
36.842,3268432,3244069,0,4801120,2086456,9997228,733448,0.0,0.0
37.9,3268432,3244069,0,4801572,2086456,9996744,733448,0.0,0.0
38.944,3268432,3244069,0,4806016,2086456,9997664,733448,0.0,0.0
39.999,3269792,3245429,0,4798368,2086456,9997548,733448,0.0,0.0
41.054,3273540,3249177,0,4798616,2086456,10002276,733448,0.0,0.0
42.1,3275576,3251211,0,4788268,2086456,10018064,733448,0.0,0.0
43.147,3275976,3251612,0,4796528,2086456,10011604,733448,0.0,0.0
44.204,3275976,3251612,0,4794136,2086456,10011616,733448,0.0,0.0
45.26,3276020,3251655,0,4776380,2086456,10019996,733448,0.0,0.0
46.309,3276020,3251658,0,4778664,2086456,10010848,733448,0.0,0.0
47.359,3276072,3251709,0,4779424,2086456,10011712,733448,0.0,0.0
48.406,3276072,3251709,0,4779844,2086456,10011336,733448,0.0,0.0
49.464,3276640,3252277,0,4786844,2086456,10012592,733448,0.0,0.0
50.509,3276644,3252281,0,4779328,2086456,10014592,733448,0.0,0.0
51.563,3276644,3252281,0,4773044,2086456,10016628,733448,0.0,0.0
52.625,3276644,3252280,0,4770172,2086456,10015984,733448,0.0,0.0
53.683,3276644,3252281,0,4771700,2086456,10015956,733448,0.0,0.0
54.73,3276880,3252516,0,4767084,2086456,10014172,733448,0.0,0.0
55.788,3276904,3252545,0,4770100,2086456,10014588,733448,0.0,0.0
56.847,3276928,3252565,0,4771548,2086456,10015840,733448,0.0,0.0
57.895,3276948,3252585,0,4763480,2086456,10016788,733448,0.0,0.0
58.938,3277712,3253349,0,4770392,2086456,10016700,733448,0.0,0.0
59.995,3277924,3253560,0,4772824,2086456,10018236,733448,0.0,0.0
61.056,3278912,3254549,0,4765656,2086456,10020004,733448,0.0,0.0
62.119,3279196,3254833,0,4767152,2086456,10020928,733448,0.0,0.0
63.176,3280448,3256066,0,4767876,2086456,10031300,733448,0.0,0.0
64.223,3281988,3257607,0,4769660,2086456,10025012,733448,0.0,0.0
65.287,3287804,3263423,0,4760492,2086456,10032356,733448,0.0,0.0
66.33,3287796,3264263,0,4814660,2086456,9974992,733448,0.0,0.0
66.367,3287796,3264266,0,4820172,2086456,9965784,733448,0.0,0.0
