elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3203760,3180613,0,5012900,2086484,9723724,733448,0.0,0.0
1.052,3206984,3182814,0,4908004,2086484,9793492,733448,0.0,0.0
2.105,3214612,3190439,0,4900808,2086484,9797616,733448,0.0,0.0
3.151,3219704,3195531,0,4756936,2086484,9884868,733448,0.0,0.0
4.194,3227244,3203072,0,4767368,2086484,9897916,733448,0.0,0.0
5.247,3229120,3204944,0,4777988,2086484,9898716,733448,0.0,0.0
6.287,3230156,3205980,0,4784556,2086484,9899532,733448,0.0,0.0
7.338,3233604,3209428,0,4800392,2086484,9903616,733448,0.0,0.0
8.372,3234236,3210060,0,4798732,2086484,9904384,733448,0.0,0.0
9.413,3234492,3210316,0,4808772,2086484,9905196,733448,0.0,0.0
10.457,3235904,3211728,0,4812640,2086484,9906912,733448,0.0,0.0
11.506,3240608,3216432,0,4807760,2086484,9911532,733448,0.0,0.0
12.554,3240912,3216736,0,4819160,2086484,9912104,733448,0.0,0.0
13.596,3241084,3216908,0,4823316,2086484,9912960,733448,0.0,0.0
14.728,3244348,3220172,0,4820860,2086484,9914852,733448,0.0,0.0
15.772,3245572,3221396,0,4836940,2086484,9917004,733448,0.0,0.0
16.828,3246324,3222149,0,4826824,2086480,9918832,733448,0.0,0.0
17.949,3247324,3223149,0,4819636,2086480,9918856,733448,0.0,0.0
19.008,3248192,3224017,0,4824812,2086480,9920212,733448,0.0,0.0
20.065,3248272,3224096,0,4834124,2086480,9920900,733448,0.0,0.0
21.12,3248272,3224096,0,4833260,2086480,9920740,733448,0.0,0.0
22.159,3248272,3224097,0,4831980,2086480,9920276,733448,0.0,0.0
23.196,3248272,3224097,0,4836136,2086480,9921580,733448,0.0,0.0
24.234,3248280,3224104,0,4841148,2086480,9920968,733448,0.0,0.0
25.282,3250744,3226569,0,4840692,2086480,9923996,733448,0.0,0.0
26.323,3250744,3226568,0,4831448,2086480,9923900,733448,0.0,0.0
27.359,3251940,3227764,0,4838228,2086480,9924508,733448,0.0,0.0
28.392,3256140,3231965,0,4832492,2086480,9928764,733448,0.0,0.0
29.433,3256140,3231965,0,4812856,2086480,9929048,733448,0.0,0.0
30.48,3258144,3233968,0,4817420,2086480,9930460,733448,0.0,0.0
31.532,3261508,3237333,0,4836624,2086480,9938912,733448,0.0,0.0
32.586,3265428,3241252,0,4847100,2086480,9939444,733448,0.0,0.0
33.626,3265844,3241669,0,4849576,2086480,9940608,733448,0.0,0.0
34.666,3266960,3242784,0,4853720,2086480,9940920,733448,0.0,0.0
35.721,3267196,3243020,0,4853824,2086480,9941608,733448,0.0,0.0
36.775,3267472,3243296,0,4855876,2086480,9941660,733448,0.0,0.0
37.82,3267800,3243625,0,4863056,2086480,9941656,733448,0.0,0.0
38.866,3268296,3244120,0,4862336,2086472,9941612,733448,0.0,0.0
39.922,3280548,3256372,0,4846428,2086472,9955380,733448,0.0,0.0
40.97,3280548,3256373,0,4837184,2086472,9955448,733448,0.0,0.0
42.027,3280548,3256373,0,4837508,2086472,9954888,733448,0.0,0.0
43.064,3280968,3256792,0,4836708,2086472,9955628,733448,0.0,0.0
44.119,3283776,3259601,0,4844028,2086472,9959032,733448,0.0,0.0
45.168,3283776,3259600,0,4846324,2086472,9959040,733448,0.0,0.0
46.212,3283776,3259601,0,4844488,2086472,9958292,733448,0.0,0.0
47.252,3285208,3261033,0,4840664,2086472,9959092,733448,0.0,0.0
48.284,3285428,3261252,0,4842216,2086472,9959768,733448,0.0,0.0
49.317,3285488,3261311,0,4843720,2086472,9968168,733448,0.0,0.0
50.352,3285488,3261312,0,4848944,2086472,9959772,733448,0.0,0.0
51.406,3285488,3261313,0,4849448,2086472,9960744,733448,0.0,0.0
52.438,3285488,3261311,0,4844112,2086472,9970600,733448,0.0,0.0
53.48,3285488,3261312,0,4848904,2086472,9963180,733448,0.0,0.0
54.525,3285488,3261312,0,4845484,2086472,9965952,733448,0.0,0.0
55.564,3285488,3261312,0,4840136,2086472,9967104,733448,0.0,0.0
56.609,3287904,3263728,0,4840088,2086472,9970800,733448,0.0,0.0
57.65,3289052,3264877,0,4838836,2086472,9973684,733448,0.0,0.0
58.704,3289076,3264900,0,4835228,2086472,9965140,733448,0.0,0.0
59.755,3292308,3268132,0,4831336,2086472,9970536,733448,0.0,0.0
60.798,3294724,3270548,0,4832820,2086472,9976164,733448,0.0,0.0
61.856,3295580,3271404,0,4846068,2086472,9977536,733448,0.0,0.0
62.912,3295604,3271428,0,4840972,2086472,9978184,733448,0.0,0.0
63.969,3296028,3271853,0,4840800,2086472,9978196,733448,0.0,0.0
65.019,3296080,3271904,0,4841096,2086472,9978808,733448,0.0,0.0
66.064,3296100,3271916,0,4836348,2086472,9985264,733448,0.0,0.0
67.115,3296128,3271955,0,4822024,2086472,9988708,733448,0.0,0.0
68.152,3296160,3271984,0,4814012,2086472,9985556,733448,0.0,0.0
69.199,3296188,3272012,0,4813304,2086472,9985624,733448,0.0,0.0
70.244,3296208,3272032,0,4801140,2086472,9987224,733448,0.0,0.0
71.287,3297752,3273577,0,4804300,2086472,9988492,733448,0.0,0.0
72.338,3298236,3274060,0,4810252,2086472,9987776,733448,0.0,0.0
73.392,3298264,3274088,0,4817008,2086472,9983388,733448,0.0,0.0
74.446,3298280,3274105,0,4814456,2086472,9983036,733448,0.0,0.0
75.489,3298308,3274133,0,4817960,2086472,9983444,733448,0.0,0.0
76.528,3298332,3274156,0,4813560,2086472,9982572,733448,0.0,0.0
77.571,3298364,3274189,0,4814388,2086472,9983164,733448,0.0,0.0
78.621,3298392,3274217,0,4815548,2086472,9982868,733448,0.0,0.0
79.676,3298520,3274345,0,4829924,2086472,9983588,733448,0.0,0.0
80.718,3298552,3274377,0,4830260,2086472,9982544,733448,0.0,0.0
81.757,3299344,3275169,0,4830400,2086472,9983468,733448,0.0,0.0
82.799,3299376,3275201,0,4820860,2086472,9984444,733448,0.0,0.0
83.836,3299404,3275229,0,4822284,2086472,9984404,733448,0.0,0.0
84.872,3299968,3275793,0,4824480,2086472,9984368,733448,0.0,0.0
85.928,3304116,3279941,0,4820680,2086472,9990840,733448,0.0,0.0
86.968,3305624,3281449,0,4818752,2086472,9992440,733448,0.0,0.0
88.015,3306400,3282221,0,4816144,2086472,9993012,733448,0.0,0.0
89.053,3306504,3282329,0,4814092,2086472,9992092,733448,0.0,0.0
90.1,3306536,3282361,0,4813072,2086472,9992564,733448,0.0,0.0
91.141,3306724,3283479,0,4870232,2086472,9927636,733448,0.0,0.0
91.183,3306724,3283479,0,4870232,2086472,9928080,733448,0.0,0.0
