Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0613814, 0.0237677, 0.0376124, 0.0189014, 18582, 127236, 1.24341e+06, 594624, 32
0.0455455, 0.0264072, 0.0191366, 0.00402639, 18597, 125675, 441816, 595104, 32
0.0368024, 0.0243173, 0.0124828, 0, 18603, 125693, 0, 595296, 32
0.0388573, 0.0260318, 0.0128234, 0, 18592, 126558, 0, 594944, 32
0.0354252, 0.0213587, 0.0140648, 0, 18603, 125653, 0, 595296, 32
0.108789, 0.0827923, 0.0259944, 0.0047918, 18518, 126852, 355101, 592576, 32
0.04441, 0.0296566, 0.014751, 1.4528e-05, 18611, 125772, 369, 595552, 32
0.048507, 0.0304629, 0.0180426, 0.00155153, 18509, 127024, 82041, 592288, 32
0.0408424, 0.0263308, 0.0145096, 4.706e-06, 18454, 125357, 123, 590528, 32
0.0503505, 0.0279236, 0.0224258, 0.00629475, 21244, 134427, 440340, 679808, 32
0.0479299, 0.024061, 0.0238674, 0.00639386, 18369, 121627, 434805, 587808, 32
0.0497921, 0.0264411, 0.0233502, 0.00794176, 27952, 123272, 752022, 894464, 32
0.0407784, 0.024441, 0.0163349, 0.00313411, 26533, 120874, 330378, 849056, 32
0.0352255, 0.0236665, 0.0115573, 0.00192138, 24491, 118504, 213282, 783712, 32
0.0327944, 0.0189396, 0.0138529, 0.00178649, 22558, 113331, 147600, 721856, 32
0.0340821, 0.0218381, 0.0122424, 0.00120837, 22006, 109057, 104427, 704192, 32
0.0262058, 0.0180051, 0.00819961, 0.000360683, 22004, 108852, 24600, 704128, 32
0.0314355, 0.021114, 0.0103203, 1.0575e-05, 22006, 108942, 369, 704192, 32
0.0403314, 0.02484, 0.0154902, 0.00254429, 28591, 120496, 190527, 914912, 32
0.0262207, 0.0146697, 0.0115484, 0.00466557, 57313, 74467, 500733, 1.83402e+06, 32
0.027637, 0.0161457, 0.01149, 0.00353006, 63049, 81185, 383514, 2.01757e+06, 32
0.037846, 0.0216552, 0.0161892, 0.00563462, 50469, 94079, 568014, 1.61501e+06, 32
0.0355399, 0.0211633, 0.0143757, 0.00342945, 56353, 89886, 281055, 1.8033e+06, 32
0.0431273, 0.0229452, 0.0201803, 0.00677339, 29379, 102736, 678345, 940128, 32
0.0371525, 0.0217267, 0.0154238, 0.0031217, 29620, 103664, 351657, 947840, 32
0.0323944, 0.0193471, 0.0130459, 0.00278937, 28407, 96143, 274167, 909024, 32
