Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0214672, 0.00966851, 0.0117971, 0.00617147, 5917, 43408, 400611, 118340, 20
0.0201571, 0.0144902, 0.0056654, 0.00107382, 5906, 43066, 102705, 118120, 20
0.0177481, 0.013404, 0.00434247, 0, 5917, 43109, 0, 118340, 20
0.0112331, 0.00809904, 0.00313283, 0, 5921, 43537, 0, 118420, 20
0.0179353, 0.011495, 0.00643802, 0.00126386, 5894, 43901, 134316, 117880, 20
0.0149844, 0.00965354, 0.00532877, 0, 5917, 43081, 0, 118340, 20
0.0129093, 0.00928203, 0.00362602, 0.000164322, 5890, 43819, 10086, 117800, 20
0.0170802, 0.0101723, 0.00690575, 0.00045604, 5917, 43940, 24231, 118340, 20
0.0140359, 0.00940287, 0.00463197, 0.000627293, 5890, 44105, 52029, 117800, 20
0.0238891, 0.0181231, 0.00576482, 0, 5901, 43037, 0, 118020, 20
0.0189466, 0.0137994, 0.00514537, 5.186e-06, 5886, 44187, 123, 117720, 20
0.0205717, 0.0164602, 0.00411034, 5.24e-06, 5880, 43930, 123, 117600, 20
0.0212536, 0.0166669, 0.00458515, 4.984e-06, 5925, 43885, 123, 118500, 20
0.0230629, 0.0183884, 0.00467263, 0, 5923, 43680, 0, 118460, 20
0.0178465, 0.0134142, 0.00443104, 0, 5886, 44187, 0, 117720, 20
0.0238809, 0.0193493, 0.00452906, 0, 5890, 43819, 0, 117800, 20
0.0199638, 0.0123676, 0.00759486, 0.00312034, 8645, 38156, 178227, 172900, 20
0.0196853, 0.0128153, 0.00686795, 0.00190595, 8451, 39155, 105780, 169020, 20
0.0222157, 0.0151248, 0.00708883, 0.00187568, 7675, 42814, 103074, 153500, 20
0.0268077, 0.0186586, 0.00814714, 0.00261075, 7154, 41850, 140220, 143080, 20
0.0240543, 0.0166533, 0.00739964, 0.00219402, 6003, 41150, 132102, 120060, 20
0.0208294, 0.0133316, 0.00749615, 0.002106, 6184, 41444, 112668, 123680, 20
0.0191404, 0.0127589, 0.00638047, 0.00149199, 6411, 38395, 89790, 128220, 20
0.0268647, 0.0188749, 0.00798864, 0.00228955, 6182, 42589, 126075, 123640, 20
0.0195844, 0.0123606, 0.00722271, 0.00261409, 7448, 42964, 168510, 148960, 20
0.0208209, 0.013938, 0.00688168, 0.00215679, 10714, 44255, 146247, 214280, 20
0.0228811, 0.0152715, 0.00760863, 0.00190988, 13126, 49644, 128658, 262520, 20
0.0211218, 0.0141973, 0.00692339, 0.00187717, 13518, 42767, 118818, 270360, 20
0.0197397, 0.0136529, 0.00608553, 0.00122988, 13370, 41275, 80811, 267400, 20
0.0157564, 0.0114022, 0.00435305, 0.000554879, 8648, 31769, 36531, 172960, 20
0.0161971, 0.0119556, 0.00423708, 0.00040232, 8694, 32368, 24354, 173880, 20
0.0170072, 0.011699, 0.00530656, 0.00197651, 12636, 31049, 109224, 252720, 20
0.0133212, 0.00975655, 0.00356335, 0.00110065, 12422, 26770, 82164, 248440, 20
0.014852, 0.0103437, 0.00450647, 0.00125801, 14424, 30584, 71586, 288480, 20
0.0144515, 0.0102132, 0.00423676, 0.000967657, 14937, 26345, 50553, 298740, 20
0.0129907, 0.0085515, 0.00443724, 0.00136748, 19674, 26782, 76998, 393480, 20
0.0127615, 0.00855137, 0.00420878, 0.00136855, 31336, 23017, 99138, 626720, 20
0.0198734, 0.0130677, 0.00680328, 0.00254512, 41214, 32065, 165804, 824280, 20
0.0183133, 0.013345, 0.00496629, 0.00131548, 42203, 26594, 97047, 844060, 20
0.016566, 0.0109988, 0.00556526, 0.00116052, 39408, 30007, 77121, 788160, 20
0.0143561, 0.00972041, 0.00463398, 0.000963093, 35637, 31118, 62115, 712740, 20
0.0135506, 0.00968525, 0.003864, 0.000547871, 35616, 30925, 39729, 712320, 20
0.0130759, 0.00980061, 0.0032741, 9.188e-05, 35635, 31059, 2952, 712700, 20
0.0136279, 0.00991607, 0.00371068, 0.000399534, 35666, 31123, 25092, 713320, 20
0.0139622, 0.010221, 0.0037398, 0.000451342, 36134, 30486, 22878, 722680, 20
0.0311047, 0.0269391, 0.00416384, 0.000478086, 36587, 31299, 26937, 731740, 20
0.015865, 0.0109444, 0.00491881, 0.000792352, 38930, 35766, 42804, 778600, 20
0.014782, 0.0105534, 0.00422734, 0.00079153, 49059, 30083, 59778, 981180, 20
