elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3179796,3156744,0,5508800,2087660,8846580,733584,0.0,0.0
1.036,3181540,3157656,0,5434892,2087624,8916924,733548,0.0,0.0
2.093,3209640,3185621,0,5393404,2087620,8947712,733544,0.0,0.0
3.14,3216184,3192130,0,5156544,2087612,9009472,733544,0.0,0.0
4.18,3224284,3200189,0,5159664,2087612,9027260,733544,0.0,0.0
5.23,3235792,3211695,0,5167608,2087612,9041820,733544,0.0,0.0
6.282,3241052,3216950,0,5176528,2087612,9045596,733544,0.0,0.0
7.321,3241444,3217453,0,5183092,2087612,9057368,733544,0.0,0.0
8.359,3247508,3223407,0,5207272,2087612,9054576,733544,0.0,0.0
9.402,3247508,3223407,0,5218124,2087612,9054232,733544,0.0,0.0
10.457,3251388,3227287,0,5230476,2087612,9063416,733544,0.0,0.0
11.496,3251992,3227891,0,5234576,2087612,9065236,733544,0.0,0.0
12.529,3252032,3227931,0,5253376,2087612,9065436,733544,0.0,0.0
13.583,3256372,3232271,0,5253352,2087584,9069624,733544,0.0,0.0
14.639,3257064,3232963,0,5257736,2087584,9070032,733544,0.0,0.0
15.679,3257712,3234710,0,5258512,2087584,9083080,733544,0.0,0.0
16.718,3280260,3256159,0,5258084,2087584,9093308,733544,0.0,0.0
17.773,3283728,3259627,0,5261136,2087584,9097316,733544,0.0,0.0
18.82,3283728,3259627,0,5252820,2087584,9097872,733544,0.0,0.0
19.874,3283728,3259627,0,5258940,2087584,9096940,733544,0.0,0.0
20.913,3285908,3261807,0,5262612,2087576,9098604,733544,0.0,0.0
21.969,3290488,3266387,0,5268360,2087576,9102752,733544,0.0,0.0
23.018,3296388,3272287,0,5262188,2087576,9110100,733544,0.0,0.0
24.048,3298528,3274418,0,5259252,2087576,9113372,733544,0.0,0.0
25.088,3301196,3277095,0,5258632,2087576,9113408,733544,0.0,0.0
26.142,3303060,3278959,0,5255036,2087576,9115448,733544,0.0,0.0
27.197,3303060,3278959,0,5256184,2087576,9116116,733544,0.0,0.0
28.237,3303316,3279215,0,5261668,2087576,9116164,733544,0.0,0.0
29.292,3303348,3279247,0,5263500,2087576,9116888,733544,0.0,0.0
30.417,3303672,3279571,0,5286120,2087576,9115292,733544,0.0,0.0
31.472,3303672,3279571,0,5284968,2087576,9116036,733544,0.0,0.0
32.527,3303676,3279575,0,5281020,2087576,9118052,733544,0.0,0.0
33.584,3305144,3281043,0,5276952,2087576,9122816,733544,0.0,0.0
34.623,3305480,3281379,0,5278864,2087576,9124476,733544,0.0,0.0
35.678,3305604,3281497,0,5269176,2087576,9125708,733544,0.0,0.0
36.736,3305604,3281497,0,5273560,2087576,9124616,733544,0.0,0.0
37.78,3305604,3281496,0,5274444,2087576,9128588,733544,0.0,0.0
38.871,3305604,3281496,0,5285900,2087576,9125872,733544,0.0,0.0
39.916,3310300,3286192,0,5283320,2087576,9131500,733544,0.0,0.0
40.97,3311464,3287355,0,5275908,2087576,9132828,733544,0.0,0.0
42.012,3312480,3288372,0,5273728,2087576,9134316,733544,0.0,0.0
43.051,3314488,3290363,0,5272472,2087576,9135288,733544,0.0,0.0
44.106,3315576,3291451,0,5272120,2087576,9136416,733544,0.0,0.0
45.165,3328960,3304835,0,5251324,2087576,9152776,733544,0.0,0.0
46.224,3330128,3306003,0,5248748,2087576,9159660,733544,0.0,0.0
47.286,3330136,3306011,0,5247276,2087576,9160276,733544,0.0,0.0
48.337,3330140,3306016,0,5246280,2087576,9161592,733544,0.0,0.0
49.399,3333312,3309187,0,5232652,2087576,9166092,733544,0.0,0.0
50.459,3333964,3309839,0,5231840,2087576,9167068,733544,0.0,0.0
51.521,3333964,3309840,0,5219528,2087576,9175248,733544,0.0,0.0
52.564,3333964,3309839,0,5231940,2087576,9160324,733544,0.0,0.0
53.624,3334336,3310211,0,5235504,2087564,9160892,733544,0.0,0.0
54.683,3334396,3310271,0,5223428,2087564,9163256,733544,0.0,0.0
55.743,3335552,3311428,0,5223248,2087564,9163264,733544,0.0,0.0
56.798,3341444,3317319,0,5224484,2087564,9169244,733544,0.0,0.0
57.859,3342824,3318699,0,5217856,2087564,9170648,733544,0.0,0.0
58.912,3342824,3318699,0,5219328,2087564,9170908,733544,0.0,0.0
59.971,3342824,3318698,0,5218256,2087528,9179912,733544,0.0,0.0
61.007,3342824,3318699,0,5221632,2087528,9169860,733544,0.0,0.0
62.057,3342824,3318700,0,5222496,2087528,9169692,733544,0.0,0.0
63.122,3342824,3318700,0,5237968,2087528,9170496,733544,0.0,0.0
64.175,3342824,3318699,0,5238668,2087528,9171384,733544,0.0,0.0
65.239,3342824,3318699,0,5238704,2087528,9175772,733544,0.0,0.0
66.298,3342824,3318699,0,5230932,2087528,9176104,733544,0.0,0.0
67.359,3342824,3318699,0,5229988,2087528,9176472,733544,0.0,0.0
68.419,3342824,3318687,0,5232764,2087528,9179004,733544,0.0,0.0
69.464,3342952,3318826,0,5231376,2087528,9180400,733544,0.0,0.0
70.51,3343936,3319811,0,5223976,2087528,9185304,733544,0.0,0.0
71.571,3343936,3319811,0,5221988,2087528,9183520,733544,0.0,0.0
72.632,3344456,3320331,0,5228120,2087528,9184740,733544,0.0,0.0
73.69,3344456,3320331,0,5227168,2087528,9185052,733544,0.0,0.0
74.74,3344420,3321110,0,5274616,2087528,9119876,733544,0.0,0.0
74.781,3344420,3321110,0,5274616,2087528,9120144,733544,0.0,0.0
