elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.001,3172412,3149143,0,5155456,2086528,9625104,733452,0.0,0.0
1.052,3178996,3154858,0,5090972,2086528,9675420,733452,0.0,0.0
2.106,3201208,3176811,0,4994228,2086528,9736496,733452,0.0,0.0
3.162,3211444,3187047,0,4801176,2086528,9823868,733452,0.0,0.0
4.218,3217996,3193599,0,4807340,2086528,9842372,733452,0.0,0.0
5.27,3219952,3195555,0,4813744,2086528,9838420,733452,0.0,0.0
6.316,3223276,3198877,0,4836420,2086528,9841924,733452,0.0,0.0
7.373,3223284,3198885,0,4839240,2086524,9850280,733452,0.0,0.0
8.434,3226504,3202105,0,4863644,2086524,9848120,733452,0.0,0.0
9.491,3232768,3208369,0,4867104,2086524,9859100,733452,0.0,0.0
10.547,3236468,3212069,0,4863944,2086524,9862996,733452,0.0,0.0
11.589,3237388,3212985,0,4865636,2086524,9863388,733452,0.0,0.0
12.645,3237388,3212985,0,4869564,2086524,9863556,733452,0.0,0.0
13.701,3239668,3215265,0,4867200,2086524,9865052,733452,0.0,0.0
14.742,3241956,3217553,0,4867092,2086524,9868572,733452,0.0,0.0
15.8,3246732,3222329,0,4868508,2086524,9877256,733452,0.0,0.0
16.841,3247592,3223175,0,4878116,2086524,9879064,733452,0.0,0.0
17.898,3247972,3223536,0,4880300,2086524,9879720,733452,0.0,0.0
18.953,3248620,3224183,0,4883384,2086524,9881176,733452,0.0,0.0
20.016,3248624,3224188,0,4893764,2086524,9880148,733452,0.0,0.0
21.072,3252256,3227820,0,4896364,2086524,9883368,733452,0.0,0.0
22.127,3257448,3233009,0,4878220,2086524,9896572,733452,0.0,0.0
23.173,3259644,3235207,0,4891992,2086524,9890676,733452,0.0,0.0
24.227,3259644,3235207,0,4893280,2086524,9891976,733452,0.0,0.0
25.282,3267100,3242653,0,4891912,2086524,9899108,733452,0.0,0.0
26.315,3267964,3243517,0,4897052,2086524,9898884,733452,0.0,0.0
27.371,3271780,3247333,0,4895992,2086524,9903476,733452,0.0,0.0
28.425,3272692,3248245,0,4888792,2086524,9903076,733452,0.0,0.0
29.481,3272692,3248246,0,4889784,2086524,9903632,733452,0.0,0.0
30.534,3272692,3248245,0,4890716,2086524,9903980,733452,0.0,0.0
31.59,3273104,3248657,0,4883484,2086524,9905624,733452,0.0,0.0
32.644,3273428,3248981,0,4883032,2086524,9905812,733452,0.0,0.0
33.7,3273428,3248981,0,4888020,2086524,9905512,733452,0.0,0.0
34.755,3273428,3248981,0,4888232,2086524,9904664,733452,0.0,0.0
35.815,3273428,3248981,0,4887772,2086524,9903664,733452,0.0,0.0
36.872,3273560,3249111,0,4884068,2086524,9912624,733452,0.0,0.0
37.929,3273560,3249113,0,4896616,2086524,9904104,733452,0.0,0.0
38.986,3273560,3249113,0,4892364,2086524,9904440,733452,0.0,0.0
40.036,3273560,3249105,0,4889768,2086524,9909092,733452,0.0,0.0
41.091,3273560,3249113,0,4872520,2086524,9905780,733452,0.0,0.0
42.145,3273560,3249118,0,4875172,2086524,9906444,733452,0.0,0.0
43.181,3273560,3249113,0,4874416,2086524,9906124,733452,0.0,0.0
44.239,3273684,3249236,0,4878108,2086524,9905376,733452,0.0,0.0
45.294,3273712,3249264,0,4879080,2086524,9906820,733452,0.0,0.0
46.34,3274148,3249700,0,4884156,2086524,9909656,733452,0.0,0.0
47.392,3274148,3249700,0,4881136,2086524,9907988,733452,0.0,0.0
48.448,3275172,3250724,0,4880136,2086524,9910052,733452,0.0,0.0
49.504,3275172,3250724,0,4870980,2086524,9910576,733452,0.0,0.0
50.547,3275836,3251388,0,4875296,2086524,9911848,733452,0.0,0.0
51.605,3278380,3253930,0,4868832,2086524,9922884,733452,0.0,0.0
52.645,3278452,3254004,0,4875380,2086524,9915292,733452,0.0,0.0
53.7,3280824,3256376,0,4872896,2086524,9917688,733452,0.0,0.0
54.748,3282784,3258334,0,4850696,2086524,9929132,733452,0.0,0.0
55.791,3283292,3258844,0,4849316,2086524,9921292,733452,0.0,0.0
56.838,3284416,3259968,0,4859172,2086524,9923948,733452,0.0,0.0
57.892,3284416,3259968,0,4862148,2086524,9923360,733452,0.0,0.0
58.947,3285136,3260688,0,4870768,2086524,9924624,733452,0.0,0.0
60.004,3285672,3261224,0,4871876,2086524,9924980,733452,0.0,0.0
61.048,3285672,3261224,0,4865572,2086524,9923508,733452,0.0,0.0
62.104,3285672,3261224,0,4865052,2086524,9923784,733452,0.0,0.0
63.162,3285672,3261224,0,4866244,2086524,9923880,733452,0.0,0.0
64.219,3285672,3261224,0,4855220,2086524,9924020,733452,0.0,0.0
65.268,3285636,3262054,0,4927080,2086524,9851256,733452,0.0,0.0
65.309,3285636,3262054,0,4927080,2086524,9851148,733452,0.0,0.0
