Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0226535, 0.0105598, 0.0120924, 0.00675732, 5917, 43935, 401595, 118340, 20
0.0186482, 0.0124473, 0.0061991, 0.00144758, 5906, 43066, 148830, 118120, 20
0.0151381, 0.011389, 0.00374738, 0, 5917, 43109, 0, 118340, 20
0.0145395, 0.010088, 0.00444977, 0.00100616, 5894, 43901, 122262, 117880, 20
0.0145766, 0.0106101, 0.00396472, 0, 5917, 43081, 0, 118340, 20
0.0229265, 0.0160031, 0.00692138, 0, 5917, 43940, 0, 118340, 20
0.0188861, 0.0144383, 0.00444584, 0, 5901, 43037, 0, 118020, 20
0.0187295, 0.0119863, 0.00674176, 0.000824367, 5880, 43930, 48708, 117600, 20
0.0170587, 0.0120141, 0.00504265, 0, 5923, 43680, 0, 118460, 20
0.0180252, 0.0125701, 0.00545341, 0, 5886, 44187, 0, 117720, 20
0.0295786, 0.0180544, 0.0115219, 0.00469496, 7274, 47721, 270231, 145480, 20
0.0232401, 0.014645, 0.00859368, 0.00223032, 8176, 43527, 139113, 163520, 20
0.0219011, 0.0127599, 0.00913969, 0.00283741, 7992, 42458, 152274, 159840, 20
0.0648901, 0.03034, 0.0345486, 0.0161174, 17865, 118215, 665553, 357300, 20
0.0557529, 0.029921, 0.0258301, 0.00860349, 21969, 116250, 501225, 439380, 20
0.0203321, 0.0135644, 0.00676645, 0.00171326, 15647, 38706, 118326, 312940, 20
0.046393, 0.0274116, 0.0189796, 0.00473007, 21295, 110310, 273798, 425900, 20
0.0579755, 0.0362353, 0.0217385, 0.00464778, 26403, 121576, 321645, 844896, 32
0.0151895, 0.0107431, 0.00444532, 0.00057098, 9174, 32375, 32103, 183480, 20
0.0220335, 0.0168929, 0.00513854, 0.00052133, 8944, 31982, 22017, 178880, 20
0.0145194, 0.0106733, 0.00384474, 0.00031752, 8981, 32194, 17466, 179620, 20
0.0174215, 0.0128774, 0.00454197, 0.000992304, 14151, 35390, 63960, 283020, 20
0.0221364, 0.0147513, 0.00738311, 0.00278357, 29098, 34825, 158793, 581960, 20
0.0162945, 0.0101611, 0.006132, 0.00242647, 43217, 30363, 163836, 864340, 20
0.0158077, 0.0101825, 0.00562411, 0.00216023, 43772, 32899, 163959, 875440, 20
0.0155154, 0.0100343, 0.00547949, 0.00163101, 40688, 29461, 131487, 813760, 20
0.0171158, 0.0110818, 0.00603262, 0.00182654, 39985, 33120, 133947, 799700, 20
0.0396353, 0.0246524, 0.0149816, 0.00453867, 47970, 81350, 315987, 1.53504e+06, 32
0.0299871, 0.0186197, 0.0113661, 0.00207957, 37153, 71298, 139605, 743060, 20
0.0291581, 0.0186447, 0.0105122, 0.00133559, 37137, 71540, 91143, 742740, 20
0.0384893, 0.0251496, 0.0133375, 0.00270871, 51005, 82945, 198399, 1.0201e+06, 20
0.0274692, 0.0165344, 0.0109333, 0.00323761, 39205, 50378, 211929, 784100, 20
0.0232934, 0.0157266, 0.00756483, 0.00228306, 40036, 44102, 170601, 800720, 20
0.0256618, 0.016342, 0.0093184, 0.00386947, 39962, 46339, 280317, 799240, 20
0.0219806, 0.0138362, 0.00814265, 0.00254584, 29237, 44251, 186468, 584740, 20
0.0420135, 0.0257054, 0.0163065, 0.0043596, 35601, 95931, 283884, 1.13923e+06, 32
0.0218712, 0.0177822, 0.00408746, 0.000585645, 20467, 37869, 46617, 409340, 20
0.0213405, 0.014642, 0.00669681, 0.0014913, 23117, 44957, 98769, 462340, 20
0.0197977, 0.0127215, 0.00707284, 0.00184163, 29362, 43800, 138990, 587240, 20
0.0167191, 0.0109028, 0.00581438, 0.00180051, 21718, 33549, 146370, 434360, 20
0.0337999, 0.0206795, 0.0131184, 0.00461852, 38179, 81454, 330993, 763580, 20
0.0448259, 0.0267898, 0.018034, 0.00429467, 36812, 86767, 309714, 1.17798e+06, 32
0.0328435, 0.0202861, 0.0125554, 0.00210363, 28125, 75917, 127182, 562500, 20
0.0312321, 0.0203341, 0.0108961, 0.00141267, 28162, 77702, 95817, 563240, 20
0.0162151, 0.0110545, 0.00515899, 0.000920201, 25978, 33444, 69372, 519560, 20
0.0227122, 0.0138005, 0.00891045, 0.00268312, 41857, 48019, 170847, 837140, 20
0.0203369, 0.0123459, 0.00798946, 0.00265547, 26389, 41587, 184992, 527780, 20
0.0145904, 0.0107959, 0.00379226, 0.00112938, 29569, 22348, 89544, 591380, 20
0.0364338, 0.0220781, 0.0143539, 0.00352699, 37076, 83251, 228042, 1.18643e+06, 32
0.0090673, 0.00642064, 0.00264532, 0.000341577, 20019, 20134, 23493, 400380, 20
0.012494, 0.00971215, 0.00278004, 0.000288892, 20023, 20070, 10086, 400460, 20
0.0151667, 0.0104204, 0.004745, 0.00128687, 32667, 30023, 97416, 653340, 20
0.0206277, 0.0125055, 0.00812093, 0.00312582, 34180, 38266, 216726, 683600, 20
0.046999, 0.02928, 0.0177173, 0.00542405, 32135, 87860, 390648, 642700, 20
0.0448274, 0.0255033, 0.0193226, 0.00602894, 42949, 95430, 426564, 858980, 20
0.0408652, 0.0246327, 0.0162303, 0.00475071, 42024, 83771, 375888, 840480, 20
0.0221484, 0.0139166, 0.00823061, 0.00254426, 31271, 41696, 193848, 625420, 20
0.0553501, 0.0375835, 0.0177645, 0.00430003, 39578, 87034, 309345, 1.2665e+06, 32
0.0177583, 0.013016, 0.0047403, 0.000727755, 19311, 38213, 54612, 386220, 20
0.0146443, 0.0110701, 0.00357292, 0.000316619, 19287, 38211, 21648, 385740, 20
0.0214041, 0.0152945, 0.00610776, 0.00103065, 25443, 41451, 65559, 508860, 20
0.0188498, 0.012887, 0.00596155, 0.00130906, 25478, 35502, 99384, 509560, 20
0.0157097, 0.0104244, 0.00528355, 0.00142738, 18306, 32128, 87084, 366120, 20
0.0132751, 0.00858771, 0.00468565, 0.00171935, 34467, 25769, 136161, 689340, 20
0.0109369, 0.00743252, 0.00350333, 0.00135772, 33959, 16890, 129150, 679180, 20
0.0134469, 0.00999765, 0.00344782, 0.0010667, 35721, 19611, 91266, 714420, 20
0.012029, 0.00774633, 0.00428155, 0.00153188, 45202, 21044, 115989, 904040, 20
0.0163818, 0.010109, 0.00627181, 0.0020276, 41759, 31619, 171585, 835180, 20
0.0182947, 0.0115973, 0.00669558, 0.00239267, 19452, 30098, 201597, 389040, 20
0.0104541, 0.00668332, 0.00376932, 0.000943348, 9769, 19761, 92988, 195380, 20
0.0404508, 0.0240791, 0.01637, 0.00564489, 27459, 76814, 461004, 878688, 32
0.00629119, 0.00442961, 0.0018603, 0.000335279, 4821, 13021, 26076, 96420, 20
0.0144051, 0.00977136, 0.00463242, 0.00118268, 9634, 30633, 104550, 192680, 20
0.0264897, 0.0174321, 0.00905622, 0.00210103, 16459, 65332, 178596, 329180, 20
0.0281287, 0.0175728, 0.0105539, 0.00249768, 25671, 68650, 196800, 513420, 20
0.0369095, 0.023736, 0.0131719, 0.00333791, 38784, 81925, 260145, 775680, 20
0.0392959, 0.025605, 0.0136891, 0.00251574, 35279, 81639, 184377, 1.12893e+06, 32
0.0193292, 0.0125126, 0.00681489, 0.00195474, 27110, 39151, 146739, 542200, 20
0.0159419, 0.0110243, 0.00491612, 0.001135, 27161, 31722, 85116, 543220, 20
0.0396472, 0.0277971, 0.0118487, 0.0023373, 50236, 77852, 184869, 1.60755e+06, 32
0.0119253, 0.00862676, 0.00329695, 0.00055277, 21401, 24449, 40713, 428020, 20
0.010685, 0.00776327, 0.00292027, 0.000376656, 18341, 23288, 23985, 366820, 20
0.0102399, 0.00779539, 0.00244356, 0.000149348, 18351, 23325, 6396, 367020, 20
0.0166872, 0.011495, 0.00519076, 0.00116631, 26865, 34213, 85116, 537300, 20
0.019005, 0.0124222, 0.00658098, 0.00173159, 35779, 40539, 138006, 715580, 20
0.0286219, 0.0187835, 0.00983663, 0.00253934, 39571, 67634, 248214, 791420, 20
