elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.006,3185164,3161988,0,5302412,2087208,9422640,733456,0.0,0.0
1.057,3203412,3179307,0,5197844,2087192,9508600,733456,0.0,0.0
2.095,3208808,3184688,0,5190008,2087184,9513588,733456,0.0,0.0
3.132,3212404,3188304,0,5041980,2087184,9651828,733456,0.0,0.0
4.167,3216800,3192680,0,5038728,2087184,9656256,733456,0.0,0.0
5.205,3217444,3193324,0,5046884,2087184,9655632,733456,0.0,0.0
6.248,3220916,3196793,0,5047308,2087184,9659464,733456,0.0,0.0
7.284,3224288,3200165,0,5048416,2087184,9662056,733456,0.0,0.0
8.317,3228484,3204361,0,5065856,2087184,9672268,733456,0.0,0.0
9.369,3231976,3207853,0,5065588,2087184,9674152,733456,0.0,0.0
10.406,3234376,3210252,0,5063344,2087184,9676540,733456,0.0,0.0
11.435,3236304,3212181,0,5085148,2087184,9626424,733456,0.0,0.0
12.475,3238012,3213889,0,5085984,2087184,9628540,733456,0.0,0.0
13.514,3241128,3217003,0,5075676,2087184,9640540,733456,0.0,0.0
14.549,3241556,3217433,0,5092728,2087184,9631764,733456,0.0,0.0
15.589,3244148,3220024,0,5091792,2087184,9635208,733456,0.0,0.0
16.627,3245256,3221134,0,5080056,2087184,9636712,733456,0.0,0.0
17.678,3247764,3223641,0,5083820,2087184,9639120,733456,0.0,0.0
18.718,3250900,3226777,0,5088076,2087184,9643268,733456,0.0,0.0
19.769,3251424,3227300,0,5097476,2087184,9643056,733456,0.0,0.0
20.806,3251424,3227300,0,5098252,2087184,9643412,733456,0.0,0.0
21.854,3251908,3227784,0,5093756,2087184,9651496,733456,0.0,0.0
22.888,3251908,3227785,0,5107516,2087184,9642416,733456,0.0,0.0
23.93,3252124,3228001,0,5109796,2087184,9642688,733456,0.0,0.0
24.96,3252652,3228529,0,5106964,2087184,9643224,733456,0.0,0.0
26.011,3253452,3229330,0,5109872,2087184,9645800,733456,0.0,0.0
27.05,3253452,3229329,0,5103832,2087184,9647808,733456,0.0,0.0
28.09,3253452,3229329,0,5098056,2087184,9646676,733456,0.0,0.0
