Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0806201, 0.0399266, 0.0406923, 0.0188168, 18537, 126614, 1.24574e+06, 593184, 32
0.067167, 0.0439885, 0.0231769, 0.00237445, 18518, 126852, 165558, 592576, 32
0.0519284, 0.0266211, 0.0253055, 0.00536053, 18611, 125772, 522873, 595552, 32
0.0384463, 0.0219572, 0.016488, 0.00121662, 18509, 127024, 83886, 592288, 32
0.0394933, 0.0217111, 0.0177807, 0.00128346, 18550, 126829, 89052, 593600, 32
0.0432304, 0.0244477, 0.018781, 0.00159823, 18588, 126851, 107871, 594816, 32
0.0428748, 0.0262863, 0.0165871, 8.515e-06, 18603, 126595, 246, 595296, 32
0.0489287, 0.0228112, 0.0261155, 0.00692716, 18601, 125417, 519552, 595232, 32
0.051139, 0.024531, 0.0266064, 0.00694758, 21130, 128407, 617583, 676160, 32
0.0468259, 0.0273775, 0.0194463, 0.00388797, 33291, 132392, 443415, 1.06531e+06, 32
0.0332809, 0.018295, 0.0149849, 0.00255805, 21016, 113760, 274044, 672512, 32
0.0360689, 0.0190887, 0.0169792, 0.00144167, 20943, 113193, 99015, 670176, 32
0.0405754, 0.0241619, 0.0164123, 0.00206912, 27243, 124236, 176013, 871776, 32
0.0405876, 0.021999, 0.0185871, 0.0049608, 34272, 112328, 491139, 1.0967e+06, 32
0.0311338, 0.0169335, 0.0141985, 0.00425453, 42877, 77379, 423366, 1.37206e+06, 32
0.0284073, 0.0178995, 0.010506, 0.00164918, 41135, 71734, 171462, 1.31632e+06, 32
0.0256495, 0.0158056, 0.00984208, 0.0011285, 41161, 71890, 113283, 1.31715e+06, 32
0.0223112, 0.01499, 0.0073196, 3.8854e-05, 41177, 71862, 1476, 1.31766e+06, 32
0.0232131, 0.0132, 0.0100108, 0.00108092, 43824, 75427, 91143, 1.40237e+06, 32
0.0241819, 0.0143815, 0.00979929, 0.00117834, 47089, 77546, 101598, 1.50685e+06, 32
0.0248676, 0.0144395, 0.0104262, 0.00167948, 48529, 73524, 136407, 1.55293e+06, 32
0.0364605, 0.0195658, 0.016893, 0.00567064, 46429, 90131, 559896, 1.48573e+06, 32
0.0286672, 0.0163684, 0.0122973, 0.00262552, 45674, 86351, 293109, 1.46157e+06, 32
0.0327942, 0.0185312, 0.0142612, 0.00244509, 42258, 87699, 221892, 1.35226e+06, 32
0.0327646, 0.0200048, 0.0127584, 0.00194381, 39374, 89619, 155226, 1.25997e+06, 32
0.0277595, 0.0166556, 0.0111024, 0.00115064, 34918, 82225, 90897, 1.11738e+06, 32
0.0407082, 0.0210302, 0.0196762, 0.00464207, 27375, 105038, 386466, 876000, 32
0.0367213, 0.0208662, 0.0158525, 0.00407065, 37909, 92263, 436404, 1.21309e+06, 32
0.0285161, 0.0161985, 0.0123155, 0.00246519, 41317, 82803, 232470, 1.32214e+06, 32
0.0262359, 0.0163247, 0.0099093, 0.00131888, 37200, 75085, 135915, 1.1904e+06, 32
0.0224277, 0.014082, 0.00834382, 0.00044431, 37191, 74452, 29520, 1.19011e+06, 32
0.0288146, 0.0185735, 0.0102395, 0.00126393, 39204, 81198, 105657, 1.25453e+06, 32
0.0337068, 0.0207929, 0.0129116, 0.00206973, 47775, 86009, 194709, 1.5288e+06, 32
0.0276962, 0.0175097, 0.0101845, 0.00130585, 44580, 84252, 129765, 1.42656e+06, 32
0.0289486, 0.0191777, 0.00976901, 0.000974631, 44604, 83780, 89790, 1.42733e+06, 32
0.0281816, 0.0191639, 0.00901605, 0.000948479, 53268, 77343, 78105, 1.70458e+06, 32
0.0292112, 0.019503, 0.00970649, 0.000827605, 40259, 79803, 63714, 1.28829e+06, 32
0.0274377, 0.0174937, 0.00994236, 0.000901843, 50887, 82117, 67158, 1.62838e+06, 32
0.0275499, 0.0181122, 0.00943573, 0.000892284, 53460, 80087, 64206, 1.71072e+06, 32
0.0234123, 0.0157824, 0.00762737, 0.000500384, 41217, 71628, 40098, 1.31894e+06, 32
0.0234381, 0.0155901, 0.00784664, 0.000459814, 41248, 72041, 25953, 1.31994e+06, 32
0.0219729, 0.0144253, 0.00754634, 0.000217785, 41173, 71253, 10332, 1.31754e+06, 32
0.021493, 0.0149688, 0.00652188, 0, 41217, 71634, 0, 1.31894e+06, 32
0.0215727, 0.0152035, 0.00636701, 0, 41246, 71735, 0, 1.31987e+06, 32
0.0221552, 0.0156213, 0.00653189, 4.083e-06, 41225, 71780, 123, 1.3192e+06, 32
0.0224879, 0.014377, 0.00810965, 0.000432812, 41397, 74413, 23862, 1.3247e+06, 32
0.0275727, 0.0173703, 0.0102008, 0.000650396, 46577, 78757, 38745, 1.49046e+06, 32
0.0267677, 0.0182909, 0.00847572, 0.000592047, 50123, 82073, 49200, 1.60394e+06, 32
0.0310366, 0.0184513, 0.0125841, 0.00146126, 38044, 90865, 122508, 1.21741e+06, 32
0.0329623, 0.0197413, 0.01322, 0.00158681, 40302, 99783, 138252, 1.28966e+06, 32
0.0323612, 0.0200601, 0.0123, 0.00140922, 39909, 104018, 106887, 1.27709e+06, 32
0.0344595, 0.021083, 0.0133753, 0.0016142, 42043, 104946, 124722, 1.34538e+06, 32
0.0333347, 0.021028, 0.0123053, 0.00136986, 42104, 102512, 117834, 1.34733e+06, 32
0.0347762, 0.0185192, 0.0162548, 0.00468428, 30931, 86291, 460512, 989792, 32
0.0312979, 0.0186174, 0.0126792, 0.00280999, 35980, 87675, 307746, 1.15136e+06, 32
0.0313231, 0.0187104, 0.0126114, 0.00225704, 40084, 89620, 236283, 1.28269e+06, 32
0.0304714, 0.0182716, 0.0121974, 0.00210569, 43067, 90705, 199506, 1.37814e+06, 32
0.029849, 0.018986, 0.0108611, 0.0016549, 43046, 91920, 164451, 1.37747e+06, 32
0.0298317, 0.0184705, 0.0113595, 0.00136067, 37111, 88885, 123615, 1.18755e+06, 32
0.0285928, 0.0189557, 0.00963587, 0.000930679, 31787, 82971, 82656, 1.01718e+06, 32
0.0293387, 0.0202871, 0.00905029, 0.000509171, 31862, 83313, 37761, 1.01958e+06, 32
0.0239085, 0.0154562, 0.0084505, 0.000315642, 31787, 82375, 18204, 1.01718e+06, 32
0.0290957, 0.0177596, 0.0113347, 0.00156655, 42262, 91233, 140835, 1.35238e+06, 32
0.0339493, 0.0211838, 0.0127636, 0.00222524, 54883, 90036, 197046, 1.75626e+06, 32
0.0298842, 0.0197036, 0.0101793, 0.00245834, 46273, 90269, 238005, 1.48074e+06, 32
0.0378239, 0.0209642, 0.0168575, 0.00557768, 37078, 86220, 538986, 1.1865e+06, 32
0.0315862, 0.0185061, 0.0130786, 0.00332812, 34755, 83264, 350796, 1.11216e+06, 32
0.0326593, 0.0200446, 0.012613, 0.002797, 34502, 90627, 305163, 1.10406e+06, 32
0.0312894, 0.0198031, 0.0114845, 0.00208859, 37056, 89707, 221646, 1.18579e+06, 32
0.0336522, 0.0218353, 0.0118151, 0.00202498, 39516, 94699, 199506, 1.26451e+06, 32
0.0328155, 0.0214942, 0.0113192, 0.00172453, 39309, 94814, 164697, 1.25789e+06, 32
0.0319202, 0.020311, 0.011607, 0.00147491, 34785, 92736, 123861, 1.11312e+06, 32
0.0293558, 0.018215, 0.0111392, 0.00102935, 28965, 87280, 80934, 926880, 32
0.0307028, 0.0186806, 0.01202, 0.000809872, 28920, 85730, 54489, 925440, 32
0.0247835, 0.0156275, 0.00915469, 0.000377049, 28890, 86512, 21648, 924480, 32
0.0292336, 0.0177218, 0.0115104, 0.000996375, 32206, 93340, 77244, 1.03059e+06, 32
0.0294294, 0.0179838, 0.0114443, 0.000975705, 36427, 94338, 81180, 1.16566e+06, 32
0.0309805, 0.0191852, 0.011794, 0.00145881, 42009, 90834, 121401, 1.34429e+06, 32
0.0294773, 0.0170413, 0.0124346, 0.00271694, 51391, 79991, 269124, 1.64451e+06, 32
0.0236758, 0.0128305, 0.0108436, 0.00270458, 49623, 64955, 293232, 1.58794e+06, 32
0.0248167, 0.0147612, 0.010054, 0.00252396, 63421, 67215, 255963, 2.02947e+06, 32
0.0252615, 0.0152125, 0.010047, 0.00230716, 64634, 71228, 245016, 2.06829e+06, 32
0.0277954, 0.0175598, 0.010234, 0.00273543, 51257, 62873, 213774, 1.64022e+06, 32
0.029829, 0.0176695, 0.0121577, 0.00348689, 26689, 70703, 416601, 854048, 32
0.0327474, 0.0180406, 0.0147053, 0.00286586, 24748, 73620, 270846, 791936, 32
0.028667, 0.0182413, 0.0104247, 0.00191628, 26267, 76113, 178350, 840544, 32
0.0262603, 0.0184261, 0.00783248, 0.0009652, 25629, 69746, 118818, 820128, 32
0.027111, 0.0161443, 0.0109657, 0.00188476, 43560, 74900, 178596, 1.39392e+06, 32
0.0290381, 0.0172808, 0.0117565, 0.00151226, 35403, 82777, 136038, 1.1329e+06, 32
0.0257163, 0.0162706, 0.00944459, 0.00105925, 32584, 76305, 90528, 1.04269e+06, 32
0.0277311, 0.017785, 0.00994483, 0.00137796, 37940, 82387, 135177, 1.21408e+06, 32
0.0254488, 0.0157464, 0.00970123, 0.00204655, 44530, 68434, 243048, 1.42496e+06, 32
0.0254702, 0.0155223, 0.00994637, 0.00192193, 41520, 67554, 210084, 1.32864e+06, 32
0.0329764, 0.0192094, 0.0137648, 0.00331251, 39369, 84847, 390279, 1.25981e+06, 32
0.0346194, 0.0194102, 0.015207, 0.00285361, 27296, 75764, 344769, 873472, 32
0.0349269, 0.0218192, 0.0131061, 0.00129263, 27321, 77298, 128904, 874272, 32
0.0339655, 0.0229726, 0.0109909, 0.00122589, 33103, 77417, 114144, 1.0593e+06, 32
0.0304177, 0.0210496, 0.00936633, 0.000999646, 29052, 77520, 93357, 929664, 32
0.0336127, 0.0211316, 0.0124798, 0.0023405, 28627, 83004, 276012, 916064, 32
0.0314294, 0.020972, 0.0104553, 0.00126814, 25454, 78107, 114144, 814528, 32
0.0282611, 0.0192796, 0.00897933, 0.000574546, 25516, 79353, 39606, 816512, 32
0.0302896, 0.020248, 0.0100403, 0.00133332, 34687, 90252, 128904, 1.10998e+06, 32
0.0317562, 0.0190715, 0.0126836, 0.00355352, 56550, 77821, 413895, 1.8096e+06, 32
0.0288843, 0.0157248, 0.0131579, 0.00335143, 41893, 77490, 358914, 1.34058e+06, 32
0.0280025, 0.0163488, 0.0116522, 0.00217536, 43759, 73922, 219309, 1.40029e+06, 32
0.026763, 0.0171456, 0.00961586, 0.00119969, 42232, 71802, 107625, 1.35142e+06, 32
0.0231003, 0.0149007, 0.00819777, 0.000810577, 40468, 70031, 74907, 1.29498e+06, 32
0.0213589, 0.0138178, 0.00753982, 0.000509353, 40494, 69925, 37761, 1.29581e+06, 32
0.0232808, 0.0150159, 0.00826368, 0.000969244, 46188, 72528, 85362, 1.47802e+06, 32
0.0248189, 0.0162286, 0.00858851, 0.00119932, 48294, 72462, 118080, 1.54541e+06, 32
0.0291371, 0.0190222, 0.0101133, 0.00183272, 47691, 71588, 171339, 1.52611e+06, 32
0.0360319, 0.0187415, 0.0172889, 0.00441309, 32207, 77834, 362481, 1.03062e+06, 32
0.0311204, 0.0183442, 0.0127754, 0.00283114, 31192, 81245, 279456, 998144, 32
0.0375516, 0.0202599, 0.0172903, 0.00334533, 27350, 82903, 278349, 875200, 32
0.0335013, 0.0177705, 0.0157291, 0.00425868, 24741, 82065, 490278, 791712, 32
0.0340489, 0.0210178, 0.0130289, 0.00257236, 33679, 82747, 272199, 1.07773e+06, 32
0.0299441, 0.0182211, 0.0117212, 0.00172838, 32483, 83005, 162237, 1.03946e+06, 32
0.0265072, 0.0168676, 0.00963816, 0.000965689, 24539, 74660, 90282, 785248, 32
0.0306545, 0.0177097, 0.0129431, 0.0023951, 30372, 76890, 201105, 971904, 32
0.0295014, 0.018118, 0.0113813, 0.00222109, 32910, 74131, 199260, 1.05312e+06, 32
0.0254233, 0.0148994, 0.0105224, 0.00218183, 34436, 68970, 223368, 1.10195e+06, 32
0.0208531, 0.0128548, 0.00799598, 0.0011098, 32679, 61878, 108732, 1.04573e+06, 32
0.0206608, 0.0129888, 0.00767036, 0.000574349, 32704, 62528, 47109, 1.04653e+06, 32
0.020261, 0.0128837, 0.00737587, 0.000439746, 32650, 62007, 33333, 1.0448e+06, 32
0.0278126, 0.0170452, 0.0107661, 0.00276278, 35097, 68092, 267648, 1.1231e+06, 32
0.0255943, 0.0156111, 0.00998172, 0.00185008, 40320, 69847, 197538, 1.29024e+06, 32
0.0244106, 0.014472, 0.00993677, 0.0017541, 37474, 67397, 174783, 1.19917e+06, 32
0.0244818, 0.0154172, 0.00906282, 0.00132974, 49064, 72386, 132840, 1.57005e+06, 32
0.0282512, 0.0159055, 0.0123442, 0.00335496, 49044, 65298, 267402, 1.56941e+06, 32
0.0262419, 0.0138458, 0.0123946, 0.00418807, 47170, 61185, 513402, 1.50944e+06, 32
0.0256937, 0.0156362, 0.0100558, 0.00208531, 41644, 67264, 233454, 1.33261e+06, 32
0.027637, 0.0158863, 0.0117496, 0.00278853, 37264, 74362, 280071, 1.19245e+06, 32
0.039479, 0.0207989, 0.0186788, 0.00566534, 41570, 96248, 576132, 1.33024e+06, 32
0.0386445, 0.0216192, 0.0170234, 0.00421183, 35821, 92605, 454731, 1.14627e+06, 32
0.0312809, 0.0201725, 0.0111067, 0.000888693, 35897, 92856, 74661, 1.1487e+06, 32
0.0282436, 0.015332, 0.0129094, 0.00192747, 25881, 83497, 186960, 828192, 32
0.0264505, 0.0161181, 0.0103312, 0.00115328, 25850, 82400, 125460, 827200, 32
0.0334915, 0.0185311, 0.0149587, 0.00285605, 35270, 81655, 243048, 1.12864e+06, 32
0.0340558, 0.0176085, 0.016446, 0.00382434, 31267, 86300, 352272, 1.00054e+06, 32
0.0438818, 0.0213823, 0.0224976, 0.00634365, 22707, 103925, 610572, 726624, 32
0.0409627, 0.0216925, 0.0192688, 0.00367548, 25997, 108756, 388557, 831904, 32
0.0380285, 0.0220703, 0.015957, 0.00291856, 30983, 103955, 315495, 991456, 32
0.0399931, 0.0234898, 0.0165013, 0.00233747, 20013, 97612, 206886, 640416, 32
0.035897, 0.0216498, 0.0142458, 0.00137, 19529, 93055, 118695, 624928, 32
0.0285782, 0.0178613, 0.0107156, 8.9833e-05, 19535, 93102, 3198, 625120, 32
0.0344305, 0.0209764, 0.0134529, 0.0017582, 28072, 105624, 169740, 898304, 32
0.0396531, 0.0235771, 0.0160748, 0.0021682, 29058, 109482, 166788, 929856, 32
0.0407605, 0.0238808, 0.0168786, 0.00234905, 25533, 112475, 184500, 817056, 32
0.0381071, 0.0218426, 0.0162635, 0.00249401, 22890, 102835, 213282, 732480, 32
0.0333012, 0.0197059, 0.013594, 0.00194918, 23600, 91715, 162975, 755200, 32
0.032568, 0.0180706, 0.0144963, 0.00220915, 24230, 95947, 189912, 775360, 32
0.0321016, 0.0192547, 0.0128456, 0.00220337, 26070, 90005, 215865, 834240, 32
0.030366, 0.0186918, 0.0116725, 0.00333246, 37262, 78823, 385851, 1.19238e+06, 32
0.0346553, 0.0202983, 0.0143554, 0.00359567, 29323, 89767, 406392, 938336, 32
0.0336612, 0.0199788, 0.0136808, 0.00241389, 23969, 85734, 260022, 767008, 32
0.0345082, 0.0191206, 0.0153861, 0.00371517, 30041, 93825, 399627, 961312, 32
0.033351, 0.018603, 0.0147467, 0.00263305, 28381, 94928, 259161, 908192, 32
