Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0229782, 0.0115981, 0.0113786, 0.00622671, 5917, 43416, 401103, 118340, 20
0.0159615, 0.00880569, 0.00715426, 0.00168584, 5917, 43935, 190527, 118340, 20
0.0112431, 0.0079442, 0.00329768, 0.000290966, 5917, 43408, 30750, 118340, 20
0.0105025, 0.00776303, 0.00273843, 0, 5906, 43066, 0, 118120, 20
0.0183933, 0.0144019, 0.0039899, 0, 5917, 43109, 0, 118340, 20
0.0133774, 0.0092018, 0.00417379, 0, 5921, 43537, 0, 118420, 20
0.0146004, 0.009435, 0.00516371, 0.000669511, 5894, 43901, 50307, 117880, 20
0.0146318, 0.0097649, 0.00486443, 0, 5917, 43081, 0, 118340, 20
0.0134695, 0.00939636, 0.00407186, 0.000127539, 5890, 43819, 5412, 117800, 20
0.0137052, 0.00951505, 0.00418852, 0, 5917, 43940, 0, 118340, 20
0.0247776, 0.0163044, 0.00847156, 0.00122408, 5890, 44105, 52029, 117800, 20
0.0173838, 0.0124356, 0.00494596, 0, 5901, 43037, 0, 118020, 20
0.0163973, 0.0121579, 0.00423763, 4.693e-06, 5886, 44187, 123, 117720, 20
0.0168727, 0.0124078, 0.00446307, 0, 5880, 43930, 0, 117600, 20
0.0187304, 0.0116532, 0.00707513, 0.00257206, 7969, 37818, 154611, 159380, 20
0.0209455, 0.0131205, 0.00782367, 0.00215735, 8038, 44076, 114021, 160760, 20
0.0216563, 0.0139177, 0.00773705, 0.0019586, 7659, 43244, 110454, 153180, 20
0.0217758, 0.0141636, 0.00761045, 0.00239568, 6982, 40559, 141204, 139640, 20
0.0204889, 0.0127243, 0.00776307, 0.00244454, 5601, 41532, 135669, 112020, 20
0.0193402, 0.0123541, 0.00698479, 0.00184152, 6169, 40852, 104181, 123380, 20
0.0182949, 0.0118469, 0.00644686, 0.00155924, 6448, 37781, 94341, 128960, 20
0.0207365, 0.0131427, 0.00759181, 0.00211548, 5697, 41461, 119925, 113940, 20
0.0210979, 0.0131915, 0.00790495, 0.00208107, 6904, 44913, 123984, 138080, 20
0.0227652, 0.0145648, 0.00819866, 0.00235194, 9665, 49462, 144156, 193300, 20
0.0211955, 0.0143065, 0.00688757, 0.00164414, 12844, 44968, 105780, 256880, 20
0.021089, 0.0140391, 0.00704781, 0.00142145, 14180, 40094, 87453, 283600, 20
0.0181605, 0.0132215, 0.00493738, 0.000767775, 11765, 35307, 43173, 235300, 20
0.0182602, 0.0117708, 0.00648686, 0.00083624, 9091, 32186, 28536, 181820, 20
0.0208921, 0.0167381, 0.00415229, 0.000370815, 8997, 32095, 17958, 179940, 20
0.0190372, 0.0152424, 0.00379277, 7.5514e-05, 9009, 32283, 2952, 180180, 20
0.0148659, 0.0100876, 0.00477692, 0.00203935, 11555, 29539, 119310, 231100, 20
0.0161424, 0.0123745, 0.00376576, 0.00103164, 13108, 29400, 67650, 262160, 20
0.0165721, 0.0120721, 0.00449868, 0.000976481, 16999, 33096, 58056, 339980, 20
0.0165362, 0.010805, 0.00572969, 0.00147285, 15804, 36230, 78228, 316080, 20
0.0138179, 0.00868887, 0.00512785, 0.00202117, 21984, 24037, 124353, 439680, 20
0.0156486, 0.0100629, 0.00558472, 0.0020751, 36821, 28875, 126075, 736420, 20
0.0163413, 0.0103575, 0.00598256, 0.00177822, 40107, 32123, 120540, 802140, 20
0.0194831, 0.0136603, 0.00582021, 0.00176498, 40087, 33987, 124107, 801740, 20
0.0169487, 0.012292, 0.00465489, 0.00125664, 37646, 28902, 95940, 752920, 20
0.0162675, 0.0114569, 0.0048088, 0.00110575, 36380, 32623, 83271, 727600, 20
0.0157246, 0.0110521, 0.00467101, 0.000840475, 35743, 35508, 60516, 714860, 20
0.0138747, 0.00968032, 0.00419325, 0.000552787, 33739, 34823, 34317, 674780, 20
0.013541, 0.00936055, 0.00417884, 0.000512592, 33785, 35114, 33087, 675700, 20
0.0144229, 0.0112034, 0.0032181, 3.178e-05, 33718, 34778, 1107, 674360, 20
0.0120873, 0.00887545, 0.00321092, 3.801e-06, 33778, 35069, 123, 675560, 20
0.0151682, 0.0111191, 0.00404794, 0.00057965, 36009, 34207, 38007, 720180, 20
0.0166646, 0.0121371, 0.00452528, 0.000639699, 34037, 33004, 46863, 680740, 20
0.011958, 0.00818469, 0.00377204, 0.000960491, 33546, 28475, 76998, 670920, 20
0.0170338, 0.0111222, 0.00591024, 0.00214204, 39174, 38133, 176136, 783480, 20
0.0151707, 0.0092046, 0.0059648, 0.00198271, 32244, 39033, 151290, 644880, 20
0.0170773, 0.0108764, 0.00619897, 0.00169016, 30701, 41426, 136161, 614020, 20
0.0186455, 0.0121661, 0.0064781, 0.00164341, 31440, 43011, 131118, 628800, 20
0.0164479, 0.0111921, 0.00525413, 0.00142713, 25488, 34529, 95325, 509760, 20
0.0153263, 0.0105948, 0.00473007, 0.000845568, 24654, 36049, 61746, 493080, 20
0.0139458, 0.00971327, 0.00423059, 0.00052052, 23460, 33582, 37146, 469200, 20
0.0136522, 0.00974138, 0.00390943, 0.000315032, 23440, 34031, 19065, 468800, 20
0.0133808, 0.00983309, 0.00354586, 8.387e-06, 23428, 33883, 246, 468560, 20
0.0193516, 0.0153325, 0.00401696, 0.000355972, 23509, 34599, 21771, 470180, 20
0.0149589, 0.0105832, 0.0043744, 0.000826533, 24474, 39111, 55473, 489480, 20
0.0169444, 0.0121365, 0.00480697, 0.00106938, 21594, 43947, 83886, 431880, 20
0.022961, 0.0170471, 0.00591235, 0.00163033, 19426, 33120, 71217, 388520, 20
0.0163335, 0.0127789, 0.00355164, 0.000927034, 16953, 28129, 62976, 339060, 20
0.0127534, 0.00839893, 0.00435243, 0.00150975, 14711, 25497, 105903, 294220, 20
0.0132147, 0.0090201, 0.00419299, 0.00123945, 23308, 27941, 93111, 466160, 20
0.0158855, 0.0103958, 0.00548825, 0.00150059, 22188, 31783, 121032, 443760, 20
0.0145702, 0.00932, 0.00524799, 0.00176078, 24569, 30897, 117342, 491380, 20
0.0137844, 0.0089549, 0.00482807, 0.00137502, 27075, 31956, 96309, 541500, 20
0.0130376, 0.0086056, 0.00443006, 0.00125684, 23413, 25169, 85116, 468260, 20
0.0109898, 0.00759538, 0.00339315, 0.000563356, 19661, 25057, 35301, 393220, 20
0.0102224, 0.00726406, 0.00295691, 0.000350329, 19733, 25241, 23370, 394660, 20
0.0118893, 0.00963044, 0.0022568, 0.000474882, 22975, 20918, 37515, 459500, 20
0.0101357, 0.00713483, 0.00299926, 0.000750783, 23892, 23496, 48708, 477840, 20
0.013225, 0.0089633, 0.00426018, 0.00135372, 33005, 26069, 95448, 660100, 20
0.0103251, 0.00655735, 0.00376665, 0.00124461, 21121, 23233, 72078, 422420, 20
0.0128034, 0.00794674, 0.00485539, 0.00151655, 21756, 28945, 103689, 435120, 20
0.0163611, 0.0101705, 0.00618913, 0.00169025, 28906, 39170, 109839, 578120, 20
0.0166967, 0.0104057, 0.00628925, 0.0015326, 25910, 39778, 108978, 518200, 20
0.0119049, 0.00797728, 0.00392606, 0.000809994, 27088, 27086, 64575, 541760, 20
0.0117442, 0.00728315, 0.00445939, 0.00163974, 25845, 25584, 126690, 516900, 20
0.0113955, 0.00719134, 0.00420267, 0.00154047, 23336, 25072, 99507, 466720, 20
0.0127173, 0.00797197, 0.00474372, 0.00188853, 29324, 25353, 149937, 586480, 20
0.0161069, 0.010439, 0.0056662, 0.00152728, 25559, 34068, 115005, 511180, 20
0.0148845, 0.0107423, 0.00414055, 0.000441255, 25556, 34164, 27921, 511120, 20
0.017532, 0.0128223, 0.00470823, 0.00101953, 29233, 31500, 79827, 584660, 20
0.0159818, 0.0110428, 0.00493762, 0.00110303, 24235, 34426, 76014, 484700, 20
0.0165472, 0.0111748, 0.00537119, 0.00134423, 26099, 35301, 88806, 521980, 20
0.0162576, 0.010973, 0.00528292, 0.00126698, 21247, 34471, 89913, 424940, 20
0.0102404, 0.00720934, 0.00302996, 0.000872246, 15752, 24255, 73554, 315040, 20
0.0146858, 0.00866559, 0.00601852, 0.00206552, 22949, 31387, 125706, 458980, 20
0.0198718, 0.012231, 0.00763852, 0.00241489, 27936, 41049, 174168, 558720, 20
0.0222176, 0.0142588, 0.00795708, 0.00225312, 28769, 45259, 168879, 575380, 20
0.0207907, 0.013344, 0.00744508, 0.00226945, 27340, 44936, 146493, 546800, 20
0.0179147, 0.0123544, 0.00555877, 0.00113369, 23904, 39051, 80073, 478080, 20
0.0164544, 0.0111379, 0.00531485, 0.000913197, 15620, 38507, 57441, 312400, 20
0.0157369, 0.0108945, 0.00484094, 0.000585255, 15404, 37768, 37515, 308080, 20
0.0182505, 0.0124188, 0.00583005, 0.000969758, 19523, 41039, 55104, 390460, 20
0.017374, 0.0116472, 0.0057253, 0.00125816, 21070, 38833, 90036, 421400, 20
0.0151609, 0.0102859, 0.00487352, 0.0010141, 14536, 34906, 64575, 290720, 20
0.0136595, 0.00934266, 0.00431519, 0.00075491, 12221, 32340, 44649, 244420, 20
0.0130677, 0.00894054, 0.00412519, 0.00102546, 12073, 28237, 60393, 241460, 20
0.0106819, 0.00715135, 0.00352885, 0.00105412, 15694, 24283, 78351, 313880, 20
0.0103359, 0.006938, 0.00339593, 0.00108744, 22181, 21932, 92865, 443620, 20
0.0110966, 0.00749903, 0.00359604, 0.00121992, 34182, 21166, 102951, 683640, 20
0.00863212, 0.00608822, 0.00254238, 0.000613701, 32689, 18320, 48585, 653780, 20
0.00783187, 0.00526342, 0.00256732, 0.000933496, 25868, 17869, 81795, 517360, 20
0.0112088, 0.00728885, 0.00391828, 0.00150619, 52803, 22528, 126444, 1.05606e+06, 20
0.00942512, 0.00639985, 0.0030245, 0.00116418, 40040, 23338, 105042, 800800, 20
0.00979151, 0.00637205, 0.00341844, 0.00102857, 35999, 23917, 86961, 719980, 20
0.0103997, 0.00670202, 0.00369637, 0.00115572, 31131, 20516, 86715, 622620, 20
0.0155956, 0.00907663, 0.00651759, 0.00221823, 27597, 31811, 183885, 551940, 20
0.0130243, 0.00787613, 0.00514646, 0.00132737, 11649, 29392, 109470, 232980, 20
0.0122046, 0.00836651, 0.00383627, 0.000838102, 3018, 25615, 73431, 60360, 20
0.00976062, 0.00647055, 0.00328871, 0.00092306, 3225, 23268, 77121, 64500, 20
0.00921832, 0.00588797, 0.00332887, 0.000972172, 4301, 24591, 85362, 86020, 20
0.01139, 0.00839698, 0.00299157, 0.000769946, 4221, 23711, 60885, 84420, 20
0.0089595, 0.00690012, 0.00205767, 0.000328097, 4374, 14809, 27675, 87480, 20
0.0115867, 0.00807454, 0.00351024, 0.00110859, 3926, 18731, 95448, 78520, 20
0.00909191, 0.00656608, 0.00252422, 0.000442437, 3511, 17989, 35670, 70220, 20
0.00868084, 0.00635992, 0.00231911, 0.000289055, 3617, 18719, 19803, 72340, 20
0.00818213, 0.00595971, 0.00222041, 0.000240342, 3963, 20115, 14022, 79260, 20
0.0101227, 0.00738454, 0.00273636, 0.000377482, 4138, 21733, 29397, 82760, 20
0.0121376, 0.00807169, 0.00406444, 0.00118265, 12278, 24147, 104058, 245560, 20
0.0132953, 0.0093176, 0.00397635, 0.000926232, 20707, 26603, 77982, 414140, 20
0.0137234, 0.0095504, 0.0041715, 0.00110701, 32577, 24972, 95448, 651540, 20
0.0126837, 0.00858097, 0.00410125, 0.000967219, 25545, 25134, 65313, 510900, 20
0.00983353, 0.00718444, 0.00264724, 0.000735613, 26863, 19390, 53751, 537260, 20
0.0143062, 0.00864653, 0.00565769, 0.00239598, 26292, 24358, 184254, 525840, 20
0.0166057, 0.0113303, 0.00527441, 0.00195772, 21643, 28008, 152889, 432860, 20
0.0119555, 0.00752867, 0.00442495, 0.00118746, 17325, 26546, 100860, 346500, 20
0.0136834, 0.0101559, 0.00352566, 0.000850928, 18304, 20491, 59655, 366080, 20
0.0150112, 0.0102195, 0.00479008, 0.00113704, 28728, 29363, 96924, 574560, 20
0.0129967, 0.00924807, 0.003747, 0.000625262, 26020, 26505, 44649, 520400, 20
0.0113301, 0.00813102, 0.0031975, 0.000418027, 20236, 24729, 27552, 404720, 20
0.0102937, 0.0077789, 0.00251324, 0.000120223, 20245, 24639, 5781, 404900, 20
0.0101098, 0.00772591, 0.00238206, 0.00010961, 20265, 24685, 5043, 405300, 20
0.0136463, 0.0106282, 0.00301599, 0.000477966, 22761, 23265, 34563, 455220, 20
0.0161177, 0.0120895, 0.00402607, 0.000903405, 22283, 28068, 71463, 445660, 20
0.0150161, 0.00992132, 0.00509365, 0.00133242, 25482, 34328, 99384, 509640, 20
0.0147563, 0.00990314, 0.00485186, 0.00126092, 32839, 35496, 110577, 656780, 20
0.0134611, 0.00929636, 0.00416339, 0.000961672, 29333, 30929, 84378, 586660, 20
0.0120388, 0.00785452, 0.00418273, 0.00109378, 19233, 26323, 84624, 384660, 20
0.0121969, 0.00755052, 0.00464523, 0.00148885, 16039, 26924, 99015, 320780, 20
0.0166236, 0.010258, 0.00636376, 0.00182733, 25540, 39538, 125829, 510800, 20
0.0203339, 0.0127439, 0.00758812, 0.00202472, 24319, 45491, 161991, 486380, 20
0.0231684, 0.0148221, 0.00834434, 0.00214515, 22881, 46774, 188682, 457620, 20
0.0203532, 0.0131625, 0.00718839, 0.00127357, 14727, 43939, 104673, 294540, 20
0.0178132, 0.0126727, 0.00513936, 0.000888802, 17334, 42400, 78105, 346680, 20
0.014535, 0.0101944, 0.00433891, 0.000460511, 12140, 32219, 28905, 242800, 20
0.0145604, 0.00972872, 0.00482967, 0.000685298, 6411, 33176, 47847, 128220, 20
0.0155772, 0.00976169, 0.00581447, 0.000702217, 6353, 33287, 34071, 127060, 20
0.0179711, 0.0129, 0.00506958, 0.000741416, 11057, 36266, 55719, 221140, 20
0.0161763, 0.0108521, 0.00532281, 0.00105583, 13371, 38010, 84747, 267420, 20
0.00962333, 0.0069759, 0.0026459, 0.000756207, 13766, 18921, 62730, 275320, 20
0.00845165, 0.00649181, 0.00195836, 0.000292101, 11399, 17696, 22140, 227980, 20
0.0109175, 0.00756102, 0.00335481, 0.000552053, 13766, 25248, 31611, 275320, 20
0.0115718, 0.00748596, 0.0040844, 0.00112726, 17792, 25663, 77121, 355840, 20
0.0139, 0.00883519, 0.00506393, 0.00154738, 30307, 30362, 119925, 606140, 20
0.0117945, 0.00766587, 0.00412687, 0.00139728, 28956, 25550, 103197, 579120, 20
0.0133513, 0.00880569, 0.00454407, 0.00127887, 29292, 30383, 95817, 585840, 20
0.0118354, 0.00810805, 0.00372615, 0.000915355, 26446, 26879, 73185, 528920, 20
0.0138149, 0.00889471, 0.00491886, 0.00117498, 21254, 33897, 87453, 425080, 20
0.00978687, 0.00689269, 0.00289232, 0.000475861, 22992, 23322, 34809, 459840, 20
0.0096275, 0.00682595, 0.00280004, 0.000319897, 22994, 23486, 23616, 459880, 20
0.0125892, 0.00880068, 0.00378713, 0.000771209, 32902, 26963, 54489, 658040, 20
0.0126403, 0.00850036, 0.00413838, 0.000952148, 25168, 29698, 58425, 503360, 20
0.0132145, 0.00855918, 0.00465365, 0.00120901, 26242, 29700, 92619, 524840, 20
0.0172762, 0.010905, 0.00637011, 0.00171285, 34713, 39053, 128166, 694260, 20
0.0128407, 0.00811891, 0.00472021, 0.00109412, 31104, 29203, 70971, 622080, 20
0.0141426, 0.00864379, 0.00549712, 0.00169737, 28181, 30693, 122754, 563620, 20
0.0169223, 0.0102721, 0.00664904, 0.00199188, 21394, 37508, 142065, 427880, 20
0.0139582, 0.00869497, 0.00526169, 0.00145956, 16960, 34847, 98277, 339200, 20
0.0139027, 0.00872712, 0.00517451, 0.00171111, 15536, 36076, 124353, 310720, 20
0.0123985, 0.00826549, 0.00413168, 0.00115318, 16855, 34982, 107010, 337100, 20
0.0179326, 0.01166, 0.00627098, 0.00195889, 16367, 38407, 165558, 327340, 20
0.0179098, 0.0120057, 0.00590217, 0.00128246, 14404, 37318, 101352, 288080, 20
0.019036, 0.012318, 0.00671655, 0.00164919, 11666, 40426, 120417, 233320, 20
0.0160258, 0.0106848, 0.0053391, 0.000976664, 8455, 37219, 65682, 169100, 20
0.01657, 0.0107366, 0.00583164, 0.000961619, 10375, 39069, 61992, 207500, 20
0.0151552, 0.0102806, 0.00487303, 0.000606828, 10349, 39040, 41943, 206980, 20
0.0150885, 0.0102738, 0.00481317, 0.000477938, 10378, 39063, 33210, 207560, 20
0.0191877, 0.0135903, 0.00559577, 0.000829371, 13132, 44480, 56211, 262640, 20
0.0173084, 0.0116288, 0.00567811, 0.000837714, 13056, 43215, 49200, 261120, 20
0.0164484, 0.0107758, 0.00567064, 0.000887098, 8111, 41459, 50553, 162220, 20
0.0157357, 0.00976172, 0.00597028, 0.00106387, 6725, 41174, 53874, 134500, 20
0.0156807, 0.0100233, 0.00565577, 0.000991877, 7118, 41414, 55350, 142360, 20
0.0138795, 0.00939318, 0.00448506, 0.000805606, 8449, 34097, 49815, 168980, 20
0.0121866, 0.00856688, 0.00361791, 0.00076626, 10618, 27047, 47478, 212360, 20
0.0100018, 0.00731306, 0.00268736, 0.00051964, 12852, 21595, 38622, 257040, 20
0.00930061, 0.00656084, 0.00273845, 0.000793898, 14802, 18819, 63714, 296040, 20
0.0133002, 0.00898372, 0.00431506, 0.00112673, 21982, 28416, 83517, 439640, 20
0.0164097, 0.0107022, 0.00570586, 0.00176408, 30049, 33997, 125706, 600980, 20
0.0154421, 0.00967553, 0.00576521, 0.00189483, 28189, 33710, 135792, 563780, 20
0.0164, 0.010598, 0.0057997, 0.00167608, 26275, 37595, 118449, 525500, 20
0.0169008, 0.0119738, 0.00492504, 0.00136072, 26297, 31613, 99384, 525940, 20
0.0127376, 0.00875292, 0.00398289, 0.000983002, 23143, 25963, 79704, 462860, 20
0.017467, 0.0118773, 0.00558771, 0.0026378, 21063, 23232, 156333, 421260, 20
0.0147198, 0.0110266, 0.00369149, 0.000957192, 22472, 23911, 78105, 449440, 20
0.00990716, 0.00688063, 0.00302498, 0.000670835, 21615, 21608, 49077, 432300, 20
0.0132874, 0.00937233, 0.00391278, 0.00125418, 25969, 20351, 58548, 519380, 20
0.0118224, 0.00871338, 0.00310751, 0.0010832, 34395, 19699, 92250, 687900, 20
0.0107506, 0.00636906, 0.00438039, 0.00165913, 30658, 25854, 104550, 613160, 20
0.00855575, 0.00566746, 0.00288678, 0.00101335, 28297, 22706, 81672, 565940, 20
0.015467, 0.0097735, 0.00569176, 0.00154749, 44082, 33825, 108978, 881640, 20
