elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3179628,3156425,0,5242324,2086544,9519960,733456,0.0,0.0
1.033,3182104,3157924,0,5121868,2086544,9624528,733456,0.0,0.0
2.085,3193232,3168846,0,5088288,2086544,9612024,733456,0.0,0.0
3.139,3199556,3175157,0,4976788,2086544,9684316,733456,0.0,0.0
4.193,3202384,3177988,0,4981540,2086544,9687640,733456,0.0,0.0
5.232,3207088,3182692,0,4973764,2086544,9693120,733456,0.0,0.0
6.287,3210652,3186256,0,4980516,2086544,9695692,733456,0.0,0.0
7.34,3214472,3190072,0,5004848,2086544,9699584,733456,0.0,0.0
8.393,3219812,3195416,0,4988996,2086544,9705656,733456,0.0,0.0
9.445,3220196,3195798,0,5009860,2086544,9705884,733456,0.0,0.0
10.501,3223604,3199204,0,5009812,2086544,9709824,733456,0.0,0.0
11.555,3223652,3199250,0,5031104,2086544,9710180,733456,0.0,0.0
12.598,3223652,3199250,0,5033020,2086544,9709636,733456,0.0,0.0
13.649,3225184,3200773,0,5032748,2086544,9710932,733456,0.0,0.0
14.694,3225184,3200782,0,5026800,2086544,9711072,733456,0.0,0.0
15.749,3225332,3200926,0,5030140,2086544,9711780,733456,0.0,0.0
16.802,3228768,3204361,0,5026724,2086544,9718188,733456,0.0,0.0
17.836,3228780,3204373,0,5025684,2086544,9719056,733456,0.0,0.0
18.89,3231752,3207349,0,5026668,2086544,9721740,733456,0.0,0.0
19.943,3233176,3208772,0,5022160,2086544,9724068,733456,0.0,0.0
20.997,3238432,3214027,0,5022364,2086544,9729572,733456,0.0,0.0
22.05,3242492,3218090,0,5020344,2086544,9734012,733456,0.0,0.0
23.105,3248452,3224050,0,5015632,2086544,9737616,733456,0.0,0.0
24.144,3254972,3230568,0,5017164,2086544,9748552,733456,0.0,0.0
25.202,3256976,3232570,0,5009196,2086544,9757936,733456,0.0,0.0
26.25,3259312,3234909,0,5015100,2086544,9751816,733456,0.0,0.0
27.285,3260896,3236492,0,5016880,2086544,9752912,733456,0.0,0.0
28.328,3260896,3236492,0,5010760,2086544,9762432,733456,0.0,0.0
29.368,3261116,3237138,0,5016424,2086544,9753360,733456,0.0,0.0
30.41,3263728,3239326,0,5016824,2086544,9755500,733456,0.0,0.0
31.465,3263796,3239388,0,5011096,2086544,9756616,733456,0.0,0.0
32.522,3268188,3243785,0,5009584,2086544,9760880,733456,0.0,0.0
33.567,3269460,3245054,0,5008228,2086544,9761488,733456,0.0,0.0
34.622,3270012,3245611,0,5025208,2086544,9762208,733456,0.0,0.0
35.669,3270516,3246113,0,5031696,2086544,9762732,733456,0.0,0.0
36.724,3270520,3246111,0,5021000,2086544,9763676,733456,0.0,0.0
37.779,3270952,3246547,0,5011400,2086544,9764376,733456,0.0,0.0
38.827,3271560,3247155,0,5014884,2086544,9765748,733456,0.0,0.0
39.88,3272512,3248106,0,5021604,2086544,9766608,733456,0.0,0.0
41.013,3272836,3248432,0,5030808,2086544,9764756,733456,0.0,0.0
42.068,3272836,3248431,0,5028260,2086544,9765124,733456,0.0,0.0
43.123,3273208,3248803,0,5018836,2086544,9765572,733456,0.0,0.0
44.179,3273216,3248811,0,5035576,2086544,9766144,733456,0.0,0.0
45.233,3273216,3248811,0,5034676,2086544,9766216,733456,0.0,0.0
46.286,3273840,3249435,0,5021648,2086544,9767772,733456,0.0,0.0
47.339,3273844,3249436,0,5023940,2086544,9767060,733456,0.0,0.0
48.394,3274244,3249838,0,5030520,2086544,9768100,733456,0.0,0.0
49.433,3275052,3250647,0,5010592,2086544,9768372,733456,0.0,0.0
50.475,3275052,3250646,0,5022868,2086544,9768836,733456,0.0,0.0
51.53,3275052,3250646,0,5018824,2086544,9777368,733456,0.0,0.0
52.577,3275688,3251284,0,5023512,2086544,9769956,733456,0.0,0.0
53.63,3276460,3252054,0,5022944,2086544,9769384,733456,0.0,0.0
54.687,3277060,3252653,0,5009420,2086544,9770668,733456,0.0,0.0
55.745,3277604,3253196,0,5009140,2086544,9771092,733456,0.0,0.0
56.799,3278020,3253614,0,5024596,2086544,9772388,733456,0.0,0.0
57.851,3278156,3253751,0,5013576,2086544,9771624,733456,0.0,0.0
58.909,3278156,3253752,0,5014164,2086544,9771444,733456,0.0,0.0
59.956,3278516,3254108,0,5028824,2086544,9772444,733456,0.0,0.0
61.006,3278516,3254112,0,4990132,2086544,9773196,733456,0.0,0.0
62.06,3281920,3257514,0,4988780,2086544,9776108,733456,0.0,0.0
63.114,3282452,3258047,0,5007540,2086544,9780192,733456,0.0,0.0
64.192,3282488,3258083,0,5012360,2086544,9777328,733456,0.0,0.0
65.246,3282520,3258115,0,5010812,2086544,9778036,733456,0.0,0.0
66.301,3282520,3258113,0,5011988,2086544,9778280,733456,0.0,0.0
67.337,3293392,3268992,0,5001500,2086544,9788580,733456,0.0,0.0
68.377,3294096,3269691,0,5002284,2086544,9788500,733456,0.0,0.0
69.42,3294088,3270644,0,5055688,2086544,9718240,733456,0.0,0.0
69.463,3294088,3270644,0,5055928,2086544,9718200,733456,0.0,0.0
