metric,full,sector,adaptive,adaptive_vs_full_reduction_pct,adaptive_vs_sector_reduction_pct
mission_time_s,65.518600,67.155800,63.149000,3.617,5.966
logical_planner_ingress_mib_s,9.406707,2.846092,2.236903,76.220,21.404
external_dds_mib_s,0.000000,2.846092,2.239636,NA,21.308
map_frames_s,10.124044,10.255640,5.415159,46.512,47.198
rog_ms_per_frame,36.452444,10.368866,21.955797,39.769,-111.747
end_to_end_cpu_cores_mean,1.529565,1.256068,1.324935,13.378,-5.483
end_to_end_cpu_core_s,103.180407,85.702722,86.338704,16.323,-0.742
end_to_end_peak_pss_mib,3476.820234,3432.677773,3472.321367,0.129,-1.155
clearance_mean_m,0.265380,0.259480,0.254120,4.243,2.066
map_compute_core_equivalent,0.368926,0.106351,0.119038,67.734,-11.929
