map,mode,n,complete,collisions,time_mean_s,time_sd_s,clearance_mean_m,clearance_min_m,map_hz,rog_ms_per_frame,kept_pct,logical_planner_ingress_mib_s,external_dds_mib_s,end_to_end_cores_mean,end_to_end_core_s,end_to_end_peak_pss_mib,stall_open_sum,replan_open_sum,trajectory_guard_open_sum,effective_full_open_sum
seed1,full,5,5,0,57.922,2.124,0.281,0.244,10.244,29.330,,5.424,0.000,1.474,88.139,3480.104,0,0,0,0
seed1,sector,5,5,0,59.268,1.676,0.278,0.235,10.242,8.544,41.291,1.415,1.415,1.262,76.971,3347.492,0,0,0,0
seed1,adaptive,5,5,0,58.514,2.674,0.247,0.196,5.337,19.318,35.770,1.224,1.227,1.306,78.862,3372.386,0,116,13,89
seed2,full,5,5,0,57.214,2.503,0.325,0.259,10.154,31.371,,5.312,0.000,1.495,87.965,3463.767,0,0,0,0
seed2,sector,5,5,0,54.964,1.793,0.318,0.299,10.260,8.916,37.601,1.244,1.244,1.255,71.019,3339.964,0,0,0,0
seed2,adaptive,5,5,0,55.014,1.096,0.296,0.208,5.300,17.215,32.023,1.083,1.086,1.281,72.990,3371.666,1,115,6,106
seed3,full,5,5,0,58.702,1.722,0.290,0.256,10.074,36.848,,7.554,0.000,1.555,93.802,3519.034,0,0,0,0
seed3,sector,5,5,0,56.928,1.595,0.264,0.236,10.296,10.422,40.816,1.968,1.968,1.288,75.854,3362.921,0,0,0,0
seed3,adaptive,5,5,0,57.176,0.806,0.275,0.216,5.323,20.322,32.543,1.599,1.601,1.340,79.219,3401.641,1,120,8,110
seed4,full,5,5,0,62.872,3.183,0.266,0.233,10.111,36.752,,7.938,0.000,1.557,100.611,3530.980,0,0,0,0
seed4,sector,5,5,0,62.876,3.082,0.256,0.212,10.266,10.214,45.784,2.390,2.390,1.273,82.546,3388.508,0,0,0,0
seed4,adaptive,5,5,0,61.434,2.276,0.250,0.227,5.305,22.794,36.657,1.935,1.938,1.326,83.929,3422.177,1,125,21,103
seed5,full,5,5,0,61.576,3.200,0.283,0.273,10.116,40.298,,8.893,0.000,1.577,100.139,3395.707,0,0,0,0
seed5,sector,5,5,0,64.002,4.664,0.274,0.199,10.289,10.886,44.958,2.634,2.634,1.262,83.393,3429.071,0,0,0,0
seed5,adaptive,5,5,0,58.174,2.530,0.269,0.216,5.254,23.272,33.043,1.910,1.913,1.356,81.498,3462.650,0,119,12,98
seed6,full,5,5,0,67.458,2.729,0.234,0.179,10.137,37.532,,9.845,0.000,1.540,107.166,3410.353,0,0,0,0
seed6,sector,5,5,0,67.262,3.161,0.301,0.282,10.241,10.615,46.900,2.876,2.876,1.272,88.033,3433.253,0,0,0,0
seed6,adaptive,5,5,0,65.296,3.072,0.230,0.173,5.367,21.284,36.842,2.367,2.369,1.326,89.192,3483.969,0,130,21,111
seed7,full,5,5,0,75.390,6.604,0.250,0.187,10.106,37.646,,11.663,0.000,1.492,115.405,3480.322,0,0,0,0
seed7,sector,5,5,0,66.806,2.467,0.252,0.183,10.266,11.124,48.449,3.606,3.606,1.268,87.348,3480.419,0,0,0,0
seed7,adaptive,5,5,0,68.634,3.119,0.248,0.186,5.655,23.204,38.409,2.855,2.858,1.311,92.696,3507.806,1,135,30,98
seed8,full,5,5,0,62.780,2.324,0.259,0.213,10.128,40.596,,10.893,0.000,1.588,103.421,3471.339,0,0,0,0
seed8,sector,5,5,0,65.190,6.576,0.247,0.194,10.288,11.645,45.352,3.179,3.179,1.277,85.894,3458.074,0,0,0,0
seed8,adaptive,5,5,0,63.336,1.303,0.253,0.194,5.516,23.826,36.166,2.545,2.548,1.329,86.939,3517.622,1,127,21,110
seed9,full,5,5,0,74.616,3.371,0.240,0.183,10.083,36.976,,13.508,0.000,1.508,116.024,3505.178,0,0,0,0
seed9,sector,5,5,0,79.326,2.905,0.207,0.174,10.196,10.881,52.076,4.482,4.482,1.242,101.069,3545.458,0,0,0,0
seed9,adaptive,5,5,0,72.850,3.809,0.247,0.214,5.545,23.464,39.822,3.503,3.506,1.328,99.432,3580.803,3,142,34,107
seed10,full,5,5,0,76.656,6.396,0.226,0.182,10.088,37.175,,13.037,0.000,1.511,119.132,3511.420,0,0,0,0
seed10,sector,5,4,0,94.936,47.684,0.197,0.021,10.212,10.442,53.899,4.668,4.668,1.161,104.901,3541.619,0,0,0,0
seed10,adaptive,5,5,0,71.062,1.761,0.228,0.178,5.549,24.859,39.499,3.348,3.351,1.347,98.631,3602.494,3,137,32,99
all,full,50,50,0,65.519,7.989,0.265,0.179,10.124,36.452,,9.407,0.000,1.530,103.180,3476.820,0,0,0,0
all,sector,50,49,0,67.156,17.993,0.259,0.021,10.256,10.369,45.713,2.846,2.846,1.256,85.703,3432.678,0,0,0,0
all,adaptive,50,50,0,63.149,6.306,0.254,0.173,5.415,21.956,36.077,2.237,2.240,1.325,86.339,3472.321,11,1266,198,1031
