map,mode,n,complete,collisions,time_mean_s,time_sd_s,clearance_mean_m,clearance_min_m,map_hz,rog_ms_per_frame,kept_pct,logical_planner_ingress_mib_s,external_dds_mib_s,end_to_end_cores_mean,end_to_end_core_s,end_to_end_peak_pss_mib,stall_open_sum,replan_open_sum,trajectory_guard_open_sum,effective_full_open_sum
seed7,full,3,3,0,77.713,7.267,0.276,0.259,10.121,37.178,,11.727,0.000,1.464,116.457,3471.584,0,0,0,0
seed7,sector,3,3,0,66.530,2.465,0.249,0.183,10.311,11.202,48.450,3.632,3.632,1.272,87.388,3477.826,0,0,0,0
seed7,adaptive,3,3,0,69.793,3.796,0.254,0.241,5.742,22.332,38.324,2.836,2.839,1.304,93.571,3514.006,1,81,16,64
seed9,full,3,3,0,75.227,4.498,0.241,0.195,10.111,36.580,,13.624,0.000,1.499,116.359,3507.251,0,0,0,0
seed9,sector,3,3,0,77.390,1.232,0.196,0.174,10.208,10.896,50.995,4.393,4.393,1.258,99.813,3547.618,0,0,0,0
seed9,adaptive,3,3,0,72.270,4.674,0.242,0.214,5.592,23.238,40.132,3.530,3.533,1.334,98.960,3578.127,2,86,22,68
seed10,full,3,3,0,73.887,4.285,0.207,0.182,10.124,37.694,,13.077,0.000,1.529,116.805,3511.891,0,0,0,0
seed10,sector,3,3,0,71.957,2.733,0.238,0.205,10.250,10.940,50.504,4.304,4.304,1.255,92.662,3528.650,0,0,0,0
seed10,adaptive,3,3,0,71.053,1.315,0.246,0.243,5.617,24.615,39.804,3.368,3.370,1.347,98.743,3580.250,3,83,16,59
all,full,9,9,0,75.609,5.067,0.241,0.182,10.119,37.151,,12.809,0.000,1.498,116.540,3496.909,0,0,0,0
all,sector,9,9,0,71.959,5.087,0.228,0.174,10.256,11.013,49.983,4.110,4.110,1.261,93.288,3518.031,0,0,0,0
all,adaptive,9,9,0,71.039,3.263,0.247,0.214,5.650,23.395,39.420,3.245,3.247,1.328,97.091,3557.461,6,250,54,191
