map,n,completed,collisions,speed_violations,mission_time_mean_s,mission_time_sd_s,mission_time_min_s,mission_time_max_s,worst_static_pcd_clearance_m,map_frames_hz_mean,guard_main_pre_map_stale_total,recovery_active_duration_mean_s,map_total_ms_mean,planner_ingress_mib_s_mean,combined_sim_planner_cpu_cores_mean,retry_total,oom_kill_total
1,10,10,0,0,59.82,2.61,56.61,63.24,0.244,10.181,0,14.87,29.94,5.25,1.43,0,0
2,10,10,0,0,55.57,1.58,53.58,58.32,0.217,10.210,0,0.53,31.13,5.28,1.45,0,0
3,10,10,0,0,58.61,2.62,54.42,62.77,0.218,10.159,0,1.98,36.89,7.49,1.51,0,0
4,10,10,0,0,64.92,4.50,57.72,71.94,0.222,10.184,0,10.57,35.38,8.27,1.46,0,0
5,10,10,0,0,64.13,5.29,58.86,77.54,0.225,10.143,0,10.60,39.62,8.94,1.50,0,0
6,10,10,0,0,65.58,3.51,58.63,71.80,0.175,10.162,0,4.96,37.85,9.74,1.50,0,0
7,10,10,0,0,70.08,5.86,62.87,83.90,0.247,10.114,0,12.92,38.08,11.57,1.49,0,0
8,10,10,0,0,65.36,3.33,60.25,70.55,0.184,10.090,0,3.97,40.11,10.88,1.52,0,0
9,10,10,0,0,76.16,3.26,71.89,81.68,0.232,10.106,0,19.85,36.56,13.60,1.46,0,0
10,10,10,0,0,76.48,5.80,68.79,86.64,0.185,10.095,0,17.96,36.77,13.25,1.46,0,0
