scope,seed,mode,runs,completed,completion_pct,mean_mission_time_all_s,mean_mission_time_success_s,map_commit_hz,cloud_callback_hz,mean_scan_points,rog_processed_kpoints_s,weighted_kept_pct,point_reduction_pct,filter_open_duty_pct,filter_open_point_duty_pct,mapping_total_ms,raycast_ms,update_ms,fsm_cpu_pct,filter_cpu_pct,static_pcd_collisions,live_marker_runs,worst_static_body_clearance_m
seed,seed1,full,5,5,100.0,60.59,60.59,6.130766,8.289874,14770.554544,90.618988,100.0,0.0,100.0,100.0,104.584833,58.678497,45.904536,151.4392,10.071042,0,0,0.206
seed,seed1,sector,5,5,100.0,60.832,60.832,6.511037,8.535986,14283.396423,92.970147,94.890108,5.109892,88.3362,91.06,101.906996,57.598529,44.306735,156.823406,10.896161,0,0,0.251
seed,seed1,adaptive,5,5,100.0,63.07,63.07,6.404955,8.610809,14189.556052,90.875175,95.789018,4.210982,89.786,92.2162,102.813585,58.210762,44.601013,154.51163,10.948333,0,0,0.227
seed,seed2,full,5,5,100.0,56.804,56.804,6.313665,8.680649,15389.275663,97.227188,100.0,0.0,100.0,100.0,111.280422,62.945479,48.333194,161.236615,10.354158,0,0,0.244
seed,seed2,sector,5,5,100.0,57.5,57.5,6.695182,8.667155,14567.658291,97.608608,95.058149,4.941851,88.3064,92.4876,104.676297,59.45997,45.214469,160.41066,11.067169,0,0,0.232
seed,seed2,adaptive,5,5,100.0,59.244,59.244,6.233686,8.425543,14874.210242,92.744509,95.813976,4.186024,88.8802,93.2874,105.300745,59.573635,45.725261,156.173316,10.989227,0,0,0.266
seed,seed3,full,5,4,80.0,80.63,65.785,4.386755,6.883863,20371.855541,86.006989,100.0,0.0,100.0,100.0,129.084287,75.614883,53.467623,137.993407,10.137139,0,0,0.285
seed,seed3,sector,5,5,100.0,64.282,64.282,4.224984,7.031625,21303.536608,90.019749,94.815466,5.184534,88.4698,92.699,122.930276,70.8889,52.039585,132.651884,10.601411,0,0,0.283
seed,seed3,adaptive,5,5,100.0,71.868,71.868,3.580006,6.157216,21170.673817,75.927791,95.030328,4.969672,88.473,92.7786,117.460986,67.777266,49.68183,114.328231,10.805312,0,0,0.246
seed,seed4,full,5,5,100.0,80.18,80.18,3.368617,5.79773,24031.362807,81.064182,100.0,0.0,100.0,100.0,122.954053,71.504832,51.447388,110.485083,10.029442,0,0,0.212
seed,seed4,sector,5,5,100.0,72.788,72.788,3.917204,6.570514,22467.5364,88.297844,96.243733,3.756267,88.245,93.8342,116.326603,67.895673,48.429103,120.154353,10.66684,0,0,0.235
seed,seed4,adaptive,5,5,100.0,74.788,74.788,3.846715,6.514129,23147.367903,88.922986,97.198893,2.801107,90.1798,95.3248,119.25648,69.649231,49.605399,119.143151,10.907175,0,0,0.266
seed,seed5,full,5,5,100.0,70.014,70.014,3.495926,6.499071,27817.770857,97.524502,100.0,0.0,100.0,100.0,146.733396,85.76377,60.967671,127.151202,10.457223,0,0,0.181
seed,seed5,sector,5,5,100.0,72.018,72.018,3.589183,6.498958,26169.441511,94.34789,96.113315,3.886685,90.1166,94.4918,136.611447,79.882691,56.726828,123.890192,10.869034,0,1,0.109
seed,seed5,adaptive,5,5,100.0,71.568,71.568,3.521739,6.296855,25807.529863,90.937036,95.306314,4.693686,87.8476,93.0948,134.996733,78.535527,56.459312,123.785035,10.932201,0,0,0.209
seed,seed6,full,5,4,80.0,93.962,82.45,3.206993,6.019103,29258.420252,93.30949,100.0,0.0,100.0,100.0,136.552157,82.739371,53.810941,118.165093,10.452813,0,0,0.247
seed,seed6,sector,5,5,100.0,76.352,76.352,3.499749,6.499131,29125.619715,101.860189,97.017465,2.982535,90.1026,94.624,130.94299,78.578162,52.362976,120.970511,10.806621,0,0,0.199
seed,seed6,adaptive,5,5,100.0,77.03,77.03,3.535195,6.343391,28561.825604,101.152217,96.444235,3.555765,88.3326,92.2028,128.121055,76.77339,51.345761,118.976466,11.237594,0,0,0.15
seed,seed7,full,5,4,80.0,93.158,81.4475,3.136785,5.712088,36931.756906,115.34796,100.0,0.0,100.0,100.0,140.840518,87.907424,52.931215,119.551693,10.573157,0,0,0.211
seed,seed7,sector,5,5,100.0,90.826,90.826,3.089836,6.208474,35358.670219,109.727778,97.986423,2.013577,94.2618,96.522,133.735,82.77911,50.954035,108.589006,11.397464,0,0,0.15
seed,seed7,adaptive,5,5,100.0,92.012,92.012,2.873288,5.381823,35370.651516,101.585242,97.393613,2.606387,92.7742,95.54,129.692088,80.248536,49.441611,102.5678,11.40829,0,0,0.179
seed,seed8,full,5,5,100.0,76.378,76.378,3.114994,5.935605,34818.682925,108.873975,100.0,0.0,100.0,100.0,147.952027,89.651625,58.298446,117.917415,10.864357,0,0,0.222
seed,seed8,sector,5,5,100.0,77.532,77.532,3.164403,5.730419,34343.249866,108.430226,97.457871,2.542129,93.401,96.233,137.110225,83.766407,53.341904,115.526031,11.120918,0,0,0.238
seed,seed8,adaptive,5,5,100.0,75.5,75.5,3.383227,6.169785,33310.907949,112.910916,97.439082,2.560918,93.0472,95.7114,142.35704,85.884873,56.470338,121.589684,11.302692,0,0,0.079
seed,seed9,full,5,4,80.0,105.624,97.03,3.440049,6.128004,40610.88765,138.419984,100.0,0.0,100.0,100.0,138.274344,88.726612,49.545834,116.795629,11.461213,0,0,0.21
seed,seed9,sector,5,4,80.0,101.686,92.1075,3.047487,5.790288,42448.568188,130.089486,98.080435,1.919565,94.5164,96.3984,128.534215,82.718984,45.813327,103.415245,11.787902,0,0,0.23
seed,seed9,adaptive,5,5,100.0,84.704,84.704,3.349331,6.054527,42818.756531,143.334536,97.890995,2.109005,93.6814,95.6794,133.172295,85.63683,47.533563,115.318533,11.79389,0,0,0.21
seed,seed10,full,5,5,100.0,96.48,96.48,2.806166,5.20201,42445.518751,119.391947,100.0,0.0,100.0,100.0,138.20363,86.486363,51.71537,102.650497,11.227005,0,0,0.129
seed,seed10,sector,5,5,100.0,87.364,87.364,3.604943,6.712397,40962.841478,148.356572,97.89411,2.10589,93.8494,96.0126,136.945967,86.80348,50.14054,123.583414,11.935151,0,0,0.211
seed,seed10,adaptive,5,5,100.0,85.868,85.868,3.644061,6.391026,42419.843466,154.846264,98.284451,1.715549,94.859,96.4402,139.710454,89.454944,50.253607,125.159112,12.136256,0,0,0.217
aggregate,all,full,50,46,92.0,81.382,76.284348,3.940072,6.5148,28644.60859,102.77852,100.0,0.0,100.0,100.0,131.645967,79.001886,52.642222,126.338583,10.562755,0,0,0.129
aggregate,all,sector,50,49,98.0,76.118,74.814286,4.134401,6.824495,28103.05187,106.170849,97.025112,2.974888,90.96052,94.43626,124.972002,75.037191,49.93295,126.60147,11.114867,0,1,0.109
aggregate,all,adaptive,50,50,100.0,75.5652,75.5652,4.03722,6.63451,28167.132294,105.323667,96.992714,3.007286,90.7861,94.22756,125.288146,75.174499,50.11177,125.155296,11.246097,0,0,0.079
