scope,mode,runs,completions,completion_pct,waypoints_reached,waypoints_total,static_pcd_measurement_valid,static_contact_runs,static_contact_episodes,live_cloud_contact_runs,live_cloud_contact_episodes,mission_time_mean_s,mission_time_median_s,mission_time_change_vs_full_pct,failure_rate_change_vs_full_pp,point_reduction_weighted_pct,filter_replan_guard_open_duty_pct,mapping_total_ms_mean,mapping_total_reduction_vs_full_pct,raycast_ms_mean,raycast_reduction_vs_full_pct,update_ms_mean,update_reduction_vs_full_pct,fsm_cpu_pct_mean,fsm_cpu_reduction_vs_full_pct
seed1,full,5,5,100.000000,25,25,False,,,0,0,64.276000,65.290000,0.000000,0.000000,0.000000,0.000000,110.501075,0.000000,62.324766,0.000000,48.174552,0.000000,159.087948,0.000000
seed1,sector,5,5,100.000000,25,25,False,,,0,0,62.200000,62.140000,-3.229821,0.000000,4.245354,89.687800,104.672373,5.274792,59.452812,4.608046,45.217879,6.137418,160.445178,-0.853132
seed1,adaptive,5,5,100.000000,25,25,False,,,0,0,65.896000,66.450000,2.520381,0.000000,4.696654,88.860200,102.121761,7.583016,57.816693,7.233197,44.303344,8.035795,149.023121,6.326581
seed2,full,5,5,100.000000,25,25,False,,,0,0,62.862000,62.090000,0.000000,0.000000,0.000000,0.000000,118.082623,0.000000,68.078304,0.000000,50.002516,0.000000,166.653698,0.000000
seed2,sector,5,5,100.000000,25,25,False,,,0,0,60.236000,59.910000,-4.177404,0.000000,5.522736,86.807600,106.421453,9.875432,60.678559,10.869461,45.741078,8.522446,158.756520,4.738675
seed2,adaptive,5,5,100.000000,25,25,False,,,0,0,55.598000,55.030000,-11.555471,0.000000,5.342805,87.135800,109.555998,7.220897,62.947581,7.536502,46.606687,6.791315,168.468228,-1.088803
seed3,full,5,5,100.000000,25,25,False,,,0,0,61.738000,61.720000,0.000000,0.000000,0.000000,0.000000,141.444738,0.000000,82.778032,0.000000,58.665028,0.000000,159.342696,0.000000
seed3,sector,5,5,100.000000,25,25,False,,,0,0,70.812000,70.240000,14.697593,0.000000,3.787053,91.255200,137.339713,2.902211,80.709885,2.498425,56.628024,3.472262,145.779887,8.511723
seed3,adaptive,5,5,100.000000,25,25,False,,,0,0,67.534000,64.030000,9.388059,0.000000,4.502730,89.802800,133.509346,5.610242,78.845095,4.751185,54.662480,6.822715,146.678612,7.947703
seed4,full,5,5,100.000000,25,25,False,,,0,0,71.874000,70.640000,0.000000,0.000000,0.000000,0.000000,135.378914,0.000000,79.078901,0.000000,56.298291,0.000000,141.456445,0.000000
seed4,sector,5,4,80.000000,23,25,False,,,0,0,81.448000,73.260000,13.320533,20.000000,3.369137,89.455600,120.189811,11.219696,71.139786,10.039487,49.048359,12.877711,127.554843,9.827479
seed4,adaptive,5,5,100.000000,25,25,False,,,0,0,74.136000,68.360000,3.147174,0.000000,3.077768,89.682000,128.455032,5.114446,75.463825,4.571480,52.989560,5.877143,141.557816,-0.071663
seed5,full,5,5,100.000000,25,25,False,,,0,0,65.956000,63.700000,0.000000,0.000000,0.000000,0.000000,159.201351,0.000000,94.111625,0.000000,65.088015,0.000000,156.879757,0.000000
seed5,sector,5,5,100.000000,25,25,False,,,0,0,74.892000,72.830000,13.548426,0.000000,4.130632,89.681200,145.656519,8.507988,86.070119,8.544647,59.584640,8.455282,141.393103,9.871672
seed5,adaptive,5,5,100.000000,25,25,False,,,0,0,70.380000,71.600000,6.707502,0.000000,4.244821,89.236800,144.429201,9.278910,84.760655,9.936042,59.666871,8.328943,142.757379,9.002040
seed6,full,5,5,100.000000,25,25,False,,,0,0,78.210000,76.420000,0.000000,0.000000,0.000000,0.000000,146.429989,0.000000,87.612515,0.000000,58.815686,0.000000,135.677694,0.000000
seed6,sector,5,5,100.000000,25,25,False,,,0,0,77.964000,76.800000,-0.314538,0.000000,3.098251,89.851600,138.450878,5.449096,82.719905,5.584373,55.729315,5.247531,135.390901,0.211379
seed6,adaptive,5,5,100.000000,25,25,False,,,0,0,87.566000,89.130000,11.962665,0.000000,2.908198,89.657000,133.158201,9.063572,80.237255,8.418044,52.919269,10.025246,125.585019,7.438714
seed7,full,5,5,100.000000,25,25,False,,,0,0,87.284000,87.380000,0.000000,0.000000,0.000000,0.000000,153.328496,0.000000,95.495616,0.000000,57.831133,0.000000,131.833091,0.000000
seed7,sector,5,5,100.000000,25,25,False,,,0,0,92.812000,92.750000,6.333349,0.000000,2.156667,93.698200,141.833823,7.496762,88.103393,7.740903,53.728622,7.093948,124.422872,5.620910
seed7,adaptive,5,5,100.000000,25,25,False,,,0,0,91.582000,96.990000,4.924156,0.000000,1.902568,94.674000,143.454465,6.439789,89.073376,6.725167,54.379387,5.968664,129.037378,2.120646
seed8,full,5,5,100.000000,25,25,False,,,0,0,89.294000,91.040000,0.000000,0.000000,0.000000,0.000000,157.154956,0.000000,95.499760,0.000000,61.653364,0.000000,125.636974,0.000000
seed8,sector,5,5,100.000000,25,25,False,,,0,0,81.196000,77.370000,-9.068918,0.000000,1.952874,94.707200,151.113729,3.844121,92.380128,3.266639,58.731919,4.738500,139.559208,-11.081319
seed8,adaptive,5,5,100.000000,25,25,False,,,0,0,79.262000,80.370000,-11.234797,0.000000,1.924149,94.589800,148.753997,5.345653,89.489882,6.293082,59.262444,3.878004,126.666104,-0.819130
seed9,full,5,4,80.000000,24,25,False,,,0,0,94.016000,93.650000,0.000000,0.000000,0.000000,0.000000,150.399000,0.000000,97.313883,0.000000,53.083289,0.000000,136.126815,0.000000
seed9,sector,5,3,60.000000,17,25,False,,,1,1,107.952000,115.620000,14.823009,20.000000,1.006535,96.417800,135.341406,10.011764,91.465290,6.010029,43.874363,17.348070,129.385490,4.952239
seed9,adaptive,5,2,40.000000,18,25,False,,,1,1,117.472000,120.000000,24.948945,40.000000,1.008454,96.352400,137.278982,8.723474,91.844844,5.619998,45.432353,14.413078,116.096901,14.714158
seed10,full,5,4,80.000000,21,25,False,,,0,0,98.832000,98.630000,0.000000,0.000000,0.000000,0.000000,145.257337,0.000000,95.382369,0.000000,49.873133,0.000000,136.095480,0.000000
seed10,sector,5,4,80.000000,21,25,False,,,0,0,96.374000,96.360000,-2.487049,0.000000,2.680329,93.219800,144.821704,0.299905,92.654950,2.859458,52.165053,-4.595499,139.597532,-2.573231
seed10,adaptive,5,5,100.000000,25,25,False,,,0,0,96.194000,96.360000,-2.669176,-20.000000,1.514233,95.421200,146.305507,-0.721595,93.665215,1.800284,52.638482,-5.544766,130.873418,3.837058
ALL,full,50,48,96.000000,245,250,False,,,0,0,77.434200,74.915000,0.000000,0.000000,0.000000,0.000000,141.717848,0.000000,85.767577,0.000000,55.948501,0.000000,144.879060,0.000000
ALL,sector,50,46,92.000000,236,250,False,,,1,1,80.588600,75.220000,4.073652,4.000000,2.721400,91.478200,132.584141,6.444994,80.537483,6.097985,52.044925,6.977087,140.228553,3.209923
ALL,adaptive,50,47,94.000000,243,250,False,,,1,1,80.562000,77.840000,4.039300,2.000000,2.544627,91.541200,132.702249,6.361654,80.414442,6.241444,52.286088,6.546043,137.674398,4.972880
