seed,run,success,mission_time_s,waypoints_reached,n_waypoints,path_length_m,guard_rejects,brake_rejected,brake_accepted,guard_recovered,reroute_arm,reroute_search,max_reject_generation,max_reject_count,max_reject_span_s,max_reject_eventually_committed,firi_warning,polytope_line_failure,replan_overtime,plan_from_rest_failure
9,1,true,96.1,5,5,243.279,67,210,9,8,31,73,14,34,4.531491,true,0,31,7,84
9,2,true,73.84,5,5,239.108,15,24,8,8,9,9,25,1,0.000000,true,1,14,18,14
9,3,true,86.48,5,5,245.466,29,82,10,10,17,17,59,5,0.918674,true,0,14,8,27
9,4,false,120.01,4,5,208.288,447,496,10,10,0,0,177,314,30.613847,false,0,10,19,448
9,5,true,93.65,5,5,235.499,39,101,12,12,22,27,1,4,1.836188,true,0,11,22,39
10,1,true,80.32,5,5,240.859,26,50,7,7,9,28,11,4,1.459541,true,0,18,21,37
10,2,false,120.01,1,5,44.469,327,359,4,4,0,0,71,314,98.871392,false,14,15,462,803
10,3,true,102.48,5,5,248.641,67,113,16,16,34,72,114,12,0.659993,true,0,6,24,78
10,4,true,98.63,5,5,240.74,40,159,15,15,22,26,11,5,2.234691,true,0,5,8,32
10,5,true,92.72,5,5,240.248,28,117,14,14,17,18,35,4,0.713734,true,0,13,16,33
