seed,run,success,waypoints_reached,n_waypoints,mission_time_s,static_pcd_enabled,static_pcd_point_count,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,contact_event_count,path_length_m,max_speed_mps
seed9,1,true,5,5,92.94,true,1042220,0,0.451,0.251,0,242.120,7.001
seed9,2,true,5,5,84.66,true,1042220,0,0.471,0.271,0,236.277,6.999
seed9,3,true,5,5,88.60,true,1042220,0,0.432,0.232,0,233.431,7.000
seed9,4,true,5,5,117.59,true,1042220,0,0.435,0.235,0,245.159,7.002
seed9,5,true,5,5,85.98,true,1042220,0,0.420,0.220,0,246.467,7.000
seed10,1,true,5,5,99.71,true,1042220,0,0.332,0.132,0,238.004,6.999
seed10,2,true,5,5,89.94,true,1042220,0,0.418,0.218,0,240.306,7.000
seed10,3,true,5,5,109.12,true,1042220,0,0.387,0.187,0,249.093,6.993
seed10,4,true,5,5,92.64,true,1042220,0,0.386,0.186,0,238.871,7.000
seed10,5,true,5,5,104.02,true,1042220,0,0.457,0.257,0,236.693,7.000
