half_angle_deg,map,n_per_mode,adaptive_minus_sector_completion_pp,adaptive_minus_sector_collision_runs,adaptive_minus_sector_clearance_min_m,adaptive_minus_sector_under_0p20,adaptive_vs_sector_time_reduction_pct,adaptive_vs_sector_kept_reduction_pct,adaptive_vs_sector_dds_reduction_pct,adaptive_vs_sector_algorithm_cores_reduction_pct,adaptive_vs_sector_algorithm_core_s_reduction_pct,adaptive_vs_sector_end_to_end_core_s_reduction_pct
60,all,9,0.0,0,0.008,0,2.670,27.180,25.852,-3.444,-0.626,-3.975
60,seed7,3,0.0,0,0.021,0,0.996,25.794,24.818,-4.807,-3.718,-7.236
60,seed9,3,0.0,0,-0.025,0,0.775,27.180,24.254,-1.668,-1.136,-4.815
60,seed10,3,0.0,0,0.008,0,6.067,28.533,28.327,-3.852,2.675,-0.224
45,all,9,0.0,0,0.053,-2,5.450,21.934,21.313,-3.521,2.551,-0.987
45,seed7,3,0.0,0,0.007,0,1.143,18.718,18.511,-3.642,-2.410,-6.017
45,seed9,3,0.0,0,0.053,-1,10.129,23.319,21.686,-4.046,7.024,3.119
45,seed10,3,0.0,0,0.053,-1,4.517,23.631,23.377,-2.886,2.511,-0.607
30,all,9,0.0,0,0.040,-2,3.958,17.163,15.133,-6.137,-2.372,-6.259
30,seed7,3,0.0,0,0.040,-1,3.655,17.553,18.221,-3.454,-0.390,-5.340
30,seed9,3,0.0,0,0.022,0,5.154,19.312,15.928,-6.190,-1.140,-5.150
30,seed10,3,0.0,0,0.027,-1,3.057,14.570,11.534,-8.902,-5.409,-8.171
