map,mode,n,completed,static_safe,speed_valid,mean_time_s,max_time_s,worst_clearance_m,mean_map_payload_mib_s,mean_dds_cloud_payload_mib_s,mean_planner_logical_ingress_mib_s,mean_algorithm_cpu_cores,mean_algorithm_core_s,mean_end_to_end_cpu_cores,mean_end_to_end_core_s,effective_full_open_transitions,trajectory_guard_open_transitions,guard_brake_successes,in_process_guard_handoffs,external_witness_frames,retry_count,oom_kill_delta,evidence_set
seed7,full,3,3,3,3,87.343,91.510,0.192,5.237811,5.237811,5.237811,0.837725,74.826753,1.024515,91.550390,0,0,96,0,0,0,0,initial_three_mode_full_sector
seed7,sector,3,3,3,3,83.543,87.510,0.153,1.694709,5.011527,1.694709,0.690654,58.823335,0.872288,74.350474,0,0,111,0,0,0,0,initial_three_mode_full_sector
seed7,adaptive,3,3,3,3,103.597,106.130,0.267,2.681855,4.133786,6.820705,0.607772,63.959971,0.801805,84.424279,10,9,162,1188,0,0,0,corrected_adaptive_followup
seed9,full,3,3,3,3,107.017,119.710,0.219,5.265569,5.265569,5.265569,0.724549,77.014544,0.924675,99.247804,0,0,143,0,0,0,0,initial_three_mode_full_sector
seed9,sector,3,3,3,3,92.980,99.840,0.115,1.796820,5.228511,1.796820,0.634853,60.071203,0.825167,78.161470,0,0,134,0,0,0,0,initial_three_mode_full_sector
seed9,adaptive,3,3,3,3,102.143,127.390,0.123,3.283977,5.523471,8.799665,0.705921,71.719662,0.901093,92.128092,21,13,149,1315,0,0,0,corrected_adaptive_followup
seed10,full,3,3,3,3,87.047,95.290,0.189,6.799695,6.799695,6.799695,0.926101,81.968708,1.107728,98.149305,0,0,83,0,0,0,0,initial_three_mode_full_sector
seed10,sector,3,3,2,3,103.757,111.990,-0.065,1.688771,4.727252,1.688771,0.580496,61.040362,0.781731,82.421990,0,0,161,0,0,0,0,initial_three_mode_full_sector
seed10,adaptive,3,3,3,3,107.913,116.580,0.199,3.013264,4.777853,7.819273,0.614997,67.727461,0.814713,89.736557,11,9,158,1261,0,0,0,corrected_adaptive_followup
all,full,9,9,9,9,93.802,119.710,0.189,5.767692,5.767692,5.767692,0.829458,77.936668,1.018973,96.315833,0,0,322,0,0,0,0,initial_three_mode_full_sector
all,sector,9,9,8,9,93.427,111.990,-0.065,1.726767,4.989097,1.726767,0.635334,59.978300,0.826395,78.311312,0,0,406,0,0,0,0,initial_three_mode_full_sector
all,adaptive,9,9,9,9,104.551,127.390,0.123,2.993032,4.811704,7.813214,0.642897,67.802365,0.839204,88.762976,42,31,469,3764,0,0,0,corrected_adaptive_followup
