map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end
seed1,1,full,True,38.13,5,5,0,0.576,3810,6748.99511002445,1.1800636943765281,0.47591653056234723,0.7027054278728606,0.2802050366748166,,80.47374459448395,7.265175583149076,0,409
seed1,1,sector,True,38.07,5,5,0,0.633,3802,2014.0294117647059,0.5396346642156863,0.1599269117647059,0.3782528995098039,0.19359014215686274,29,85.73111539623854,7.622541132592612,0,408
seed1,1,adaptive,True,38.88,5,5,0,0.668,3883,2063.853717026379,0.5543281606714628,0.16404566906474818,0.38891411990407676,0.19958105515587532,30,87.0998899861799,7.595243641900341,0,417
seed1,2,full,True,37.55,5,5,0,0.605,3749,6805.623762376237,1.1974206485148515,0.48683919801980197,0.7090283836633664,0.28720613613861384,,87.23971490781858,7.557629642070002,0,404
seed1,2,sector,True,39.39,5,5,0,0.574,3931,2030.9170616113745,0.48945949289099533,0.1473768127962085,0.3410140450236967,0.1757221943127962,29,83.60401622112046,7.468473515372539,0,422
seed1,2,adaptive,True,37.79,5,5,0,0.652,3773,2106.4148148148147,0.5574687358024691,0.1641386172839506,0.39183191111111115,0.20182788148148148,30,86.19684947108456,7.269861849765554,0,405
seed1,3,full,True,39.27,5,5,0,0.685,3922,6721.2095238095235,1.2199685738095238,0.49825018571428575,0.7202418642857144,0.28832866904761906,,84.9305513484465,6.983057533531564,0,420
seed1,3,sector,True,38.88,5,5,0,0.518,3888,2078.6474820143885,0.5013304268585131,0.15541300959232615,0.34461021582733814,0.17801272182254196,31,84.90536997010064,8.581888592264212,0,417
seed1,3,adaptive,True,37.55,5,5,0,0.545,3753,2105.9131513647644,0.5450445186104218,0.16194614392059553,0.38171124565756825,0.19738117369727046,31,87.3577133642361,7.360655136693477,0,403
seed1,4,full,True,37.52,5,5,0,0.669,3750,6724.0173697270475,1.2507828362282878,0.49252268982630276,0.756783188585608,0.305816905707196,,85.52746369858751,7.385153141408312,0,403
seed1,4,sector,True,37.17,5,5,0,0.642,3712,2058.3875,0.5217098925,0.157401385,0.36310893,0.1862359675,30,86.47414472595412,7.557980785811515,0,400
seed1,4,adaptive,True,37.03,5,5,0,0.632,3696,2190.615577889447,0.5099990703517588,0.15636336180904523,0.3522885527638191,0.1824986055276382,32,82.70932784736453,7.412473505577913,0,398
seed1,5,full,True,37.78,5,5,0,0.599,3770,6913.603448275862,1.2776627463054187,0.5148599187192118,0.7613067068965517,0.3136140270935961,,82.53873947589943,7.2958566578239825,0,406
seed1,5,sector,True,38.01,5,5,0,0.629,3798,1994.3431372549019,0.5057161200980391,0.15229000980392154,0.35221183333333334,0.18242462254901962,29,85.354509454133,7.888126407114221,0,408
seed1,5,adaptive,True,37.43,5,5,0,0.644,3737,2055.8507462686566,0.5437860572139303,0.16116307462686566,0.38126859452736317,0.19672549253731342,30,86.97135863912816,7.779588025099454,0,402
seed2,1,full,True,38.86,5,5,0,0.548,3885,6589.706024096386,1.163334344578313,0.47461133975903613,0.6873164289156626,0.28094434457831324,,84.35814031293506,7.062059190690618,0,415
