map,run,order,control_mission_time_s,shadow_mission_time_s,delta_mission_time_s,control_path_length_m,shadow_path_length_m,delta_path_length_m,control_fsm_cpu_pct,shadow_fsm_cpu_pct,delta_fsm_cpu_pct,control_monitor_cpu_pct,shadow_monitor_cpu_pct,delta_monitor_cpu_pct,control_total_ms_mean,shadow_total_ms_mean,delta_total_ms_mean,control_raycast_ms_mean,shadow_raycast_ms_mean,delta_raycast_ms_mean,control_update_ms_mean,shadow_update_ms_mean,delta_update_ms_mean,control_inflation_ms_mean,shadow_inflation_ms_mean,delta_inflation_ms_mean,control_success,shadow_success,delta_success,control_contact_event_count,shadow_contact_event_count,delta_contact_event_count
seed4,1,control_shadow,27.59,29.61,2.0199999999999996,220.931,220.513,-0.41800000000000637,87.4176971213508,141.44840175812638,54.03070463677558,22.390444308753125,27.32733386925112,4.936889560497995,5.835803636363637,6.771583333333333,0.9357796969696963,1.2895700454545453,1.6480028553459118,0.3584328098913665,4.544814036363636,5.1220291006289305,0.5772150642652942,2.7333968454545454,3.058432798742138,0.3250359532875926,True,True,0,1,1,0
seed4,2,shadow_control,28.63,28.46,-0.16999999999999815,222.045,220.606,-1.438999999999993,103.56951243035782,142.2203900678224,38.650877637464575,22.10867258205746,27.704749881191443,5.596077299133984,6.612060634920635,6.741902073170732,0.12984143825009742,1.4664535714285716,1.66896025,0.20250667857142846,5.144253158730159,5.07146487195122,-0.07278828677893845,3.1069770873015874,2.991530756097561,-0.11544633120402636,True,True,0,0,0,0
seed5,1,control_shadow,28.24,28.64,0.40000000000000213,222.202,222.785,0.5829999999999984,104.922056162262,144.21986969953815,39.297813537276156,,27.539083836898165,,7.585030888888889,8.659747674418606,1.0747167855297164,1.7823952444444444,1.908786930232558,0.12639168578811355,5.80113622962963,6.749449604651162,0.9483133750215327,3.4483963851851853,4.1154824186046515,0.6670860334194662,True,True,0,1,0,-1
seed5,2,shadow_control,27.85,28.59,0.7399999999999984,225.062,220.306,-4.756,101.08916730869021,144.21478732025327,43.12562001156306,26.628401235860547,24.673999270333848,-1.9544019655266993,7.508242368421052,7.894805503355704,0.38656313493465166,1.6538895701754386,1.8797328859060403,0.22584331573060168,5.852700263157894,6.013510402684563,0.160810139526669,3.5162391315789474,3.5789429597315436,0.06270382815259623,True,True,0,2,0,-2
seed6,1,control_shadow,29.44,27.15,-2.2900000000000027,222.826,219.611,-3.2150000000000034,100.82002688406769,141.162859139505,40.342832255437315,26.61865368275875,28.28222718003536,1.6635734972766087,7.797362727272728,8.472401339285716,0.6750386120129876,1.6888971616161617,1.8715707232142857,0.1826735615981241,6.107047686868687,6.599415625,0.49236793813131285,3.7390801616161613,4.021032767857143,0.28195260624098184,True,True,0,5,4,-1
seed6,2,shadow_control,28.32,85.01,56.690000000000005,222.035,179.173,-42.861999999999995,106.31137054692809,114.76432401418793,8.452953467259846,27.006492988422178,,,8.181987131782945,4.485188191881918,-3.6967989399010266,1.9028545968992248,2.1916628154981552,0.28880821859893047,6.277556069767442,2.291831110701107,-3.985724959066335,3.7840748139534885,1.3911878228782288,-2.39288699107526,True,False,-1,2,11,9
seed7,1,control_shadow,32.54,85.0,52.46,223.452,31.12,-192.332,103.32260872160325,106.98219398329017,3.659585261686928,27.090525632367363,,,9.04965296,3.2206673741007195,-5.8289855858992805,2.35753656,2.650711618705036,0.29317505870503613,6.69048304,0.5681140899280575,-6.122368950071943,4.051191664,0.3067084856115108,-3.744483178388489,True,False,-1,8,3,-5
seed7,2,shadow_control,32.53,31.44,-1.0899999999999999,225.64,221.605,-4.034999999999997,105.88082583939129,146.86894192489348,40.988116085502185,25.504343146584617,29.878021331510492,4.3736781849258755,9.981436428571428,9.765510666666666,-0.21592576190476187,2.335463469387755,2.4935075555555555,0.1580440861678003,7.644386020408163,7.270399333333334,-0.3739866870748294,4.769462959183674,4.401520518518518,-0.36794244066515525,True,True,0,2,0,-2
seed8,1,control_shadow,28.22,32.08,3.8599999999999994,220.394,223.913,3.5190000000000055,106.10731400462177,140.13181775283726,34.024503748215494,26.173975610029135,28.413173404191436,2.239197794162301,10.823380344827585,9.767265583333334,-1.0561147614942517,2.3043389425287355,2.373560716666667,0.06922177413793129,8.51746183908046,7.391971833333334,-1.1254900057471255,5.364942873563218,4.49696195,-0.8679809235632181,True,True,0,0,3,3
seed8,2,shadow_control,29.44,29.78,0.33999999999999986,224.785,219.909,-4.876000000000005,105.13269318761954,143.55627904470805,38.42358585708851,27.68149613315335,25.49045477030989,-2.1910413628434604,8.82512928057554,10.355853652173915,1.5307243715983745,2.2120007194244606,2.446382260869565,0.23438154144510426,6.611511223021583,7.907911739130434,1.296400516108851,3.959419208633094,4.887010695652173,0.9275914870190793,True,True,0,0,1,1
