map,run,mode,experiment_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed4,1,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82,5,5,1,0.016,0,,,,,,,,,1,live_cloud,14.4374,0.16156,-22.90300941467285,-5.588749885559082,2.663990020751953,9.54317,-22.978179931640625,-5.731750011444092,2.662060022354126,results/native_dense_shadow_fast_ab_n10_forensics/seed4_run1_full_control_v10.json,2779,2128,1.322,-0.618,1.442,-25.988,24.008,-25.209,25.113,224.07,10.0,0.038,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,201,4133720,4133720,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,20129.607407407406,6.224867185185185,1.4125852148148148,4.810790222222222,2.835877088888889,100.0,99.7138051709175,10.021930011722828,23.459019141303393,4,139,,
seed4,1,full_shadow_v10,,True,,,,,,,,,,,,,,324,31,0,355,31,0,0,11,18,0,2,0.1812338028169014,10.865,2,2,0,6,25,0.38910436630249023,APPENDED_BACKUP,,,,,,,,,,,29.26,5,5,2,0.092,0,,,,,,,,,2,live_cloud,4.0968,0.15379,21.927480697631836,21.048580169677734,2.205090045928955,8.45333,22.066699981689453,20.98328971862793,2.207119941711426,results/native_dense_shadow_fast_ab_n10_forensics/seed4_run1_full_shadow_v10.json,2919,2264,1.344,-0.424,1.249,-24.822,24.043,-25.268,26.359,221.98,10.0,0.33,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,192,4270960,4270960,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,23412.029197080294,6.838925401459854,1.6287916715328468,5.208541700729927,3.1360439343065694,100.0,104.6576029928772,10.954241327591374,24.975128868809122,0,137,,
seed4,2,full_shadow_v10,,True,,,,,,,,,,,,,,325,39,0,364,39,0,0,11,24,0,4,0.15261263736263736,6.941,0,0,0,0,39,,,,,,,,,,,,,28.61,5,5,0,0.238,0,,,,,,,,,0,,,,,,,,,,,results/native_dense_shadow_fast_ab_n10_forensics/seed4_run2_full_shadow_v10.json,2854,2244,1.376,-0.414,1.734,-23.959,24.025,-25.303,26.311,220.847,10.0,0.344,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,209,4477568,4477568,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,22269.11612903226,6.5066091612903225,1.572445477419355,4.932670477419355,2.9173079225806453,100.0,105.04105906897786,10.751933603351198,25.97224935639127,0,155,,
seed4,2,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.69,5,5,1,0.053,0,,,,,,,,,1,live_cloud,20.7179,0.13634,7.7021098136901855,-19.550010681152344,2.37746000289917,9.88114,7.747109889984131,-19.6742000579834,2.411220073699951,results/native_dense_shadow_fast_ab_n10_forensics/seed4_run2_full_control_v10.json,2663,2185,1.193,-0.808,1.608,-24.925,23.968,-25.147,26.2,219.919,9.999,0.189,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,166,3381832,3381832,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,20846.783783783783,7.266769549549549,1.5731947837837836,5.692108594594594,3.5198170360360357,100.0,106.08118405740566,10.34262326531961,,0,111,,
seed5,1,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.88,5,5,5,0.02,0,,,,,,,,,5,live_cloud,2.2971,0.19176,15.035249710083008,13.337140083312988,1.9856799840927124,9.90668,15.036680221557617,13.525179862976074,2.023279905319214,results/native_dense_shadow_fast_ab_n10_forensics/seed5_run1_full_control_v10.json,2779,1912,0.962,-1.06,2.201,-24.09,23.997,-25.215,26.406,221.452,10.001,0.319,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,168,4160738,4160738,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,25189.427083333332,8.43269875,1.73069609375,6.700270208333333,4.1191018645833335,100.0,106.08555144847512,10.503696525447044,27.07638342687845,0,96,,
seed5,1,full_shadow_v10,,True,,,,,,,,,,,,,,285,51,0,336,51,0,0,19,28,0,4,0.16356845238095238,7.136,0,0,0,0,51,,,,,,,,,,,,,30.4,5,5,0,0.295,0,,,,,,,,,0,,,,,,,,,,,results/native_dense_shadow_fast_ab_n10_forensics/seed5_run1_full_shadow_v10.json,3032,2383,1.194,-0.678,2.031,-24.948,24.185,-26.304,25.843,223.657,9.998,0.263,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,220,6144736,6144736,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,29439.512345679013,7.712819691358025,1.966205641975309,5.744988641975309,3.3779164320987656,100.0,109.86946443407768,10.642538400978502,26.285969561691253,0,162,,
seed5,2,full_shadow_v10,,True,,,,,,,,,,,,,,302,43,0,345,43,0,0,14,29,0,0,0.26942608695652176,11.579,1,1,0,0,43,1.7454299926757812,EXP,,,,,,,,,,,28.95,5,5,1,0.104,0,,,,,,,,,1,live_cloud,15.2962,0.15601,-24.17770004272461,-8.730050086975098,2.5562400817871094,9.94297,-24.097639083862305,-8.858149528503418,2.517270088195801,results/native_dense_shadow_fast_ab_n10_forensics/seed5_run2_full_shadow_v10.json,2886,2132,0.929,-1.129,2.086,-28.04,24.029,-24.48,25.804,224.714,10.0,0.215,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,175,4190179,4190179,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,24556.5,7.971625982142858,1.7577210446428573,6.212326258928571,3.7427086160714285,100.0,106.61037119400875,10.120267777600262,26.240282725573586,0,112,,
seed5,2,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.86,5,5,1,0.072,0,,,,,,,,,1,live_cloud,9.0124,0.19369,-11.631099700927734,21.73716926574707,2.054689884185791,7.18626,-11.67278003692627,21.920080184936523,2.0064799785614014,results/native_dense_shadow_fast_ab_n10_forensics/seed5_run2_full_control_v10.json,2878,2193,1.328,-0.625,1.294,-24.622,24.839,-26.114,26.427,225.861,10.0,0.35,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,175,4637038,4637038,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,27655.58823529412,8.432357142857143,1.825539630252101,6.605277882352941,4.04596319327731,100.0,106.6160254642547,11.019249560260535,24.575751807384567,0,119,,
seed6,1,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.17,5,5,4,0.013,0,,,,,,,,,4,live_cloud,1.6249,0.1856,9.16530990600586,10.541850090026855,1.5447900295257568,9.93883,9.34846019744873,10.55346965789795,1.5725500583648682,results/native_dense_shadow_fast_ab_n10_forensics/seed6_run1_full_control_v10.json,2710,2053,0.578,-1.265,2.051,-28.429,24.025,-25.186,24.469,222.667,10.0,0.278,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,154,3699046,3699046,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,24739.08653846154,8.33171701923077,1.733755298076923,6.596540163461539,4.035848298076924,100.0,101.781226281945,10.435159978144918,,0,104,,
seed6,1,full_shadow_v10,,True,,,,,,,,,,,,,,303,40,0,343,40,0,0,14,24,0,2,0.14073177842565598,8.151,0,0,0,0,40,,,,,,,,,,,,,28.59,5,5,0,0.327,0,,,,,,,,,0,,,,,,,,,,,results/native_dense_shadow_fast_ab_n10_forensics/seed6_run1_full_shadow_v10.json,2851,2293,0.92,-1.165,2.221,-25.962,24.015,-25.064,27.581,221.12,10.0,0.278,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,177,4580322,4580322,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,27350.485074626864,7.854459179104477,1.8553457164179104,5.997514925373134,3.5841189029850744,100.0,107.97856926133068,10.852965079778725,27.206532883981843,0,134,,
