map,run,order,control_mission_time_s,shadow_mission_time_s,delta_mission_time_s,control_path_length_m,shadow_path_length_m,delta_path_length_m,control_fsm_cpu_pct,shadow_fsm_cpu_pct,delta_fsm_cpu_pct,control_monitor_cpu_pct,shadow_monitor_cpu_pct,delta_monitor_cpu_pct,control_total_ms_mean,shadow_total_ms_mean,delta_total_ms_mean,control_raycast_ms_mean,shadow_raycast_ms_mean,delta_raycast_ms_mean,control_update_ms_mean,shadow_update_ms_mean,delta_update_ms_mean,control_inflation_ms_mean,shadow_inflation_ms_mean,delta_inflation_ms_mean,control_success,shadow_success,delta_success,control_contact_event_count,shadow_contact_event_count,delta_contact_event_count
seed4,1,control_shadow,27.82,29.26,1.4400000000000013,224.07,221.98,-2.0900000000000034,99.7138051709175,104.6576029928772,4.943797821959706,23.459019141303393,24.975128868809122,1.5161097275057287,6.224867185185185,6.838925401459854,0.6140582162746693,1.4125852148148148,1.6287916715328468,0.21620645671803196,4.810790222222222,5.208541700729927,0.397751478507705,2.835877088888889,3.1360439343065694,0.30016684541768024,True,True,0,1,2,1
seed4,2,shadow_control,26.69,28.61,1.9199999999999982,219.919,220.847,0.9279999999999973,106.08118405740566,105.04105906897786,-1.0401249884278059,,25.97224935639127,,7.266769549549549,6.5066091612903225,-0.7601603882592265,1.5731947837837836,1.572445477419355,-0.0007493063644286035,5.692108594594594,4.932670477419355,-0.7594381171752396,3.5198170360360357,2.9173079225806453,-0.6025091134553904,True,True,0,1,0,-1
seed5,1,control_shadow,27.88,30.4,2.5199999999999996,221.452,223.657,2.2050000000000125,106.08555144847512,109.86946443407768,3.7839129856025693,27.07638342687845,26.285969561691253,-0.7904138651871975,8.43269875,7.712819691358025,-0.7198790586419754,1.73069609375,1.966205641975309,0.2355095482253089,6.700270208333333,5.744988641975309,-0.9552815663580247,4.1191018645833335,3.3779164320987656,-0.7411854324845679,True,True,0,5,0,-5
seed5,2,shadow_control,28.86,28.95,0.08999999999999986,225.861,224.714,-1.1469999999999914,106.6160254642547,106.61037119400875,-0.005654270245955217,24.575751807384567,26.240282725573586,1.664530918189019,8.432357142857143,7.971625982142858,-0.46073116071428455,1.825539630252101,1.7577210446428573,-0.0678185856092437,6.605277882352941,6.212326258928571,-0.39295162342436996,4.04596319327731,3.7427086160714285,-0.30325457720588167,True,True,0,1,1,0
seed6,1,control_shadow,27.17,28.59,1.4199999999999982,222.667,221.12,-1.546999999999997,101.781226281945,107.97856926133068,6.197342979385681,,27.206532883981843,,8.33171701923077,7.854459179104477,-0.4772578401262919,1.733755298076923,1.8553457164179104,0.12159041834098727,6.596540163461539,5.997514925373134,-0.5990252380884042,4.035848298076924,3.5841189029850744,-0.4517293950918493,True,True,0,4,0,-4
seed6,2,shadow_control,29.24,30.77,1.5300000000000011,224.294,222.584,-1.710000000000008,101.24014281369946,105.25804632651256,4.017903512813092,24.105372462475213,28.378137788174186,4.272765325698973,8.133884576271186,8.057966761904762,-0.07591781436642364,1.8845011186440679,1.869073380952381,-0.015427737691686927,6.247858466101695,6.1873028761904765,-0.060555589911218455,3.792090440677966,3.7522296285714285,-0.03986081210653758,True,True,0,3,7,4
seed7,1,control_shadow,32.31,31.95,-0.360000000000003,227.8,222.132,-5.668000000000006,104.55712309351433,103.55922040019846,-0.9979026933158792,27.943029911687308,28.17741849703642,0.23438858534911233,9.82057224489796,10.201592314814816,0.3810200699168558,2.347924795918367,2.5151574074074072,0.16723261148904012,7.471043265306123,7.684701018518519,0.213657753212396,4.646024183673469,4.789496574074073,0.14347239040060433,True,True,0,5,6,1
seed7,2,shadow_control,28.94,31.5,2.5599999999999987,221.308,222.99,1.6820000000000164,102.87462082444605,101.00863174211123,-1.8659890823348206,27.71310732187133,,,10.59005436781609,9.878437764705883,-0.7116166031102082,2.5222883908045977,2.3314242352941177,-0.19086415551047997,8.066133218390805,7.543797035294118,-0.5223361830966864,5.078957011494253,4.726783764705882,-0.3521732467883707,True,True,0,14,8,-6
seed8,1,control_shadow,29.03,85.01,55.980000000000004,221.225,207.084,-14.140999999999991,103.13186363772459,106.75065840356339,3.6187947658387998,27.616000012538343,,,9.031018130081302,6.413708333333333,-2.6173097967479686,2.1570868130081298,2.2079125238095236,0.050825710801393864,6.872300894308943,4.204152761904761,-2.6681481324041822,4.139818780487804,2.416842242857143,-1.722976537630661,True,False,-1,1,0,-1
seed8,2,shadow_control,29.03,85.0,55.97,222.549,206.678,-15.87100000000001,100.20893996916476,105.86078129603828,5.651841326873523,26.32850502575525,29.084894588196086,2.7563895624408374,10.166265108695653,5.438187307692308,-4.728077801003344,2.3202566304347827,2.6144334265734264,0.29417679613864367,7.844409347826088,2.8219789475524477,-5.02243040027364,4.9156038913043485,1.7028302447552448,-3.2127736465491035,True,False,-1,5,5,0
