map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed11,1,raw,True,72.68,2,2,0,0.297,7266,7134,0.616,-48.115,1.846,-6.853,3.328,-48.115,50.05,211.984,3.001,1.983,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66903.97196261682,13.50856738317757,5.369604345794392,8.136928457943926,3.5774963224299063,,87.53145463938756,,1,215,,
seed11,1,full,True,74.8,2,2,2,0.007,7474,7391,0.337,-48.032,1.383,-6.878,2.873,-48.032,50.088,216.026,3.001,1.996,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,369,25912059,25912059,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,70011.60416666667,13.570253166666667,5.453376208333333,8.114764916666665,3.607074695833333,100.0,91.44168752847584,10.349679740944222,1,241,,
seed11,1,sector,True,73.37,2,2,2,0.149,7332,7182,0.351,-48.032,1.34,-2.313,3.546,-48.032,50.093,212.648,3.001,1.999,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,196,13304704,4366377,32.818,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,22080.25,6.928382336956522,2.083595108695652,4.842768695652174,2.5120060869565215,32.818,85.74979005287746,10.553065130416144,2,186,,
seed11,1,adaptive,True,73.3,2,2,0,0.277,7323,7236,0.317,-48.04,1.25,-4.396,1.516,-48.04,50.02,214.05,3.001,1.986,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,327,22611799,7411180,32.776,True,94.495,False,0.0,0.0,1,0,0,1785833189.27833,1785833189.27833,1785833225.22753,,,,,,1,0.099859,0.02766,,,,,,,,,,,,,,,,,,,,,,,22212.843537414967,6.192714217687075,2.062121088435374,4.128660986394558,2.0699530714285714,32.776,86.10305048352113,12.514296274826474,4,298,,
seed11,2,full,True,75.21,2,2,0,0.25,7515,7490,0.3,-48.033,1.915,-6.828,3.426,-48.033,50.025,214.93,3.001,1.99,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,422,28861931,28861931,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,69126.8713692946,13.531847178423236,5.4956936514522825,8.034192282157676,3.5314882987551863,100.0,91.52203308083342,11.888390558911562,1,242,,
seed11,2,sector,True,74.91,2,2,0,0.264,7484,7461,0.306,-48.042,1.608,-3.577,5.24,-49.956,50.024,216.75,3.001,0.05,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,328,21690579,7044182,32.476,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,21253.610223642172,6.070703130990415,2.021175015974441,4.047488054313099,2.0109681469648564,32.476,84.74034468546795,11.273808829832074,2,315,,
seed11,2,adaptive,True,74.13,2,2,0,0.312,7407,7362,0.358,-48.049,1.271,-6.17,3.581,-48.049,50.105,213.959,3.001,1.983,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,243,16311940,5273408,32.329,True,95.473,False,0.0,0.0,1,0,0,1785833440.571159,1785833440.571159,1785833476.690787,,,,,,2,0.240286,0.156549,,,,,,,,,,,,,,,,,,,,,,,21461.68831168831,6.574220303030303,1.984679090909091,4.587671558441558,2.3818524805194805,32.329,84.44212011531847,10.820456517667179,3,234,,
seed11,2,raw,True,72.72,2,2,0,0.278,7266,7086,0.301,-48.03,1.365,-3.607,3.47,-48.03,50.049,212.45,3.002,1.993,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67307.75274725274,14.708652032967032,5.478847802197802,9.227802637362636,4.221686263736263,,86.05901565343609,,2,184,,
seed11,3,sector,True,74.11,2,2,1,0.098,7406,7388,0.332,-48.058,1.182,-3.009,3.344,-48.058,50.023,214.435,3.001,1.97,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,325,22146221,7156059,32.313,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,21868.70607028754,6.083984984025559,2.036342268370607,4.04571980830671,1.9942323833865814,32.313,87.85328593220814,12.423819439311442,2,315,,
seed11,3,adaptive,True,73.1,2,2,0,0.315,7304,7274,0.283,-48.041,1.428,-3.168,5.269,-48.041,50.088,213.031,3.002,1.979,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,252,16843734,5397768,32.046,True,95.238,False,0.0,0.0,1,0,0,1785833689.078289,1785833689.078289,1785833724.717602,,,,,,1,0.110143,0.140482,,,,,,,,,,,,,,,,,,,,,,,21247.2,6.653751791666666,2.0392320416666667,4.612637666666666,2.364970575,32.046,83.9591453888794,11.182643646801198,2,242,,
