map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed11,1,raw,True,72.07,2,2,0,0.272,0,0.387,0.187,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run1_raw.json,7201,6982,0.327,-48.052,1.742,-3.717,5.27,-48.052,50.171,210.134,3.001,1.975,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67811.08029197081,13.319844124087592,5.639945693430657,7.677985620437957,3.249117864963504,,86.90652085703398,,52.49903179810564,3,277,,
seed11,1,adaptive,True,74.31,2,2,0,0.322,0,0.38,0.18,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run1_adaptive.json,7420,7403,0.309,-48.047,1.247,-3.286,2.481,-48.047,50.176,210.607,3.001,1.978,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,357,24015213,7825669,32.586,True,98.599,False,0.0,0.0,1,0,0,1785895553.035722,1785895553.035722,1785895564.505775,,,,,,4,0.389856,0.0,,,,,,,,,,,,,,,,,,,,,,,21682.767441860466,6.710420203488372,2.2488230523255814,4.459523023255814,2.2326486627906976,32.586,91.59611467279868,12.394907165366108,55.90377830051667,1,345,,
seed11,2,adaptive,True,73.48,2,2,0,0.279,0,0.36,0.16,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run2_adaptive.json,7338,7293,-1.677,-48.984,1.476,-3.511,5.223,-48.984,50.034,213.179,3.001,1.96,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,362,24481588,7892377,32.238,True,94.751,False,0.0,0.0,1,0,0,1785895637.279853,1785895637.279853,1785895673.168371,,,,,,1,0.110026,0.07543,,,,,,,,,,,,,,,,,,,,,,,21572.01479289941,6.469265946745562,2.1557961242603554,4.311541597633136,2.1604763076923077,32.238,93.80106782735747,12.626669162573505,58.18060275155936,3,341,,
seed11,2,raw,True,73.7,2,2,0,0.29,0,0.363,0.163,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run2_raw.json,7357,7290,0.639,-48.128,1.739,-3.885,2.621,-48.128,50.073,215.056,3.001,1.978,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67205.2274509804,15.012004862745098,6.015218431372549,8.994401411764706,3.90560368627451,,95.3528598307398,,54.90385028654882,2,257,,
seed11,3,raw,True,72.47,2,2,0,0.241,0,0.35,0.15,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run3_raw.json,7240,7146,0.423,-48.049,1.811,-3.208,3.033,-48.049,50.052,211.213,3.001,1.996,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63837.25,15.048505860655737,5.931601926229508,9.11484618852459,4.060114467213115,,95.15566647748167,,55.78020951057743,5,249,,
seed11,3,adaptive,True,73.66,2,2,0,0.276,0,0.365,0.165,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run3_adaptive.json,7347,7300,0.637,-48.127,1.565,-2.988,3.052,-49.665,49.997,214.532,3.001,0.345,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,320,21089340,6820724,32.342,True,93.125,False,0.0,0.0,1,0,0,1785895887.058074,1785895887.058074,1785895921.857403,,,,,,1,0.109871,0.113674,,,,,,,,,,,,,,,,,,,,,,,21124.924342105263,7.082038585526315,2.334992335526316,4.744861302631579,2.3840352368421054,32.342,95.86267154981006,13.705100143976722,59.63066946370667,1,305,,
seed11,4,adaptive,True,73.98,2,2,0,0.242,0,0.317,0.117,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run4_adaptive.json,7378,7366,0.344,-48.034,1.686,-3.324,5.245,-48.034,50.031,213.984,3.001,1.996,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,354,23830785,7715633,32.377,True,95.763,False,0.0,0.0,1,0,0,1785895969.390167,1785895969.390167,1785896005.539214,,,,,,2,0.120164,0.089028,,,,,,,,,,,,,,,,,,,,,,,21596.28698224852,6.7010817455621305,2.3128555325443787,4.386164023668639,2.2050993934911243,32.377,95.97449147654396,12.539569333492256,57.731291814377975,3,341,,
seed11,4,raw,False,90.01,0,2,1,0.045,1,0.16,-0.04,2,live_cloud,21.2409,0.19839,0.48173001408576965,11.208209991455078,2.54872989654541,2.78116,0.30219000577926636,11.292119979858398,2.539599895477295,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run4_raw.json,8980,8961,0.339,11.486,2.56,-1.375,0.894,-47.424,11.486,62.807,3.001,2.588,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69925.65882352942,9.026919117647058,5.244456852941177,3.780217217647059,1.2039676705882354,,111.90772766399242,,71.62419762205823,1,341,,
seed11,5,raw,True,73.63,2,2,1,0.148,0,0.255,0.055,1,live_cloud,9.0597,0.19442,2.737149953842163,-22.414840698242188,2.508419990539551,2.76524,2.921339988708496,-22.39900016784668,2.448230028152466,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run5_raw.json,7336,7282,0.302,-48.024,1.405,-4.608,3.375,-48.024,50.053,213.473,3.001,1.999,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66637.98015873016,14.962405079365078,6.062810873015874,8.897445753968254,3.9726131746031745,,95.23136187794722,,55.981893742479144,1,253,,
seed11,5,adaptive,True,73.94,2,2,0,0.3,0,0.382,0.182,0,,,,,,,,,,,results/native_seed11_raw_adaptive_n30_pre_occupancy_capture_forensics/seed11_run5_adaptive.json,7380,7310,0.268,-48.036,1.38,-6.929,0.596,-48.248,50.099,213.191,3.001,1.76,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,378,25227193,8212655,32.555,True,92.857,False,0.0,0.0,1,0,0,1785896238.098633,1785896238.098633,1785896272.627824,,,,,,3,0.299846,0.0,,,,,,,,,,,,,,,,,,,,,,,21422.065527065526,6.390819116809117,2.2261148319088315,4.162660296296296,2.0717001054131052,32.555,99.93624306178259,13.498833976007704,60.228200659033114,0,351,,
