run_tag,elapsed_s,x,y,contact_distance_m,cmd_speed_mps,curvature_radius_m
seed10_run1_full_v10,1.5714,15.258,15.102,0.19724,3.705,5.8455
seed10_run1_full_v10,1.9748,16.364,16.059,0.19105,6.201,38.7507
seed10_run1_full_v10,8.8243,-8.371,26.252,0.06845,9.233,7.923
seed10_run1_full_v10,8.928,-9.086,26.014,0.11667,9.569,9.442
seed10_run1_full_v10,9.0053,-10.021,25.794,0.1849,9.524,13.1881
seed10_run1_full_v10,12.6342,-21.331,11.982,0.15832,9.619,7.8468
seed10_run1_full_v10,14.3639,-22.852,-0.221,0.15228,9.755,21.0394
seed10_run1_full_v10,14.7368,-22.624,-3.552,0.10871,9.707,9.9807
seed10_run1_full_v10,14.8944,-23.102,-5.235,0.17543,8.962,5.5477
seed10_run1_full_v10,15.0545,-23.859,-6.518,0.17323,9.724,32.075
seed10_run1_full_v10,15.3381,-25.318,-8.773,0.18008,8.701,14.9371
seed10_run1_full_v10,19.8272,-5.82,-21.72,0.1167,6.326,29.3782
seed10_run1_full_v10,19.9309,-5.232,-21.764,0.12367,5.565,2.2188
seed10_run1_full_v10,20.2303,-3.277,-21.048,0.10772,9.305,38.0364
seed10_run1_full_v10,22.8545,19.251,-24.25,0.18337,9.286,6.7092
seed10_run2_full_v10,7.3099,5.414,22.936,0.19057,6.902,12.9555
seed10_run2_full_v10,9.989,-16.401,25.514,0.16057,8.634,9.1168
seed10_run2_full_v10,13.5785,-22.963,13.817,0.15441,9.704,24.5167
seed10_run2_full_v10,13.888,-21.4,11.861,0.10358,7.193,12.0993
seed10_run2_full_v10,14.4791,-19.897,9.306,0.07559,7.19,88.0843
seed10_run2_full_v10,15.6487,-17.2,-0.92,0.12788,8.971,4.3799
seed10_run2_full_v10,16.0482,-18.682,-4.227,0.15322,9.997,6.5884
seed10_run2_full_v10,16.5022,-21.55,-6.582,0.11205,7.893,5.8879
seed10_run2_full_v10,20.381,-18.427,-25.064,0.19078,9.763,37.0445
seed10_run2_full_v10,22.2778,-2.67,-22.298,0.16669,9.945,10.1204
seed10_run2_full_v10,22.3814,-2.102,-21.752,0.14389,9.675,242.6881
seed10_run2_full_v10,23.018,0.632,-19.488,0.19853,1.935,0.4194
