seed,run,variant,success,waypoints_reached,collisions,min_clearance_m,mission_time_s,path_length_m,max_speed_mps
seed1,1,robotr028_omg4_thr23_v10_full,True,5,0,0.431,32.95,205.101,10.0
seed1,2,robotr028_omg4_thr23_v10_full,True,5,0,0.402,44.4,218.66,9.996
seed1,3,robotr028_omg4_thr23_v10_full,True,5,0,0.381,45.89,216.071,9.998
seed1,4,robotr028_omg4_thr23_v10_full,True,5,0,0.464,43.06,213.972,9.999
seed1,5,robotr028_omg4_thr23_v10_full,True,5,0,0.478,43.81,217.539,9.991
seed2,1,robotr028_omg4_thr23_v10_full,True,5,0,0.452,44.03,212.26,9.959
seed2,2,robotr028_omg4_thr23_v10_full,True,5,0,0.425,41.55,211.046,9.99
seed2,3,robotr028_omg4_thr23_v10_full,True,5,0,0.425,41.49,214.081,9.952
seed2,4,robotr028_omg4_thr23_v10_full,True,5,0,0.485,42.32,212.059,9.996
seed2,5,robotr028_omg4_thr23_v10_full,True,5,0,0.485,42.07,212.849,9.988
seed3,1,robotr028_omg4_thr23_v10_full,True,5,0,0.367,44.54,214.886,9.952
seed3,2,robotr028_omg4_thr23_v10_full,True,5,0,0.255,42.37,214.434,9.971
seed3,3,robotr028_omg4_thr23_v10_full,True,5,0,0.386,43.41,213.557,9.995
seed3,4,robotr028_omg4_thr23_v10_full,True,5,0,0.328,44.63,216.091,9.996
seed3,5,robotr028_omg4_thr23_v10_full,True,5,0,0.377,44.15,216.899,9.994
seed4,1,robotr028_omg4_thr23_v10_full,False,1,2,0.192,85.0,72.656,9.614
seed4,2,robotr028_omg4_thr23_v10_full,True,5,0,0.216,44.38,217.46,9.961
seed4,3,robotr028_omg4_thr23_v10_full,True,5,0,0.337,41.93,215.573,9.991
seed4,4,robotr028_omg4_thr23_v10_full,True,5,0,0.336,45.32,219.432,9.929
seed4,5,robotr028_omg4_thr23_v10_full,True,5,0,0.266,45.34,217.325,9.928
seed5,1,robotr028_omg4_thr23_v10_full,False,0,2,0.047,85.01,7.552,7.485
seed5,2,robotr028_omg4_thr23_v10_full,True,5,0,0.227,44.14,213.674,9.965
seed5,3,robotr028_omg4_thr23_v10_full,True,5,0,0.331,44.69,216.023,9.988
seed5,4,robotr028_omg4_thr23_v10_full,True,5,3,0.015,43.81,216.375,9.789
seed5,5,robotr028_omg4_thr23_v10_full,True,5,3,0.035,43.66,214.392,9.874
seed6,1,robotr028_omg4_thr23_v10_full,True,5,1,0.01,43.54,217.568,9.913
