raw_segment,mapped_segment,map,mode,run,start_epoch_s,duration_s,samples,gap_before_s,inferred_mode,full_open_fraction,trigger_armed_fraction,collision_episodes,minimum_body_clearance_m,minimum_center_surface_or_point_distance_m,minimum_t_s,minimum_x,minimum_y,minimum_z,manifest,mapping_warnings,campaign_min_center_to_sampled_surface_m,campaign_collision_episodes,campaign_samples,campaign_mission_time_s,minimum_distance_delta_vs_campaign_m
1,1,seed2,sector,1,1785747902.8481627,68.970349884,6857,,sector,0.0,0.0,0,0.16903096519632027,0.3690309651963203,53.250134078,19.820235216047546,-22.406902407693437,2.8743112551412415,/root/super-sector-filter/scripts/native_campaign/seed2_static.csv,,0.333,0.0,8018.0,80.62,0.036030965196320264
2,2,seed2,adaptive,1,1785747977.485704,85.27998006600001,8404,5.667191477,adaptive,0.0,0.9282484531175631,0,0.143826821091314,0.343826821091314,9.019852888,7.8354401043193755,9.915741044674629,1.0628039563939051,/root/super-sector-filter/scripts/native_campaign/seed2_static.csv,,0.255,0.0,8014.0,81.38,0.08882682109131401
3,3,seed3,full,1,1785748068.6771448,84.97979089500001,8491,5.911460611000001,full,1.0,0.0,0,0.22812309092876265,0.42812309092876266,49.849838698000006,-24.308513600559994,-13.668268759515698,2.269470867366578,/root/super-sector-filter/scripts/native_campaign/seed3_static.csv,,0.379,0.0,8143.0,81.52,0.04912309092876266
4,4,seed3,sector,1,1785748159.5462286,84.080018389,8396,5.889292903,sector,0.0,0.0,0,0.2837974461827973,0.4837974461827973,50.189879522000005,-24.40158769480586,-13.605047177516987,2.4812942749505598,/root/super-sector-filter/scripts/native_campaign/seed3_static.csv,,0.38,0.0,8029.0,80.41,0.10379744618279729
5,5,seed3,adaptive,1,1785748249.4878592,82.589669232,8219,5.861612379,adaptive,0.0,0.9209149531573184,0,0.22379349939786414,0.42379349939786415,61.589677248,1.9474688868553294,-20.4858954788823,2.330441166895177,/root/super-sector-filter/scripts/native_campaign/seed3_static.csv,,0.319,0.0,7810.0,78.42,0.10479349939786414
6,6,seed4,full,1,1785748337.568082,83.529962651,8341,5.4905534430000005,full,1.0,0.0,0,0.24831459017956964,0.44831459017956965,14.039922461000002,19.75610701379879,19.12747862900919,1.586593964523634,/root/super-sector-filter/scripts/native_campaign/seed4_static.csv,,0.348,0.0,7961.0,79.74,0.10031459017956967
7,7,seed4,sector,1,1785748427.3414686,83.45994704900001,8333,6.243424061000001,sector,0.0,0.0,0,0.20672627339589428,0.4067262733958943,77.64981334800001,11.166287063438302,-12.102166041273163,2.3073882872432545,/root/super-sector-filter/scripts/native_campaign/seed4_static.csv,,0.332,0.0,8018.0,80.32,0.07472627339589427
8,8,seed4,adaptive,1,1785748516.471907,83.289899551,8304,5.6704911860000005,adaptive,0.0,0.9269026974951831,0,0.25797468674192575,0.45797468674192576,13.960003755,19.45843546648849,18.740635735355006,1.45070407357663,/root/super-sector-filter/scripts/native_campaign/seed4_static.csv,,0.35,0.0,7923.0,79.5,0.10797468674192578
9,9,seed5,full,1,1785748605.3876803,82.459800786,8233,5.625873949000001,full,1.0,0.0,1,-0.2512563564821551,-0.0512563564821551,46.119771549000006,-25.408940890768097,-7.828142825703067,2.2794447874508283,/root/super-sector-filter/scripts/native_campaign/seed5_static.csv,,0.02,1.0,7845.0,78.57,-0.0712563564821551
10,10,seed5,sector,1,1785748693.5308042,81.58981199600001,8145,5.683322853,sector,0.0,0.0,0,0.24789098595623588,0.4478909859562359,56.880028006,-9.547197423827674,-22.15942705187163,2.008884834558668,/root/super-sector-filter/scripts/native_campaign/seed5_static.csv,,0.39,0.0,7776.0,77.9,0.057890985956235874
11,11,seed5,adaptive,1,1785748780.7808414,83.169895005,8290,5.6602253430000005,adaptive,0.0,0.9312424607961399,0,0.21684111184287974,0.41684111184287975,30.349891675000002,-13.845604806504259,25.67560151747467,1.0817337436505743,/root/super-sector-filter/scripts/native_campaign/seed5_static.csv,,0.312,0.0,7918.0,79.46,0.10484111184287975
12,12,seed6,full,1,1785748870.3952239,84.819855777,8440,6.444487529000001,full,1.0,0.0,0,0.136219778731614,0.336219778731614,28.579900887,-2.949727786255994,26.046529878253256,1.5879681185105277,/root/super-sector-filter/scripts/native_campaign/seed6_static.csv,,0.313,0.0,8128.0,81.68,0.023219778731614016
13,13,seed6,sector,1,1785748960.9206185,82.719812535,8259,5.705538981,sector,0.0,0.0,0,0.28680517048564697,0.486805170485647,26.819835649,-2.983426292364983,20.31777606692432,1.7242061263875321,/root/super-sector-filter/scripts/native_campaign/seed6_static.csv,,0.409,0.0,7889.0,79.04,0.077805170485647
14,14,seed6,adaptive,1,1785749049.2786455,83.597238157,8353,5.6382145260000005,adaptive,0.0,0.9316413264695319,0,0.19990120387125893,0.39990120387125894,26.789702560000002,-2.9630721408219287,20.232989103107478,1.258682551806336,/root/super-sector-filter/scripts/native_campaign/seed6_static.csv,,0.363,0.0,7984.0,79.93,0.03690120387125895
15,15,seed7,full,1,1785749138.686148,83.35522004500001,8325,5.810264009,full,1.0,0.0,0,0.10694982131399916,0.30694982131399917,50.366963673,-23.5557384829588,-19.69635801498412,2.4967439987368114,/root/super-sector-filter/scripts/native_campaign/seed7_static.csv,,0.227,0.0,7967.0,79.77,0.07994982131399916
16,16,seed7,sector,1,1785749227.808256,80.35587019100001,8028,5.766887926000001,sector,0.0,0.0,0,0.20656344767205498,0.406563447672055,52.957155886,-16.500044701875765,-22.304383565525445,2.187579523982923,/root/super-sector-filter/scripts/native_campaign/seed7_static.csv,,0.292,0.0,7671.0,76.8,0.11456344767205501
17,17,seed7,adaptive,1,1785749313.952137,82.15634617900001,8208,5.788010921000001,adaptive,0.0,0.930921052631579,0,0.12978605899890144,0.32978605899890145,80.386364598,3.95584699987573,-3.4099037641901506,1.6796110788684033,/root/super-sector-filter/scripts/native_campaign/seed7_static.csv,,0.253,0.0,7849.0,78.59,0.07678605899890145
18,18,seed8,full,1,1785749401.8796263,82.70692942000001,8261,5.7711431300000005,full,1.0,0.0,0,0.16120297305547832,0.3612029730554783,65.30764609100001,11.455573746104074,-23.873366513381807,2.328719695899928,/root/super-sector-filter/scripts/native_campaign/seed8_static.csv,,0.27,0.0,7878.0,78.89,0.09120297305547831
19,19,seed8,sector,1,1785749490.670073,82.73710669200001,8262,6.083517155,sector,0.0,0.0,0,0.2929889111601343,0.4929889111601343,39.428455574000004,-24.853872838948565,12.649359164052166,2.4132459374505912,/root/super-sector-filter/scripts/native_campaign/seed8_static.csv,,0.448,0.0,7935.0,79.45,0.044988911160134315
20,20,seed8,adaptive,1,1785749579.5359528,81.077541861,8099,6.128773355000001,adaptive,0.0,0.9307321891591555,0,0.23583040195843635,0.43583040195843636,28.949098138,-11.051772936560157,23.652307011385922,1.569753855293648,/root/super-sector-filter/scripts/native_campaign/seed8_static.csv,,0.328,0.0,7777.0,77.86,0.10783040195843635
21,21,seed9,full,1,1785749666.8173058,82.927608147,8281,6.203810872,full,1.0,0.0,3,-0.735486456951379,-0.535486456951379,59.36827403,-3.4653854749091293,-21.959111599986148,2.399283957701046,/root/super-sector-filter/scripts/native_campaign/seed9_static.csv,minimum-distance delta versus campaign is -0.539 m | collision episode count differs from campaign monitor,0.004,6.0,7969.0,79.81,-0.539486456951379
22,22,seed9,sector,1,1785749755.7353451,82.56788218300001,8243,5.990431337,sector,0.0,0.0,0,0.24334045636246177,0.4433404563624618,57.258425642000006,-8.821190313175277,-26.285962042583712,2.2708897242845136,/root/super-sector-filter/scripts/native_campaign/seed9_static.csv,,0.349,0.0,7907.0,79.21,0.0943404563624618
23,23,seed9,adaptive,1,1785749844.214168,84.51783722,8442,5.910940986,adaptive,0.0,0.9354418384269131,2,-0.662516798428407,-0.4625167984284071,61.938488598000006,3.9326893821474775,-23.02814980097055,2.3521155298524956,/root/super-sector-filter/scripts/native_campaign/seed9_static.csv,minimum-distance delta versus campaign is -0.466 m,0.003,2.0,8105.0,81.16,-0.4655167984284071
24,24,seed10,full,1,1785749934.740315,82.75818449500001,8267,6.008309564,full,1.0,0.0,1,-0.38397902866204836,-0.18397902866204835,7.109654455,6.6483851805710845,7.4130225391464695,1.4456014789439207,/root/super-sector-filter/scripts/native_campaign/seed10_static.csv,minimum-distance delta versus campaign is -0.195 m,0.011,1.0,7935.0,79.45,-0.19497902866204836
25,25,seed10,sector,1,1785750023.7033408,82.548294916,8242,6.204841239,sector,0.0,0.0,0,0.18508566963324485,0.38508566963324486,18.799362335,17.20555246818023,23.352437172572063,1.3379578663123983,/root/super-sector-filter/scripts/native_campaign/seed10_static.csv,,0.302,0.0,7928.0,79.43,0.08308566963324487
26,26,seed10,adaptive,1,1785750112.5712566,82.59864503200001,8248,6.319621113,adaptive,0.0,0.9352570320077594,0,0.21327862752437304,0.41327862752437305,25.049295450000002,0.6238625885012852,23.72871962231988,1.1812806260106754,/root/super-sector-filter/scripts/native_campaign/seed10_static.csv,,0.331,0.0,7945.0,79.57,0.08227862752437304
27,27,seed11,full,1,1785750200.9185226,78.448617399,7834,5.7486205660000005,full,1.0,0.0,0,0.19361664796000078,0.3936166479600008,36.919390654000004,0.5357506869093499,41.15906531035145,1.1052754056861915,,,0.327,0.0,7472.0,74.81,0.06661664796000077
