map,run,mode,success,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed1,1,full,True,77.68,5,5,0,0.445,7767,7766,1.2,-0.877,1.63,-24.022,24.3,-26.571,24.997,224.473,3.001,0.101,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,682,8569450,8569450,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,12356.192616372391,2.602616295345104,0.9227036147672552,1.678298253611557,0.7651974606741573,100.0,87.94503933789622,8.844440355227624,3,626,,
seed1,1,sector,True,77.53,5,5,0,0.449,7751,7746,1.397,-0.516,2.219,-24.269,23.771,-25.049,25.332,223.337,3.006,0.108,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,669,8407371,2675928,31.828,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,4024.5399061032863,1.1650677558685445,0.32709874021909235,0.8364859968701096,0.4594972503912363,31.828,93.76563799486578,10.253629780105937,0,639,,
seed1,1,adaptive,True,79.0,5,5,0,0.448,7897,7892,1.316,-0.705,1.847,-24.653,24.018,-24.73,24.317,225.426,3.001,0.054,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,735,9637590,3011446,31.247,True,93.197,False,0.0,0.0,1,0,0,1785747715.370231,1785747715.370231,,,,,,,0,0.0,1.117982,,,,,,,,,,,,,,,,,,,,,,,4121.869872701556,1.1449497114568599,0.3382881909476662,0.8051739250353607,0.4397971555869873,31.247,95.02618474371762,10.592422604084696,0,707,,
seed2,1,full,True,80.23,5,5,0,0.428,8018,8015,1.07,-1.018,1.661,-24.726,24.351,-26.578,24.411,227.902,3.012,0.073,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,771,10331503,10331503,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,13475.072802197803,2.866783475274725,1.0853058365384616,1.7796768049450549,0.8011765673076923,100.0,100.6618159699962,9.753166688504692,0,728,,
seed2,1,sector,True,80.62,5,5,0,0.333,8018,8011,1.093,-0.992,2.026,-24.894,24.201,-24.47,24.662,224.604,3.001,0.046,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,784,10649943,3354628,31.499,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,4337.529722589168,1.3775102391017173,0.4241830647291942,0.9515222007926024,0.5168014544253632,31.499,105.04685341085111,13.012600074576133,2,759,,
seed2,1,adaptive,True,81.38,5,5,0,0.255,8014,8011,1.079,-1.041,2.144,-25.49,24.395,-26.788,27.647,230.619,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,775,10184239,3203542,31.456,True,92.129,False,0.0,0.0,1,0,0,1785747983.616349,1785747983.616349,1785747985.896296,,,,,,2,0.337433,0.0,,,,,,,,,,,,,,,,,,,,,,,4200.241239892183,1.4895508059299192,0.43134744339622644,1.0563465700808625,0.586241411051213,31.456,105.52005569622092,13.493328032310755,0,742,,
seed3,1,full,True,81.52,5,5,0,0.379,8143,8139,0.836,-1.239,1.995,-25.621,24.493,-24.502,26.675,229.481,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,665,12080134,12080134,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,17983.382402707277,4.051817411167512,1.432535622673435,2.6173674094754653,1.2603543824027073,100.0,102.77918660301304,10.83401352404723,0,591,,
seed3,1,sector,True,80.41,5,5,0,0.38,8029,8025,0.981,-1.126,1.839,-25.614,24.443,-25.074,24.976,224.729,3.002,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,623,11372660,3539375,31.122,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,5797.2125850340135,1.701343144557823,0.4830244863945578,1.2166502551020408,0.6820742925170068,31.122,98.86999677134251,11.749378039999865,0,588,,
seed3,1,adaptive,True,78.42,5,5,0,0.319,7810,7808,0.824,-1.229,1.828,-27.159,24.464,-24.242,24.553,224.064,3.002,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,517,9424504,2853431,30.277,True,88.588,False,0.0,0.0,1,0,0,1785748256.20792,1785748256.20792,1785748319.617721,,,,,,1,0.10011,0.399935,,,,,,,,,,,,,,,,,,,,,,,5645.057971014493,1.8563436376811595,0.4866300248447205,1.3677873954451347,0.7925096956521739,30.277,98.96188372331753,11.151476516725987,0,483,,
seed4,1,full,True,79.74,5,5,0,0.348,7961,7961,1.102,-0.999,1.389,-25.214,24.53,-24.935,25.164,227.559,3.015,0.046,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,501,9028535,9028535,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,17517.285,4.543691174999999,1.389465065,3.1523268225,1.6202966925,100.0,97.49201281793304,10.152095533130161,0,400,,
seed4,1,sector,True,80.32,5,5,0,0.332,8018,8011,1.218,-0.826,1.896,-25.11,24.145,-25.313,24.738,224.579,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,552,10576844,3300731,31.207,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6118.73795761079,1.7684950712909442,0.4816483680154143,1.2852195433526012,0.7285403988439306,31.207,94.18553994634213,10.912957703169225,0,519,,
seed4,1,adaptive,True,79.5,5,5,0,0.35,7923,7921,1.145,-0.941,1.688,-28.836,24.019,-25.323,26.886,225.543,3.001,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,626,11469770,3555620,31.0,True,91.214,False,0.0,0.0,1,0,0,1785748522.602386,1785748522.602386,1785748533.052417,,,,,,2,0.469699,0.0,,,,,,,,,,,,,,,,,,,,,,,5761.673333333333,1.76070669,0.4959791616666666,1.2627336,0.7115589533333333,31.0,100.14603037793638,12.143987940443843,0,600,,
seed5,1,full,True,78.57,5,5,1,0.02,7845,7838,1.069,-1.039,1.973,-26.167,24.074,-25.656,26.179,225.68,3.008,0.174,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,387,7492928,7492928,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,18719.845161290323,5.348771838709678,1.478231093548387,3.868794806451613,2.014150193548387,100.0,95.54409453218375,9.910932375005883,0,310,,
seed5,1,sector,True,77.9,5,5,0,0.39,7776,7769,1.105,-0.946,1.964,-24.888,25.198,-25.466,26.063,224.369,3.001,0.067,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,504,10603598,3152155,29.727,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6374.1816283924845,2.0778777286012526,0.5304120146137787,1.545696730688935,0.8946468225469728,29.727,96.11737897099539,10.809717323496905,0,479,,
seed5,1,adaptive,True,79.46,5,5,0,0.312,7918,7918,1.073,-1.03,1.936,-24.936,25.28,-26.219,26.295,227.26,3.004,0.06,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,1.5,575,12388827,3661191,29.552,True,91.13,False,0.0,0.0,1,0,0,1785748786.551075,1785748786.551075,1785748859.831089,,,,,,1,0.630157,0.0,,,,,,,,,,,,,,,,,,,,,,,6481.488160291439,2.0255453096539164,0.5405794535519125,1.4831644972677596,0.8437067103825137,29.552,98.76960777212446,12.016477958549613,0,549,,
seed6,1,full,True,81.68,5,5,0,0.313,8128,8126,0.908,-1.188,1.828,-27.266,24.132,-25.107,26.765,226.23,3.002,0.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,559,12930417,12930417,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,23338.7339055794,5.8954316738197425,1.9977317768240344,3.8956158927038627,1.998149103004292,100.0,107.65213103316549,11.74515570239594,0,466,,
seed6,1,sector,True,79.04,5,5,0,0.409,7889,7888,0.824,-1.245,1.898,-28.414,24.237,-25.188,23.885,226.047,3.001,0.071,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,440,9513815,3025459,31.801,False,0.0,False,0.0,0.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6976.075242718447,2.293212550970874,0.5771485631067961,1.7143188155339806,1.0212084538834953,31.801,100.58411131741875,11.078312288980904,0,412,,
