run_tag,segment_index,segment_fraction_t,perp_dist_to_segment_m,elapsed_s,x,y,contact_distance_m
seed9_run1_full,1,0.825,2.02,27.9056,-15.606,26.02,0.15463
seed9_run1_full,1,0.844,2.77,28.2896,-16.498,26.77,0.1775
seed9_run1_full,3,0.862,1.63,65.0895,17.385,-25.63,0.1717
seed9_run1_full,3,0.875,2.033,65.4137,18.015,-26.033,0.11079
seed9_run2_full,1,0.494,1.484,20.9334,0.306,22.516,0.19836
seed9_run2_full,1,0.522,0.182,21.5618,-1.043,23.818,0.19319
seed9_run2_full,2,0.601,2.597,41.3644,-21.403,-4.843,0.10345
seed9_run2_full,2,0.622,2.858,41.6951,-21.142,-5.853,0.19815
seed9_run2_full,2,0.652,2.479,42.2018,-21.521,-7.309,0.18479
seed9_run2_full,2,0.706,1.946,43.1116,-22.054,-9.898,0.19834
seed9_run2_full,2,0.729,0.85,43.6598,-23.15,-11.003,0.17424
seed9_run2_full,2,0.77,0.992,44.565,-24.992,-12.95,0.1013
seed9_run2_full,2,0.787,1.653,44.893,-25.653,-13.765,0.19343
seed9_run2_full,3,0.546,3.302,59.4234,2.221,-20.698,0.18476
seed9_run2_full,3,0.637,0.524,61.3849,6.57,-24.524,0.18063
seed9_run2_full,3,0.769,2.961,64.0921,12.934,-26.961,0.19445
seed9_run3_full,0,0.363,0.424,4.0903,9.01,8.41,0.19609
seed9_run3_full,0,0.407,0.532,4.6267,10.143,9.391,0.11965
seed9_run3_full,2,0.879,0.166,45.4204,-24.166,-18.193,0.19313
seed9_run3_full,3,0.433,2.583,55.424,-3.22,-21.417,0.10382
seed9_run3_full,3,0.598,2.249,58.2705,4.684,-21.751,0.18958
seed9_run3_full,3,0.741,0.631,60.8005,11.576,-23.369,0.17636
seed9_run4_full,0,0.29,0.002,3.0772,6.968,6.971,0.16465
seed9_run5_full,2,0.923,1.627,47.0237,-25.627,-20.297,0.18344
seed9_run5_full,3,0.565,0.698,58.8661,3.137,-23.302,0.17161
seed9_run5_full,3,0.574,0.408,59.0766,3.564,-23.592,0.10764
seed9_run5_full,3,0.638,0.365,60.3654,6.619,-24.365,0.19822
seed9_run5_full,3,0.633,0.617,60.5851,6.384,-24.617,0.19504
seed10_run1_full,0,0.269,0.413,2.8834,6.172,6.756,0.19456
seed10_run1_full,0,0.305,0.155,3.3255,7.208,7.426,0.19127
seed10_run1_full,0,0.638,0.36,7.6133,15.069,15.578,0.18554
seed10_run1_full,1,0.376,1.902,18.9138,5.93,25.902,0.19464
seed10_run1_full,2,0.274,1.849,35.6177,-22.151,10.83,0.11409
seed10_run1_full,2,0.357,3.297,37.0133,-20.703,6.852,0.19541
seed10_run1_full,2,0.458,6.755,39.013,-17.245,2.04,0.14936
seed10_run1_full,2,0.662,6.159,42.7434,-17.841,-7.753,0.19276
seed10_run2_full,4,0.488,0.507,73.3094,12.634,-11.918,0.19697
seed10_run3_full,2,0.63,1.493,41.9518,-22.507,-6.248,0.19592
seed10_run4_full,0,0.307,0.118,3.4622,7.462,7.295,0.11395
seed10_run4_full,0,0.458,0.563,5.2528,11.389,10.593,0.10559
seed10_run4_full,0,0.571,1.386,6.5871,14.682,12.722,0.19656
seed10_run4_full,1,0.84,1.086,26.7469,-16.334,25.086,0.17602
seed10_run4_full,2,0.575,1.361,39.5487,-22.639,-3.602,0.10372
seed10_run4_full,3,0.165,1.947,49.8489,-16.095,-22.053,0.17937
seed10_run4_full,3,0.245,2.021,51.1971,-12.247,-21.979,0.19985
seed10_run4_full,3,0.308,3.043,52.298,-9.194,-20.957,0.17474
seed10_run4_full,3,0.357,5.125,53.3471,-6.842,-18.875,0.16306
seed10_run4_full,3,0.374,5.928,53.758,-6.038,-18.072,0.10252
seed10_run5_full,0,0.824,0.288,10.1728,19.57,19.978,0.19838
seed10_run5_full,1,0.243,0.101,16.9593,12.327,24.101,0.12296
seed10_run5_full,1,0.482,1.516,21.3568,0.877,22.484,0.13852
seed10_run5_full,1,0.5,1.063,21.6664,0.006,22.937,0.1832
seed10_run5_full,1,0.553,0.967,22.7525,-2.545,24.967,0.16722
seed10_run5_full,1,0.573,1.765,23.1746,-3.514,25.765,0.18597
seed10_run5_full,1,0.625,2.588,24.0851,-5.996,26.588,0.19408
seed10_run5_full,3,0.911,0.204,65.4532,19.744,-24.204,0.11152
