map,run,mode,experiment_profile,success,run_valid,monitor_type,monitor_flight_cpu_pct,live_cloud_enabled,preflight_ready,preflight_cloud_messages,preflight_odom_messages,goal_messages,position_command_messages,trajectory_flag2_messages,trajectory_flag3_messages,guard_stop_detected,guard_stop_time_s,shadow_safe_candidates,shadow_unsafe_candidates,shadow_skipped_candidates,shadow_validated_candidates,shadow_geometric_unsafe,shadow_map_race,shadow_other_indeterminate,shadow_unsafe_exp,shadow_unsafe_appended_backup,shadow_unsafe_carry_backup,shadow_unsafe_stitch,shadow_validation_ms_mean,shadow_validation_ms_max,shadow_contact_events_with_epoch,shadow_contacts_with_prior_unsafe,shadow_contacts_without_prior_unsafe,shadow_geometric_unsafe_followed_by_contact,shadow_geometric_unsafe_not_followed_by_contact,shadow_nearest_prediction_error_s,shadow_correlated_segments,first_position_command_s,first_trajectory_flag2_s,first_trajectory_flag3_s,max_position_command_gap_s,first_motion_s,start_pose_error_m,start_pose_valid,odom_gap_limit_s,max_odom_gap_s,odom_gap_valid,mission_time_s,waypoints_reached,n_waypoints,collisions,min_clearance_m,static_pcd_collisions,static_pcd_min_distance_m,static_pcd_clearance_m,static_pcd_contact_r015,static_pcd_contact_r020,static_pcd_contact_r025,static_pcd_episodes_r015,static_pcd_episodes_r020,static_pcd_episodes_r025,contact_event_count,first_contact_kind,first_contact_time_s,first_contact_distance_m,first_contact_x,first_contact_y,first_contact_z,first_contact_speed_mps,first_contact_nearest_x,first_contact_nearest_y,first_contact_nearest_z,forensics_json,samples,clearance_samples,final_x,final_y,final_z,min_x,max_x,min_y,max_y,path_length_m,max_speed_mps,closest_final_goal_distance_m,observed_open_time_s,observed_open_x,observed_open_y,observed_close_time_s,observed_close_x,observed_close_y,trap_collisions,trap_min_surface_distance_m,trap_clearance_m,trap_x,trap_y,trigger_x,trigger_y,trigger_mismatch_deg,trap_count,trap_spacing_m,trap_start_offset_m,trap_first_distance_m,trap_last_distance_m,trigger_speed_mps,trap_input_time_s,trap_kept_time_s,trap_keep_delay_s,input_body_relative_deg,input_velocity_relative_deg,kept_body_relative_deg,kept_velocity_relative_deg,trigger_trap_distance_m,trigger_trap_body_relative_deg,trigger_trap_velocity_relative_deg,trigger_trap_angular_radius_deg,trigger_predicted_x,trigger_predicted_y,trigger_trap_nudge_deg,trigger_trap_nudge_lateral_m,event,valid_spawn,invalid_reasons,spawn_time_s,spawn_wall_time_s,trigger_evaluation_time_s,trigger_evaluation_wall_time_s,side,trigger_threshold_x,trigger_z,trigger_yaw_deg,trigger_velocity_yaw_deg,trigger_cruise_duration_s,trigger_cruise_qualified,min_trigger_speed_mps,min_cruise_s,max_trigger_abs_y_m,max_trigger_velocity_yaw_deg,trigger_abs_y_diagnostic_ok,trigger_velocity_yaw_diagnostic_ok,wall_x,blocker_x,blocker_y,wall_y_min,wall_y_max,short_endpoint_y,short_endpoint_x,long_endpoint_y,long_endpoint_x,short_endpoint_inner_edge_deg,long_endpoint_inner_edge_deg,barrier_frame,local_blocker_forward_m,local_short_endpoint_forward_m,local_short_endpoint_lateral_m,local_long_endpoint_forward_m,local_long_endpoint_lateral_m,wall_radius_m,wall_height_m,wall_cylinder_count,wall_center_spacing_m,wall_point_count,horizon_m,intensity,matched_prefix,filter_half_angle_deg,filter_stall_v,filter_stall_t,filter_resume_v,filter_resume_t,filter_velocity_yaw_update_v,filter_frames,filter_input_points,filter_kept_points,filter_kept_pct,filter_armed,filter_armed_duty_pct,filter_open,filter_open_duty_pct,filter_open_point_duty_pct,filter_arm_transitions,filter_open_transitions,filter_close_transitions,filter_first_transition_time_s,filter_first_arm_time_s,filter_first_stall_candidate_time_s,filter_first_open_stall_start_time_s,filter_first_open_time_s,filter_first_open_delay_s,filter_first_close_time_s,filter_first_open_duration_s,filter_stall_candidate_count,filter_max_stall_candidate_duration_s,filter_min_armed_closed_speed_mps,recovery_triggered,recovery_reclosed,recovery_spawn_after_arm,recovery_open_after_spawn,recovery_open_during_hold,recovery_success,mission_driver_phase,mission_driver_start_delay_s,mission_driver_approach_radius_m,mission_driver_hold_low_speed_s,mission_driver_low_speed_v,mission_driver_approach_start_time_s,mission_driver_approach_start_wall_time_s,mission_driver_approach_start_speed_mps,mission_driver_hold_start_time_s,mission_driver_hold_start_wall_time_s,mission_driver_hold_start_speed_mps,mission_driver_hold_start_distance_m,mission_driver_release_time_s,mission_driver_release_wall_time_s,mission_driver_release_speed_mps,mission_driver_release_low_speed_duration_s,pts_mean,total_ms_mean,raycast_ms_mean,update_ms_mean,inflation_ms_mean,kept_pct,fsm_cpu_pct,filter_cpu_pct,monitor_cpu_pct,perf_row_start,perf_row_end,input_distance_m,kept_distance_m
seed4,1,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02,5,5,1,0.138,0,,,,,,,,,1,live_cloud,23.7673,0.14502,17.481279373168945,-21.69499969482422,2.74114990234375,3.0237,17.576940536499023,-21.80348014831543,2.7305099964141846,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed4_run1_full_control_v10.json,3000,2398,1.222,-0.834,1.692,-28.315,23.974,-24.638,25.078,220.032,10.0,0.606,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,195,4459581,4459581,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,22837.70895522388,6.440609402985075,1.574563813432836,4.86437195522388,2.8728214477611944,100.0,99.314065465648,10.797321550283845,26.28617518962835,3,137,,
seed4,1,full_shadow_v10,,True,,,,,,,,,,,,,,214,283,0,497,283,0,0,144,125,2,12,0.37022736418511065,6.345,0,0,0,0,283,,,,,,,,,,,,,29.26,5,5,0,0.284,0,,,,,,,,,0,,,,,,,,,,,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed4_run1_full_shadow_v10.json,2918,2264,1.111,-0.951,1.502,-24.937,23.975,-25.156,25.025,221.167,9.998,0.315,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,225,5084793,5084793,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,23379.496932515336,6.476684907975461,1.622573791411043,4.852560288343558,2.836986613496933,100.0,105.16543921072977,10.63133886962361,27.295074475861384,0,163,,
seed4,2,full_shadow_v10,,True,,,,,,,,,,,,,,209,270,0,479,270,0,0,139,120,0,11,0.3844759916492693,6.689,2,2,0,12,258,0.03458666801452637,APPENDED_BACKUP;EXP,,,,,,,,,,,29.79,5,5,2,0.012,0,,,,,,,,,2,live_cloud,14.8798,0.16524,-22.762649536132812,4.937550067901611,2.5026800632476807,9.8226,-22.712860107421875,4.780029773712158,2.5063700675964355,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed4_run2_full_shadow_v10.json,2971,2464,1.115,-0.926,1.91,-25.013,24.003,-25.052,25.33,221.172,10.0,0.375,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,195,4547628,4547628,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,24652.96992481203,7.365521127819549,1.7758870751879698,5.588033308270677,3.3787283082706767,100.0,109.87688971000699,10.792900496207462,27.005358096405658,0,133,,
seed4,2,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.23,5,5,0,0.335,0,,,,,,,,,0,,,,,,,,,,,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed4_run2_full_control_v10.json,2915,2384,1.185,-0.84,1.174,-24.73,24.019,-25.274,28.504,221.889,10.0,0.315,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,201,4359195,4359195,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,22863.98,6.623363400000001,1.6047427866666666,5.016927933333333,2.982285886666667,100.0,105.87487491620122,10.856360468596032,26.61710740955706,0,150,,
seed5,1,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.32,5,5,0,0.316,0,,,,,,,,,0,,,,,,,,,,,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed5_run1_full_control_v10.json,2724,2093,1.04,-1.072,2.158,-24.868,23.977,-26.245,26.156,219.332,10.0,0.238,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,174,4526386,4526386,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,26862.728,8.59859168,1.9567824480000002,6.640113336,4.040527056,100.0,107.56399922594672,11.329471697540352,27.45408859547603,0,125,,
seed5,1,full_shadow_v10,,True,,,,,,,,,,,,,,221,226,0,447,226,0,0,113,105,0,8,0.5779440715883669,10.789,4,4,0,20,206,0.008990049362182617,EXP,,,,,,,,,,,27.87,5,5,4,0.057,0,,,,,,,,,4,live_cloud,8.4177,0.17392,-9.214960098266602,22.49173927307129,1.8354099988937378,9.99928,-9.312009811401367,22.349050521850586,1.8137799501419067,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed5_run1_full_shadow_v10.json,2777,2042,1.205,-0.804,1.271,-24.693,23.998,-25.805,26.607,222.667,10.0,0.383,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,173,4341448,4341448,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,26606.51754385965,8.663504122807018,1.975737912280702,6.686150052631579,4.114190350877193,100.0,109.9700974348708,10.572055695993427,27.48950729808233,0,114,,
seed5,2,full_shadow_v10,,True,,,,,,,,,,,,,,269,263,0,532,263,0,0,126,128,2,7,0.4586390977443609,11.053,0,0,0,0,263,,,,,,,,,,,,,31.07,5,5,0,0.25,0,,,,,,,,,0,,,,,,,,,,,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed5_run2_full_shadow_v10.json,3089,2283,0.957,-1.098,1.861,-24.385,24.007,-26.003,25.991,225.202,9.993,0.322,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,246,6579014,6579014,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,27814.744565217392,7.891064456521739,2.029700608695652,5.859693641304348,3.430888711956522,100.0,109.6580427041791,11.53075327995103,27.518648463054305,0,184,,
seed5,2,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.93,5,5,1,0.053,0,,,,,,,,,1,live_cloud,1.69,0.12335,7.726920127868652,9.170940399169922,1.0371099710464478,9.01403,7.849949836730957,9.165550231933594,1.0301599502563477,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed5_run2_full_control_v10.json,2885,2153,1.147,-0.951,1.26,-24.037,24.033,-27.518,26.299,223.891,10.0,0.418,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,190,4481362,4481362,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,23765.52380952381,7.9618431746031755,1.7539213492063492,6.206206468253968,3.726297912698413,100.0,106.00155437717981,10.727702799370938,26.295924617027293,0,126,,
seed6,1,full_control_v10,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.93,5,5,3,0.01,0,,,,,,,,,3,live_cloud,1.8735,0.12502,9.398520469665527,10.207559585571289,1.2703399658203125,9.20848,9.496419906616211,10.285039901733398,1.2638800144195557,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed6_run1_full_control_v10.json,2883,2317,0.73,-1.287,2.216,-25.562,23.993,-25.155,24.673,222.102,9.998,0.068,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,190,5153296,5153296,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,27938.916666666668,8.661833333333334,2.013602242424242,6.645635848484849,4.0142849393939395,100.0,106.33628970196587,11.211529674904321,23.78283183312973,0,132,,
seed6,1,full_shadow_v10,,True,,,,,,,,,,,,,,230,229,0,459,229,0,0,142,84,1,2,0.4088954248366013,7.163,5,5,0,24,205,0.0026845932006835938,APPENDED_BACKUP;EXP,,,,,,,,,,,30.43,5,5,5,0.011,0,,,,,,,,,5,live_cloud,22.9871,0.14985,2.458820104598999,-23.115310668945312,2.616270065307617,5.25261,2.598860025405884,-23.165679931640625,2.5987401008605957,results/artifacts_shadow_map_recheck_margin02_ab_n10/seed6_run1_full_shadow_v10.json,3033,2460,0.299,-1.402,1.65,-28.454,24.003,-27.148,27.176,222.932,9.999,0.512,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,0.6,1.2,1.5,2.0,0.2,174,4985404,4985404,100.0,False,0.0,True,100.0,100.0,0,0,0,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,29520.299145299145,8.307774615384615,1.9343863076923078,6.371840598290599,3.9134404529914533,100.0,105.06573515894075,11.266906067427549,27.409750374403785,0,117,,
