elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,2993576,2970720,0,3452752,1411216,8634824,831480,0.0,0.0
1.032,3163948,3140091,0,3252708,1411216,8833044,831480,0.0,0.0
2.067,3205832,3181683,0,3169764,1411216,8915484,831480,0.0,0.0
3.102,3222892,3198743,0,3081964,1411216,8987708,831480,0.0,0.0
4.137,3229636,3205505,0,3053376,1411216,9021968,831480,0.0,0.0
5.164,3243200,3219109,0,3039216,1411216,9039120,831480,0.0,0.0
6.196,3253600,3229453,0,3018760,1411216,9056592,831480,0.0,0.0
7.232,3257860,3233713,0,2998148,1411216,9053160,831480,0.0,0.0
8.264,3262188,3238036,0,2998548,1411216,9057472,831480,0.0,0.0
9.298,3262188,3238033,0,2999400,1411216,9057340,831480,0.0,0.0
10.328,3262188,3238033,0,3002836,1411216,9056360,831480,0.0,0.0
11.361,3263576,3239423,0,2998188,1411216,9058272,831480,0.0,0.0
12.387,3263612,3239457,0,3001212,1411216,9057700,831480,0.0,0.0
13.416,3265436,3241282,0,3006808,1411216,9059536,831480,0.0,0.0
14.439,3265740,3241587,0,2973244,1411216,9059288,831480,0.0,0.0
15.469,3265772,3241618,0,2980008,1411216,9060320,831480,0.0,0.0
16.5,3266980,3242829,0,2994024,1411216,9061912,831480,0.0,0.0
17.531,3266988,3242836,0,2983160,1411216,9062840,831480,0.0,0.0
18.558,3268660,3244509,0,2982624,1411216,9065100,831480,0.0,0.0
19.59,3276284,3252132,0,2976828,1411216,9072300,831480,0.0,0.0
20.616,3281356,3257204,0,2980924,1411216,9078936,831480,0.0,0.0
21.644,3283116,3258961,0,2976940,1411216,9081300,831480,0.0,0.0
22.672,3283144,3258992,0,2982088,1411216,9080652,831480,0.0,0.0
23.701,3283172,3259016,0,2978364,1411216,9080580,831480,0.0,0.0
24.731,3283580,3259425,0,2981592,1411216,9081472,831480,0.0,0.0
25.762,3283812,3259660,0,2989572,1411216,9087704,831480,0.0,0.0
26.785,3287000,3262848,0,2994624,1411216,9084492,831480,0.0,0.0
27.82,3287016,3262865,0,2996484,1411216,9084184,831480,0.0,0.0
28.847,3287016,3262865,0,2997344,1411216,9083976,831480,0.0,0.0
29.874,3287016,3262864,0,2983740,1411216,9084596,831480,0.0,0.0
30.904,3287016,3262862,0,2986540,1411216,9084480,831480,0.0,0.0
31.93,3287016,3262863,0,2990092,1411216,9083260,831480,0.0,0.0
32.956,3287416,3263264,0,2960064,1411216,9082948,831480,0.0,0.0
33.984,3289264,3265112,0,2965364,1411216,9085012,831480,0.0,0.0
35.01,3291176,3267021,0,2967360,1411216,9086596,831480,0.0,0.0
36.038,3296228,3272076,0,2947972,1411216,9090336,831480,0.0,0.0
37.065,3299968,3275817,0,2941568,1411216,9093976,831480,0.0,0.0
38.1,3305752,3281597,0,2949184,1411216,9100672,831480,0.0,0.0
39.131,3306540,3282388,0,2937424,1411216,9102168,831480,0.0,0.0
40.16,3308804,3284650,0,2948436,1411216,9104572,831480,0.0,0.0
41.183,3308804,3284649,0,2941396,1411216,9104860,831480,0.0,0.0
42.208,3308804,3284649,0,2940096,1411216,9103972,831480,0.0,0.0
43.239,3309476,3285323,0,2957676,1411216,9079328,831480,0.0,0.0
44.272,3309476,3285321,0,2980572,1411216,9078900,831480,0.0,0.0
45.3,3309476,3285322,0,2973096,1411216,9085516,831480,0.0,0.0
46.324,3309476,3285321,0,2979064,1411216,9080564,831480,0.0,0.0
47.36,3309476,3285321,0,2972876,1411216,9080232,831480,0.0,0.0
48.39,3309476,3285321,0,2969484,1411216,9080612,831480,0.0,0.0
49.422,3310428,3286276,0,2958712,1411216,9080764,831480,0.0,0.0
50.451,3313616,3289462,0,2931920,1411216,9083576,831480,0.0,0.0
51.485,3316176,3292021,0,2928704,1411216,9087084,831480,0.0,0.0
52.521,3316200,3292048,0,2930060,1411216,9087328,831480,0.0,0.0
53.555,3316228,3292073,0,2937852,1411216,9088440,831480,0.0,0.0
54.587,3316256,3292101,0,2962168,1411216,9087412,831480,0.0,0.0
55.614,3316284,3292132,0,2958908,1411216,9087720,831480,0.0,0.0
56.64,3316316,3292159,0,2950588,1411216,9087920,831480,0.0,0.0
57.67,3316344,3292189,0,2937228,1411216,9088076,831480,0.0,0.0
58.696,3316372,3292221,0,2945536,1411216,9088304,831480,0.0,0.0
59.719,3316404,3292250,0,2944668,1411216,9088112,831480,0.0,0.0
60.746,3316988,3292831,0,2950196,1411216,9089704,831480,0.0,0.0
61.781,3319520,3295366,0,2932452,1411216,9092804,831480,0.0,0.0
62.813,3320024,3295872,0,2924536,1411216,9093424,831480,0.0,0.0
63.851,3321416,3297260,0,2923944,1411216,9094428,831480,0.0,0.0
64.882,3321564,3297412,0,2932232,1411216,9094908,831480,0.0,0.0
65.913,3321592,3297439,0,2925772,1411216,9094496,831480,0.0,0.0
66.941,3325284,3301129,0,2934692,1411216,9098496,831480,0.0,0.0
67.972,3329892,3305741,0,2936244,1411216,9103000,831480,0.0,0.0
69.002,3331172,3307011,0,2925596,1411216,9105012,831480,0.0,0.0
70.027,3331200,3307050,0,2925248,1411216,9104920,831480,0.0,0.0
71.054,3331232,3307081,0,2939512,1411216,9105032,831480,0.0,0.0
72.083,3331400,3307253,0,2937764,1411216,9105640,831480,0.0,0.0
73.108,3332160,3308003,0,2939452,1411216,9106160,831480,0.0,0.0
74.131,3333424,3309269,0,2920016,1411216,9107176,831480,0.0,0.0
75.156,3333452,3309298,0,2917384,1411216,9107124,831480,0.0,0.0
76.182,3333464,3309309,0,2933304,1411216,9106448,831480,0.0,0.0
77.214,3333488,3309331,0,2930132,1411216,9107708,831480,0.0,0.0
78.256,3341128,3316972,0,2916484,1411216,9116872,831480,0.0,0.0
79.301,3343752,3319597,0,2911064,1411216,9120544,831480,0.0,0.0
80.342,3346272,3322120,0,2920736,1411216,9124716,831480,0.0,0.0
81.379,3347592,3323437,0,2921596,1411216,9126948,831480,0.0,0.0
82.41,3347620,3323464,0,2910908,1411216,9127048,831480,0.0,0.0
83.441,3348168,3324017,0,2918396,1411216,9127868,831480,0.0,0.0
84.476,3348480,3324325,0,2920040,1411216,9127648,831480,0.0,0.0
