Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.115188, 0.0466095, 0.0685761, 0.0364941, 18611, 125772, 1.23221e+06, 595552, 32
0.0773676, 0.0454014, 0.0319642, 0.00852871, 18509, 127024, 596304, 592288, 32
0.0608542, 0.0394735, 0.0213783, 0.00159662, 18454, 125357, 79704, 590528, 32
0.0653008, 0.0420646, 0.0232327, 0.0018458, 18550, 126829, 90774, 593600, 32
0.0675522, 0.0416025, 0.0259475, 0.00367167, 18588, 126851, 215988, 594816, 32
0.0592639, 0.0409555, 0.0183063, 0, 18603, 126595, 0, 595296, 32
0.0608375, 0.0440078, 0.0168279, 9.03e-06, 18546, 126585, 246, 593472, 32
0.0699234, 0.0499541, 0.0199671, 1.5404e-05, 18581, 125671, 369, 594592, 32
0.0895556, 0.0671242, 0.0224285, 4.614e-06, 18591, 125892, 123, 594912, 32
0.0936702, 0.0566876, 0.0369798, 0.0102522, 19654, 130695, 377979, 628928, 32
0.0813457, 0.0507007, 0.0306426, 0.00755174, 18644, 124561, 328410, 596608, 32
0.0833972, 0.0522298, 0.0311661, 0.00733438, 20419, 131732, 334929, 653408, 32
0.0839752, 0.053625, 0.0303484, 0.00689789, 21990, 133251, 310698, 703680, 32
0.0827778, 0.0564329, 0.0263436, 0.00548755, 23105, 137176, 279210, 739360, 32
0.0814277, 0.0544326, 0.0269924, 0.00434643, 23028, 136275, 220539, 736896, 32
0.0756228, 0.0507109, 0.0249101, 0.00366474, 22022, 135264, 182409, 704704, 32
0.0718042, 0.0485384, 0.0232616, 0.00293429, 20329, 131145, 138867, 650528, 32
0.0654038, 0.0430402, 0.0223606, 0.00241877, 18646, 123315, 106641, 596672, 32
0.0615778, 0.0414089, 0.0201662, 0.00180217, 18547, 122643, 77982, 593504, 32
0.0580561, 0.0386096, 0.0194447, 0.00148143, 18614, 121483, 69495, 595648, 32
0.0575535, 0.0386635, 0.0188884, 0.000847009, 18596, 122503, 31488, 595072, 32
0.0591441, 0.0406996, 0.0184428, 0.000628532, 18572, 122852, 21156, 594304, 32
0.0689913, 0.0458505, 0.0231387, 0.00402185, 23184, 133477, 219063, 741888, 32
0.0597102, 0.0360397, 0.0236681, 0.00556366, 20403, 109356, 290526, 652896, 32
0.0596664, 0.0370434, 0.0226205, 0.00490375, 21331, 113466, 267648, 682592, 32
0.0620407, 0.0390803, 0.0229584, 0.00495584, 23611, 120041, 276750, 755552, 32
0.0586114, 0.0357117, 0.0228977, 0.00754115, 41266, 106498, 437019, 1.32051e+06, 32
0.0507893, 0.0314409, 0.0193461, 0.00412463, 40418, 97060, 215619, 1.29338e+06, 32
0.0491817, 0.033554, 0.0156261, 0.00468833, 46743, 75194, 289419, 1.49578e+06, 32
0.0359241, 0.0239591, 0.0119629, 0.00219807, 43135, 70949, 143541, 1.38032e+06, 32
0.0311762, 0.0206825, 0.0104919, 0.0014319, 41527, 68502, 83148, 1.32886e+06, 32
0.0301497, 0.021054, 0.00909353, 0.000610539, 41578, 68548, 29520, 1.3305e+06, 32
0.0294651, 0.0210616, 0.00840153, 2.2157e-05, 41571, 68543, 615, 1.33027e+06, 32
0.0490637, 0.0281513, 0.0209108, 0.00707878, 44950, 86648, 453747, 1.4384e+06, 32
0.0583978, 0.034122, 0.0242743, 0.0068569, 49374, 90772, 395691, 1.57997e+06, 32
0.0468929, 0.0292339, 0.0176568, 0.00366085, 36001, 86722, 218079, 1.15203e+06, 32
0.0436356, 0.0287276, 0.0149055, 0.00200191, 35649, 86271, 116358, 1.14077e+06, 32
0.0403212, 0.0289241, 0.011395, 0.000142788, 35644, 86401, 4674, 1.14061e+06, 32
