elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.001,2512488,2489681,0,3695180,1411216,8362516,831480,0.0,0.0
1.031,3163724,3140324,0,2984976,1411216,9039028,831480,0.0,0.0
2.062,3203696,3179617,0,2907568,1411216,9122852,831480,0.0,0.0
3.1,3209784,3185774,0,2901068,1411216,9129876,831480,0.0,0.0
4.135,3226988,3202901,0,2777808,1418584,9227012,831480,0.0,0.0
5.177,3235320,3211227,0,2773220,1418584,9237092,831480,0.0,0.0
6.211,3246480,3222388,0,2774436,1418584,9251008,831480,0.0,0.0
7.245,3248700,3224608,0,2774128,1418584,9254092,831480,0.0,0.0
8.278,3251636,3227544,0,2769364,1418584,9256768,831480,0.0,0.0
9.307,3253772,3229680,0,2780140,1418584,9259272,831480,0.0,0.0
10.338,3262624,3238531,0,2766008,1418584,9274676,831480,0.0,0.0
11.367,3273556,3249464,0,2762704,1418584,9279836,831480,0.0,0.0
12.401,3279000,3254907,0,2891440,1469920,9233748,882228,0.0,0.0
13.427,3280816,3256724,0,2884244,1469920,9235760,882228,0.0,0.0
14.458,3289904,3265812,0,2856532,1469920,9248220,882228,0.0,0.0
15.513,3289904,3265812,0,2850540,1469920,9244956,882228,0.0,0.0
16.548,3293008,3268917,0,2838876,1469920,9247652,882228,0.0,0.0
17.586,3297180,3273087,0,2832992,1469920,9253472,882228,0.0,0.0
18.619,3300584,3276491,0,2785068,1469920,9255876,882228,0.0,0.0
19.647,3303556,3279464,0,2790808,1469920,9258624,882228,0.0,0.0
20.677,3304408,3280315,0,2796576,1469920,9259636,882228,0.0,0.0
21.718,3304408,3280316,0,2791832,1469920,9260460,882228,0.0,0.0
22.752,3304408,3280316,0,2880556,1470176,9260160,882228,0.0,0.0
23.781,3304784,3280692,0,2868764,1470176,9260464,882228,0.0,0.0
24.816,3306768,3282675,0,2862060,1470176,9262192,882228,0.0,0.0
25.847,3316920,3292827,0,2827212,1470176,9273032,882228,0.0,0.0
26.887,3320100,3296007,0,2818152,1470176,9276844,882228,0.0,0.0
27.919,3328404,3304312,0,2803452,1470176,9285816,882228,0.0,0.0
28.958,3330592,3306500,0,2805600,1470176,9287656,882228,0.0,0.0
29.989,3331360,3307268,0,2784216,1470176,9288460,882228,0.0,0.0
31.028,3331896,3307804,0,2806656,1470176,9287936,882228,0.0,0.0
32.062,3332904,3308811,0,2773440,1470176,9288612,882228,0.0,0.0
33.093,3336212,3312119,0,2816840,1470176,9291720,882228,0.0,0.0
34.132,3336212,3312120,0,2813568,1470176,9291424,882228,0.0,0.0
35.167,3336440,3312347,0,2793468,1470176,9292564,882228,0.0,0.0
36.197,3336440,3312348,0,2802256,1470176,9292684,882228,0.0,0.0
37.227,3339256,3315164,0,2792864,1470176,9295104,882228,0.0,0.0
38.261,3339256,3315164,0,2791340,1470176,9295400,882228,0.0,0.0
39.298,3339408,3315315,0,2813520,1470176,9297416,882228,0.0,0.0
