elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.001,2633280,2610364,0,3840616,1330704,8252064,762808,0.0,0.0
1.035,3163736,3140611,0,3291080,1330704,8805144,762808,0.0,0.0
2.068,3204996,3180766,0,3194304,1330704,8892144,762808,0.0,0.0
3.108,3210824,3186595,0,3145968,1330704,8896536,762808,0.0,0.0
4.145,3218536,3194304,0,3075964,1330704,8982512,762808,0.0,0.0
5.178,3225988,3201840,0,3113804,1330704,8940244,762808,0.0,0.0
6.216,3234836,3210620,0,3117504,1330704,8950240,762808,0.0,0.0
7.251,3238240,3214009,0,3083404,1330704,8957560,762808,0.0,0.0
8.285,3244664,3220432,0,3090580,1330704,8964816,762808,0.0,0.0
9.326,3253420,3229188,0,3072796,1330704,8972732,762808,0.0,0.0
10.363,3256320,3232088,0,3093812,1330704,8976296,762808,0.0,0.0
11.402,3260196,3235964,0,3069080,1330704,8980400,762808,0.0,0.0
12.435,3265168,3240936,0,3066732,1330704,8986180,762808,0.0,0.0
13.468,3265168,3240937,0,3076824,1330704,8985656,762808,0.0,0.0
14.494,3265168,3240936,0,3071556,1330704,8987592,762808,0.0,0.0
15.546,3265560,3241329,0,3073708,1330704,8984828,762808,0.0,0.0
16.577,3265560,3241328,0,3072208,1330704,8985496,762808,0.0,0.0
17.608,3271132,3246900,0,3072324,1330704,8990524,762808,0.0,0.0
18.642,3277192,3252960,0,3065484,1330704,9002124,762808,0.0,0.0
19.669,3277964,3253730,0,3071116,1330704,8997036,762808,0.0,0.0
20.701,3278972,3254737,0,3076932,1330704,8998368,762808,0.0,0.0
21.731,3281256,3257022,0,3072456,1330704,9000768,762808,0.0,0.0
22.766,3282424,3258190,0,3070368,1330704,9002336,762808,0.0,0.0
23.801,3282424,3258189,0,3074648,1330704,9001804,762808,0.0,0.0
24.831,3282424,3258190,0,3091824,1330704,9002356,762808,0.0,0.0
25.86,3282424,3258190,0,3074528,1330704,9002172,762808,0.0,0.0
26.89,3282668,3258434,0,3061768,1330704,9001668,762808,0.0,0.0
27.917,3283936,3259701,0,3057380,1330704,9004252,762808,0.0,0.0
28.948,3287324,3263089,0,3051684,1330704,9007068,762808,0.0,0.0
29.975,3298464,3274229,0,3161808,1402832,8949652,831480,0.0,0.0
31.005,3302756,3278521,0,3097000,1402832,8953360,831480,0.0,0.0
32.041,3302756,3278520,0,3113260,1402832,8952768,831480,0.0,0.0
