Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.139139, 0.0611586, 0.0779782, 0.0431907, 18596, 126918, 1.24218e+06, 595072, 32
0.0916343, 0.0536025, 0.0380301, 0.0095775, 18550, 126829, 593352, 593600, 32
0.0799091, 0.0470964, 0.0328107, 0.00397235, 18588, 126851, 167772, 594816, 32
0.0699525, 0.0487836, 0.0211667, 0, 18603, 126595, 0, 595296, 32
0.0738936, 0.0507824, 0.0231082, 0, 18588, 126851, 0, 594816, 32
0.0686045, 0.0447819, 0.0238202, 0.00190251, 18591, 125892, 100860, 594912, 32
0.0650562, 0.0459035, 0.0191497, 6.04e-06, 18582, 127024, 123, 594624, 32
0.0660413, 0.0459361, 0.0201031, 1.2537e-05, 18591, 125892, 246, 594912, 32
0.0988018, 0.0621278, 0.0366715, 0.0103081, 21182, 134333, 433575, 677824, 32
0.0835769, 0.0496736, 0.0339011, 0.00802318, 19055, 127497, 371460, 609760, 32
0.0882271, 0.0558698, 0.0323545, 0.00735107, 18399, 122339, 312789, 588768, 32
0.0825639, 0.0471198, 0.0354416, 0.0084744, 18663, 123880, 298152, 597216, 32
0.0866183, 0.0538923, 0.0327235, 0.00735295, 19145, 123167, 307746, 612640, 32
0.0633999, 0.0359232, 0.0274745, 0.00854215, 21764, 112338, 549810, 696448, 32
0.0583799, 0.0361078, 0.0222698, 0.00413071, 25707, 121818, 293847, 822624, 32
0.0578287, 0.0332455, 0.0245811, 0.00667974, 30156, 111923, 396306, 964992, 32
0.0451069, 0.0259996, 0.0191055, 0.00616304, 43464, 81426, 397413, 1.39085e+06, 32
0.0374792, 0.0236122, 0.0138631, 0.00247743, 42192, 72577, 164082, 1.35014e+06, 32
0.0399369, 0.0247863, 0.0151468, 0.00238787, 45356, 76703, 152151, 1.45139e+06, 32
0.0473435, 0.0296714, 0.0176699, 0.00363058, 48385, 74210, 148092, 1.54832e+06, 32
0.0599798, 0.0321417, 0.0278357, 0.0100066, 44036, 95150, 662847, 1.40915e+06, 32
0.0458949, 0.0276267, 0.0182658, 0.00316896, 39493, 84731, 229764, 1.26378e+06, 32
0.0425477, 0.0274821, 0.0150633, 0.0019815, 38750, 83332, 134316, 1.24e+06, 32
0.0388599, 0.0266741, 0.0121845, 0.00128169, 38233, 81358, 88929, 1.22346e+06, 32
0.0361346, 0.0264373, 0.0096959, 0.000528255, 38223, 80931, 31857, 1.22314e+06, 32
0.039577, 0.0271754, 0.012399, 0.000789032, 38214, 81444, 36285, 1.22285e+06, 32
0.0450942, 0.0329132, 0.0121778, 0.000901522, 38269, 82218, 52152, 1.22461e+06, 32
0.0381985, 0.0279759, 0.0102202, 0.000283103, 38205, 81921, 11808, 1.22256e+06, 32
0.0515104, 0.0341342, 0.0173745, 0.00292991, 43706, 96274, 171339, 1.39859e+06, 32
0.0585587, 0.0370699, 0.0214868, 0.00628281, 49489, 101684, 374166, 1.58365e+06, 32
0.0606152, 0.0393159, 0.0212973, 0.00648806, 47291, 105274, 407991, 1.51331e+06, 32
0.0730855, 0.0452326, 0.0278501, 0.00784133, 36775, 102123, 404670, 1.1768e+06, 32
0.0526035, 0.0303908, 0.0222099, 0.00774607, 49008, 85349, 526809, 1.56826e+06, 32
0.045166, 0.0282993, 0.016864, 0.0032011, 33168, 80441, 198399, 1.06138e+06, 32
0.0427758, 0.0283657, 0.0144069, 0.00188322, 32966, 79006, 114513, 1.05491e+06, 32
0.0419613, 0.0289386, 0.0130203, 0.000970729, 32908, 79003, 44772, 1.05306e+06, 32
0.0380244, 0.0201192, 0.0179032, 0.00638618, 38558, 68680, 458175, 1.23386e+06, 32
0.0324895, 0.0212121, 0.0112755, 0.000630325, 38631, 68726, 22017, 1.23619e+06, 32
0.0328657, 0.0215914, 0.0112717, 0.00149457, 38566, 68834, 102336, 1.23411e+06, 32
0.0402766, 0.0267132, 0.0135616, 0.00244292, 41333, 73273, 164451, 1.32266e+06, 32
0.0377648, 0.0246133, 0.01315, 0.0021981, 41911, 73974, 136284, 1.34115e+06, 32
0.040167, 0.0259493, 0.0142151, 0.00335092, 41741, 72521, 193725, 1.33571e+06, 32
0.0419941, 0.0271794, 0.0148125, 0.00325342, 49830, 78820, 230133, 1.59456e+06, 32
0.0444908, 0.0271082, 0.0173805, 0.00437571, 32981, 82065, 285237, 1.05539e+06, 32
0.042464, 0.0265412, 0.0159215, 0.00246263, 32331, 82349, 167772, 1.03459e+06, 32
0.0415223, 0.0281739, 0.0133466, 0.0015613, 32200, 81393, 104796, 1.0304e+06, 32
0.0471096, 0.0310438, 0.0160637, 0.00301565, 40575, 94461, 186468, 1.2984e+06, 32
0.0514886, 0.0337442, 0.0177423, 0.00335528, 45604, 100269, 206025, 1.45933e+06, 32
0.0495283, 0.0322986, 0.017228, 0.00374038, 49820, 96716, 249567, 1.59424e+06, 32
0.0452755, 0.0285618, 0.0167119, 0.00454446, 54226, 88740, 311436, 1.73523e+06, 32
0.0533759, 0.0328829, 0.0204909, 0.00472149, 38944, 84159, 266172, 1.24621e+06, 32
0.0559215, 0.0375152, 0.0184041, 0.00441218, 44896, 92072, 275397, 1.43667e+06, 32
0.0531541, 0.0340207, 0.0191314, 0.00428804, 37473, 94791, 273798, 1.19914e+06, 32
0.051686, 0.0342743, 0.0174096, 0.00238572, 29311, 88516, 134193, 937952, 32
0.0451616, 0.0324714, 0.0126883, 0.00141343, 28900, 87145, 88068, 924800, 32
0.0510116, 0.0352816, 0.0157284, 0.00218944, 42107, 93290, 130257, 1.34742e+06, 32
0.0513411, 0.0351946, 0.0161445, 0.00345068, 39254, 92477, 179826, 1.25613e+06, 32
0.0489392, 0.0322653, 0.0166719, 0.00549635, 54046, 71187, 383268, 1.72947e+06, 32
0.0398137, 0.0271098, 0.0127017, 0.00234709, 40500, 68952, 159777, 1.296e+06, 32
0.03804, 0.0271794, 0.0108577, 0.00135814, 36359, 67994, 85485, 1.16349e+06, 32
0.0379067, 0.0268298, 0.0110744, 0.00150637, 48659, 71980, 103074, 1.55709e+06, 32
0.0327077, 0.0236057, 0.00910005, 0.000888218, 40125, 62071, 48708, 1.284e+06, 32
0.0284074, 0.0193738, 0.0090307, 0.00156492, 42279, 58088, 109224, 1.35293e+06, 32
0.0259904, 0.0182037, 0.00778467, 0.00065318, 42273, 57880, 36285, 1.35274e+06, 32
0.0325226, 0.0216744, 0.0108462, 0.00263327, 56828, 65166, 192372, 1.8185e+06, 32
0.0405102, 0.0234205, 0.0170876, 0.00511475, 34285, 62822, 345753, 1.09712e+06, 32
0.0402508, 0.0242652, 0.0159835, 0.00439574, 24963, 71025, 349566, 798816, 32
0.0449226, 0.0293973, 0.0155228, 0.00305947, 26646, 74625, 216849, 852672, 32
0.0391684, 0.0253892, 0.0137778, 0.00236882, 15830, 71986, 147600, 506560, 32
0.0381123, 0.0271694, 0.01094, 0.000908123, 15783, 71355, 48585, 505056, 32
0.0435697, 0.0313771, 0.0121893, 0.00170673, 22190, 75667, 114513, 710080, 32
0.0391575, 0.0289503, 0.0102053, 0.0011858, 21729, 73909, 81549, 695328, 32
0.0403832, 0.0297194, 0.0106614, 0.00105281, 21509, 71111, 62115, 688288, 32
0.0423498, 0.0312385, 0.0111096, 0.0013186, 20296, 66551, 66912, 649472, 32
0.042048, 0.0299334, 0.0121127, 0.00173765, 28491, 75878, 105534, 911712, 32
0.0483937, 0.0335927, 0.0147994, 0.00225163, 38557, 83558, 153258, 1.23382e+06, 32
0.0477077, 0.03483, 0.0128756, 0.00160299, 40751, 79222, 101106, 1.30403e+06, 32
0.0463159, 0.0334597, 0.012853, 0.00151583, 41455, 80651, 93972, 1.32656e+06, 32
