elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,2863132,2840458,0,3798236,1330704,8295524,762808,0.0,0.0
1.039,3163284,3139653,0,3438464,1330704,8622920,762808,0.0,0.0
2.085,3205132,3181107,0,3350356,1330704,8704656,762808,0.0,0.0
3.12,3215444,3191435,0,3285612,1330704,8792344,762808,0.0,0.0
4.167,3227372,3203345,0,3248188,1330704,8807616,762808,0.0,0.0
5.207,3235116,3211087,0,3242420,1330704,8814968,762808,0.0,0.0
6.246,3247844,3223815,0,3232188,1330704,8829832,762808,0.0,0.0
7.284,3250712,3226677,0,3219268,1330704,8833624,762808,0.0,0.0
8.318,3254036,3230008,0,3238276,1330704,8837836,762808,0.0,0.0
9.349,3265360,3241331,0,3242440,1330704,8848952,762808,0.0,0.0
10.382,3271212,3247183,0,3201492,1330704,8855736,762808,0.0,0.0
11.418,3273648,3249624,0,3214000,1330704,8858392,762808,0.0,0.0
12.455,3275068,3251041,0,3224864,1330704,8860280,762808,0.0,0.0
13.492,3275664,3251634,0,3218876,1330704,8866492,762808,0.0,0.0
14.516,3278112,3254084,0,3232632,1330704,8862528,762808,0.0,0.0
15.551,3282352,3258320,0,3205996,1330704,8865708,762808,0.0,0.0
16.583,3282352,3258324,0,3202916,1330704,8866580,762808,0.0,0.0
17.616,3283396,3259368,0,3218104,1330704,8868068,762808,0.0,0.0
18.652,3285060,3261033,0,3214536,1330704,8869528,762808,0.0,0.0
19.688,3288808,3264778,0,3223056,1330704,8873348,762808,0.0,0.0
20.724,3291312,3267279,0,3234412,1330704,8876128,762808,0.0,0.0
21.76,3294148,3270121,0,3212000,1330704,8878688,762808,0.0,0.0
22.803,3294148,3270119,0,3201888,1330704,8878976,762808,0.0,0.0
23.837,3294696,3270667,0,3210120,1330704,8878856,762808,0.0,0.0
24.871,3294696,3270667,0,3211724,1330704,8879056,762808,0.0,0.0
25.897,3294696,3270668,0,3198936,1330704,8880044,762808,0.0,0.0
26.933,3295312,3271283,0,3203016,1330704,8880480,762808,0.0,0.0
27.962,3298020,3273991,0,3210176,1330704,8882904,762808,0.0,0.0
28.994,3299260,3275228,0,3199776,1330704,8885956,762808,0.0,0.0
30.038,3306052,3282022,0,3187452,1330704,8890080,762808,0.0,0.0
31.07,3308116,3284088,0,3214312,1330704,8891688,762808,0.0,0.0
32.109,3313612,3289584,0,3221804,1330704,8896228,762808,0.0,0.0
33.144,3315484,3291448,0,3186044,1330704,8897828,762808,0.0,0.0
34.18,3315904,3291867,0,3165916,1330704,8899612,762808,0.0,0.0
35.219,3316416,3292386,0,3191360,1330704,8900460,762808,0.0,0.0
36.267,3319320,3295291,0,3196900,1330704,8903524,762808,0.0,0.0
37.302,3321220,3297191,0,3188812,1330704,8906056,762808,0.0,0.0
38.337,3322216,3298187,0,3169536,1330704,8906672,762808,0.0,0.0
39.378,3322216,3298188,0,3163936,1330704,8906860,762808,0.0,0.0
40.406,3322216,3298188,0,3168184,1330704,8907012,762808,0.0,0.0
41.433,3322216,3298186,0,3149252,1330704,8907392,762808,0.0,0.0
42.467,3322436,3298407,0,3172400,1330704,8907992,762808,0.0,0.0
43.498,3322436,3298408,0,3168504,1330704,8908012,762808,0.0,0.0
44.531,3322436,3298391,0,3162980,1330704,8908740,762808,0.0,0.0
45.552,3322436,3298401,0,3177840,1330704,8908012,762808,0.0,0.0
46.584,3322436,3298407,0,3189400,1330704,8907912,762808,0.0,0.0
47.614,3322436,3298398,0,3195328,1330704,8908012,762808,0.0,0.0
48.643,3322436,3298409,0,3188516,1330704,8907808,762808,0.0,0.0
49.676,3322436,3298407,0,3180504,1330704,8908592,762808,0.0,0.0
50.704,3322436,3298407,0,3142248,1330704,8911724,762808,0.0,0.0
51.74,3322436,3298408,0,3134404,1330704,8913968,762808,0.0,0.0
