elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,2953460,2930602,0,3711360,1270616,8368000,717724,0.0,0.0
1.031,3163560,3139823,0,3297436,1270616,8606600,717724,0.0,0.0
2.063,3204220,3180170,0,3324456,1275992,8679896,723052,0.0,0.0
3.098,3219864,3195826,0,3183296,1275992,8764292,723052,0.0,0.0
4.127,3224988,3200935,0,3295836,1275992,8780632,723052,0.18,0.18
5.168,3231552,3207500,0,3298228,1281484,8782116,727988,0.18,0.18
6.2,3237156,3213104,0,3199580,1281740,8791232,727988,0.14,0.14
7.228,3240080,3216028,0,3334788,1281996,8795640,727988,0.14,0.14
8.258,3246244,3222191,0,3296448,1281996,8803588,727988,0.12,0.12
9.286,3252540,3228488,0,3231152,1281996,8810240,727988,0.12,0.12
10.313,3255636,3231587,0,3250788,1282252,8813576,727988,0.09,0.09
11.343,3259944,3235893,0,3229500,1282252,8819720,727988,0.09,0.09
12.403,3262880,3238826,0,3332896,1282252,8821960,727988,0.08,0.08
13.431,3267944,3243890,0,3309908,1282252,8826832,727988,0.08,0.08
14.46,3267944,3243890,0,3272172,1282252,8828608,727988,0.06,0.06
15.5,3272480,3248426,0,3264480,1282252,8833212,727988,0.06,0.06
16.53,3277588,3253534,0,3241564,1282252,8838580,727988,0.05,0.05
17.563,3278944,3254890,0,3226340,1282252,8838888,727988,0.05,0.05
18.596,3279340,3255286,0,3209900,1282252,8839312,727988,0.04,0.04
19.626,3279340,3255286,0,3184004,1282252,8840384,727988,0.03,0.03
20.657,3280104,3256050,0,3223144,1282252,8840776,727988,0.03,0.03
21.688,3280596,3256541,0,3234136,1282252,8842048,727988,0.02,0.02
22.716,3281080,3257026,0,3246076,1282252,8842176,727988,0.02,0.02
23.748,3285252,3261197,0,3243488,1282252,8845748,727988,0.02,0.02
24.783,3288160,3264104,0,3262484,1282252,8848432,727988,0.02,0.02
25.821,3290636,3266581,0,3260344,1282252,8850952,727988,0.01,0.01
26.853,3290636,3266580,0,3282568,1282252,8857872,727988,0.01,0.01
27.882,3290636,3266582,0,3294712,1282252,8851016,727988,0.01,0.01
28.914,3292980,3268924,0,3295380,1282252,8853964,727988,0.01,0.01
29.946,3292980,3268925,0,3268952,1282252,8853688,727988,0.01,0.01
30.977,3296536,3272480,0,3264632,1282252,8855948,727988,0.01,0.01
32.012,3296536,3272480,0,3261280,1282252,8856052,727988,0.0,0.0
33.041,3297316,3273261,0,3256648,1282252,8856680,727988,0.0,0.0
34.068,3298724,3274669,0,3251164,1282252,8857800,727988,0.0,0.0
35.096,3298724,3274669,0,3269992,1282252,8857980,727988,0.0,0.0
36.122,3305668,3281614,0,3269816,1282252,8864728,727988,0.0,0.0
37.152,3310008,3285953,0,3265756,1282252,8869112,727988,0.0,0.0
38.184,3310008,3285953,0,3243188,1282252,8870888,727988,0.0,0.0
39.22,3312176,3288122,0,3234840,1282252,8869088,727988,0.0,0.0
40.258,3312176,3288121,0,3249228,1282252,8871564,727988,0.0,0.0
41.289,3312176,3288120,0,3263136,1282252,8871384,727988,0.0,0.0
42.321,3314164,3290103,0,3267136,1282252,8874996,727988,0.0,0.0
43.351,3317772,3293717,0,3258308,1282252,8878084,727988,0.0,0.0
44.383,3319660,3295605,0,3263012,1282252,8880192,727988,0.0,0.0
45.416,3319660,3295605,0,3252552,1282252,8879760,727988,0.0,0.0
46.45,3320180,3296124,0,3249784,1282252,8878284,727988,0.0,0.0
47.485,3320992,3296937,0,3267488,1282252,8879336,727988,0.0,0.0
48.515,3320992,3296937,0,3260456,1282252,8879116,727988,0.0,0.0
49.545,3320992,3296937,0,3276808,1282252,8878900,727988,0.0,0.0
50.578,3320992,3296937,0,3245304,1282252,8878884,727988,0.0,0.0
51.606,3321060,3297005,0,3260444,1282252,8877936,727988,0.0,0.0
52.635,3321060,3297006,0,3247884,1282252,8878732,727988,0.0,0.0
53.667,3321060,3297005,0,3255176,1282252,8878752,727988,0.0,0.0
54.696,3321060,3297005,0,3252392,1282252,8879484,727988,0.0,0.0
55.727,3321060,3297006,0,3258916,1282252,8879408,727988,0.0,0.0
56.752,3321060,3297004,0,3265992,1282252,8878516,727988,0.0,0.0
57.78,3321060,3297004,0,3235612,1282252,8885780,727988,0.0,0.0
58.813,3321060,3297005,0,3209956,1282252,8880512,727988,0.0,0.0
59.846,3321372,3297316,0,3210064,1282252,8880816,727988,0.0,0.0
60.88,3321372,3297316,0,3191708,1282252,8880764,727988,0.0,0.0
61.911,3321372,3297317,0,3185732,1282252,8880352,727988,0.0,0.0
62.942,3324672,3300617,0,3175716,1282252,8883148,727988,0.0,0.0
63.974,3325304,3301250,0,3175792,1282252,8884492,727988,0.0,0.0
65.01,3325892,3301837,0,3175424,1282252,8885064,727988,0.0,0.0
66.038,3325892,3301839,0,3170296,1282252,8885836,727988,0.0,0.0
67.067,3326768,3302713,0,3211312,1330144,8851904,762808,0.0,0.0
68.1,3326768,3302713,0,3213680,1330144,8853016,762808,0.0,0.0
69.127,3328928,3304874,0,3199176,1330144,8861228,762808,0.0,0.0
70.158,3330364,3306308,0,3217668,1330144,8854516,762808,0.0,0.0
71.198,3330364,3306308,0,3206168,1330144,8856160,762808,0.0,0.0
72.235,3330364,3306308,0,3344692,1330380,8856476,762808,0.0,0.0
73.268,3330364,3306308,0,3310252,1330380,8858060,762808,0.0,0.0
74.297,3330984,3306928,0,3302628,1330380,8858884,762808,0.0,0.0
75.33,3331848,3307792,0,3293204,1330380,8859544,762808,0.0,0.0
76.368,3332900,3308844,0,3270536,1330380,8860352,762808,0.0,0.0
77.398,3332900,3308844,0,3274292,1330380,8859888,762808,0.0,0.0
78.429,3333584,3309529,0,3268856,1330380,8860132,762808,0.0,0.0
79.463,3335380,3311323,0,3233316,1330380,8865260,762808,0.0,0.0
80.498,3336704,3312648,0,3242980,1330380,8865876,762808,0.0,0.0
81.533,3336704,3312648,0,3239400,1330380,8865648,762808,0.0,0.0
82.566,3336704,3312648,0,3323588,1330704,8866104,762808,0.0,0.0
83.6,3336704,3312647,0,3285504,1330704,8865972,762808,0.0,0.0
84.635,3336704,3312647,0,3267156,1330704,8873068,762808,0.0,0.0
85.664,3336704,3312648,0,3277988,1330704,8865740,762808,0.0,0.0
86.694,3336704,3312648,0,3272760,1330704,8865612,762808,0.0,0.0
87.728,3336704,3312648,0,3247368,1330704,8866696,762808,0.0,0.0
88.765,3336704,3312648,0,3244244,1330704,8867436,762808,0.0,0.0
89.799,3336704,3312648,0,3252964,1330704,8867248,762808,0.0,0.0
90.835,3336704,3312648,0,3267944,1330704,8867800,762808,0.0,0.0
91.874,3336704,3312648,0,3286296,1330704,8866552,762808,0.0,0.0
92.908,3338020,3313964,0,3277828,1330704,8867740,762808,0.0,0.0
93.941,3338020,3313963,0,3295604,1330704,8867452,762808,0.0,0.0
94.975,3338020,3313965,0,3280652,1330704,8867432,762808,0.0,0.0
96.009,3338020,3313963,0,3242488,1330704,8873608,762808,0.0,0.0
97.037,3338020,3313964,0,3242080,1330704,8867412,762808,0.0,0.0
98.069,3345012,3320956,0,3243600,1330704,8875432,762808,0.0,0.0
99.105,3345012,3320955,0,3242560,1330704,8875708,762808,0.0,0.0
