Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.117794, 0.049361, 0.0684302, 0.0379975, 18611, 125772, 1.23221e+06, 595552, 32
0.0826956, 0.0472796, 0.0354139, 0.00927322, 18454, 125357, 622380, 590528, 32
0.0660119, 0.0416443, 0.0243653, 0.00261254, 18614, 127101, 125214, 595648, 32
0.0633764, 0.0414005, 0.0219738, 0.00122116, 18509, 127024, 52890, 592288, 32
0.0570925, 0.0381793, 0.0189111, 9.793e-05, 18581, 125671, 2952, 594592, 32
0.0583687, 0.0379473, 0.0204195, 0.00164892, 18591, 125892, 86469, 594912, 32
0.0557932, 0.0387731, 0.017018, 0.000374286, 18582, 127024, 16482, 594624, 32
0.0577696, 0.0399795, 0.0177879, 0, 18533, 126914, 0, 593056, 32
0.0789216, 0.0487874, 0.0301323, 0.00785846, 22653, 134980, 384129, 724896, 32
0.0776518, 0.0462541, 0.0313959, 0.00668295, 20521, 131981, 334314, 656672, 32
0.07004, 0.0439465, 0.0260915, 0.00637714, 18693, 126101, 329148, 598176, 32
0.0764099, 0.0432071, 0.0332005, 0.00860573, 18758, 124836, 368262, 600256, 32
0.0704998, 0.0403345, 0.030163, 0.00853728, 20465, 121537, 462726, 654880, 32
0.0707317, 0.0407001, 0.0300284, 0.00881437, 21800, 111897, 475026, 697600, 32
0.0587773, 0.0368278, 0.0219466, 0.00398652, 22625, 115356, 251535, 724000, 32
0.0563463, 0.0367741, 0.0195701, 0.00329732, 22643, 114498, 195939, 724576, 32
0.0588323, 0.0377159, 0.0211131, 0.00322023, 23953, 117358, 176382, 766496, 32
0.0583438, 0.0377923, 0.0205485, 0.00281366, 24527, 120014, 153996, 784864, 32
0.0540086, 0.0353445, 0.0186616, 0.0021234, 23703, 117534, 114267, 758496, 32
0.050645, 0.03218, 0.018463, 0.00150798, 22456, 111922, 83148, 718592, 32
0.0492509, 0.0323764, 0.0168723, 0.000737445, 22450, 112312, 33087, 718400, 32
0.0420139, 0.0240567, 0.0179552, 0.00583161, 44683, 85475, 380562, 1.42986e+06, 32
0.0312375, 0.0173378, 0.013897, 0.00397418, 41700, 66869, 312297, 1.3344e+06, 32
0.0407306, 0.025063, 0.015665, 0.00495523, 62637, 80468, 396921, 2.00438e+06, 32
0.0420417, 0.0265594, 0.0154805, 0.00447894, 58292, 86977, 360636, 1.86534e+06, 32
0.0388772, 0.0224997, 0.0163754, 0.00372163, 37503, 81902, 286590, 1.2001e+06, 32
0.0462519, 0.0277589, 0.0184914, 0.00459291, 42319, 99649, 304548, 1.35421e+06, 32
0.044713, 0.0277, 0.0170105, 0.00320586, 43045, 97538, 216972, 1.37744e+06, 32
0.0441012, 0.0295425, 0.0145551, 0.00217347, 42975, 97529, 161745, 1.3752e+06, 32
0.0406908, 0.0263868, 0.0143015, 0.00173355, 35916, 88423, 110946, 1.14931e+06, 32
0.0347788, 0.0242029, 0.010574, 4.107e-06, 35916, 88423, 123, 1.14931e+06, 32
0.0432894, 0.0291657, 0.0141216, 0.00175961, 47430, 99762, 117711, 1.51776e+06, 32
0.0453554, 0.0303455, 0.0150078, 0.00242919, 46437, 101324, 152520, 1.48598e+06, 32
0.0495409, 0.0286654, 0.0208737, 0.00628125, 29333, 95320, 387819, 938656, 32
0.0488377, 0.0287882, 0.0200479, 0.00607258, 34976, 90440, 435174, 1.11923e+06, 32
0.0492846, 0.0314072, 0.0178754, 0.00446448, 50425, 87945, 305040, 1.6136e+06, 32
0.0465139, 0.0292204, 0.0172921, 0.00393972, 36328, 85501, 271092, 1.1625e+06, 32
0.0402104, 0.0260132, 0.0141949, 0.00202908, 32023, 80537, 130380, 1.02474e+06, 32
0.0447354, 0.0265238, 0.0182094, 0.00484912, 37431, 94223, 308607, 1.19779e+06, 32
0.0375554, 0.021495, 0.0160585, 0.00372029, 32893, 77841, 261867, 1.05258e+06, 32
0.0356052, 0.0220869, 0.0135161, 0.00317146, 47597, 79836, 253134, 1.5231e+06, 32
0.029961, 0.0192747, 0.0106843, 0.00167322, 36642, 72204, 124599, 1.17254e+06, 32
0.0294983, 0.019706, 0.00978904, 0.000946625, 36730, 73002, 58056, 1.17536e+06, 32
0.035701, 0.0230077, 0.0126912, 0.00253794, 44526, 76277, 164082, 1.42483e+06, 32
0.0497172, 0.0262764, 0.0234382, 0.00821281, 37683, 95807, 586956, 1.20586e+06, 32
0.0406033, 0.0236119, 0.0169893, 0.00282229, 33151, 89233, 216111, 1.06083e+06, 32
