map,mode,n,completion_n,completion_pct,collision_free_n,collision_free_pct,collision_events,speed_valid_n,mean_time_s,max_time_s,mean_static_clearance_m,min_static_clearance_m,mean_map_payload_mib_s,mean_fsm_cpu_pct,mean_algorithm_cpu_cores,mean_algorithm_cpu_core_s,mean_end_to_end_cpu_cores,mean_end_to_end_cpu_core_s,mean_algorithm_peak_pss_mib,mean_kept_pct,effective_full_open_total,trajectory_guard_open_total,slowdown_refresh_total,nearfield_no_hit_results,nearfield_occupied_results,nearfield_egress_results,nearfield_stale_results,nearfield_enforce_brakes,nearfield_worker_mean_ms,nearfield_worker_p95_ms,nearfield_worker_max_ms,retry_count,oom_kill_delta
seed1,full,10,10,100,10,100,0,10,64.651,71.64,0.2646,0.213,3.402474,108.369524,1.084,71.883727,1.259404,83.575302,3198.342285,,0,0,0,4306,0,0,0,0,2.666994,4.526,11.706,0,0
seed1,sector,10,10,100,10,100,0,10,64.219,72.1,0.2753,0.141,0.923484,90.987475,0.93409,61.337392,1.11176,73.075428,3212.982129,44.5414,0,0,0,4179,0,0,20,0,2.528828,4.424,13.74,0,0
seed1,adaptive,10,10,100,10,100,0,10,64.154,66.9,0.273,0.217,1.535801,96.112817,0.987955,65.037537,1.158835,76.287015,3225.985645,56.3629,170,58,419,4240,0,0,8,0,2.505412,4.244,24.493,0,0
seed2,full,10,10,100,10,100,0,10,59.338,65.61,0.3198,0.285,3.494957,114.036087,1.140843,69.644323,1.319262,80.554571,3194.343262,,0,0,0,4081,0,0,0,0,2.773763,4.66,12.061,0,0
seed2,sector,10,10,100,10,100,0,10,59.118,66.4,0.2964,0.268,0.993177,98.713653,1.011722,61.262761,1.189276,72.046333,3212.83252,42.7362,0,0,0,4173,0,0,10,0,2.697679,4.577,18.662,0,0
seed2,adaptive,10,10,100,10,100,0,10,61.973,67.75,0.298,0.209,1.55394,95.683632,0.983994,62.361106,1.164774,73.85075,3223.084277,57.1376,160,65,394,3919,0,0,7,0,2.575358,4.378,14.787,0,0
seed3,full,10,10,100,10,100,0,10,68.946,77.61,0.2956,0.254,3.792234,95.759312,0.957756,67.473062,1.135623,80.062374,3213.190039,,0,0,0,3294,0,0,0,0,3.260019,5.876,14.692,0,0
seed3,sector,10,10,100,10,100,0,10,68.216,78.1,0.2679,0.184,1.125039,83.081305,0.856433,59.461593,1.037337,72.131046,3227.994824,45.6545,0,0,0,3199,0,0,47,0,2.825991,5.301,10.765,0,0
seed3,adaptive,10,10,100,10,100,0,10,75.74,85.55,0.2967,0.221,1.985418,77.892915,0.807397,62.431568,0.990311,76.641679,3243.542969,65.095,88,59,488,2980,0,0,30,0,2.81416,5.094,16.717,0,0
seed4,full,10,10,100,10,100,0,10,78.136,84.11,0.2241,0.101,3.97002,88.84734,0.888629,70.808974,1.07222,85.490955,3226.425098,,0,0,0,3609,1,1,0,1,3.554432,6.447,23.995,0,0
