seed,full_raw,full_static_safe,full_all_detector_safe,full_contact_runs,full_contact_events,full_mean_time_s,full_max_time_s,full_worst_static_clearance_m,sector_raw,sector_static_safe,sector_all_detector_safe,sector_contact_runs,sector_contact_events,sector_mean_time_s,sector_max_time_s,sector_worst_static_clearance_m,adaptive_raw,adaptive_static_safe,adaptive_all_detector_safe,adaptive_contact_runs,adaptive_contact_events,adaptive_mean_time_s,adaptive_max_time_s,adaptive_worst_static_clearance_m,adaptive_effective_open_transitions,adaptive_effective_close_transitions,adaptive_full_open_duty_pct,adaptive_retained_input_pct
1,5,5,5,0,0,58.20,61.08,0.219,5,5,5,0,0,59.43,61.68,0.258,5,5,5,0,0,63.27,68.24,0.261,121,121,21.686,38.925
2,5,5,5,0,0,57.05,61.28,0.248,5,5,5,0,0,58.63,67.59,0.158,5,5,5,0,0,61.63,65.61,0.224,118,118,21.490,39.738
3,5,5,5,0,0,68.25,78.01,0.260,5,5,5,0,0,67.87,73.59,0.209,5,5,5,0,0,79.31,87.64,0.223,145,145,22.404,46.171
4,5,5,5,0,0,77.62,87.04,0.195,5,5,5,0,0,78.20,91.50,0.189,5,5,5,0,0,82.81,98.73,0.236,113,113,17.574,47.129
5,5,5,5,0,0,74.13,84.00,0.268,5,5,5,0,0,74.14,82.28,0.248,5,5,5,0,0,91.67,113.68,0.237,159,158,22.906,48.846
6,5,5,5,0,0,73.33,79.75,0.227,5,5,5,0,0,90.37,107.16,0.188,5,5,5,0,0,90.21,116.56,0.249,154,153,22.010,49.814
7,5,4,4,1,2,85.81,90.40,-0.146,5,5,5,0,0,89.68,100.05,0.199,5,5,5,0,0,111.07,131.19,0.259,167,167,21.508,53.855
8,5,5,5,0,0,80.16,85.08,0.185,5,5,4,1,1,79.08,85.95,0.042,5,5,5,0,0,95.39,108.35,0.237,152,151,21.950,50.398
9,5,5,5,0,0,90.10,104.26,0.234,5,5,5,0,0,100.92,122.71,0.068,5,5,5,0,0,122.80,141.55,0.141,187,185,24.075,55.104
10,5,5,5,0,0,88.25,104.87,0.171,5,3,3,2,5,109.93,134.32,-0.027,5,5,5,0,0,123.07,137.33,0.155,202,201,26.079,55.032
