Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0660023, 0.0308191, 0.0351813, 0.0181519, 18514, 126344, 1.24365e+06, 592448, 32
0.0445674, 0.0251408, 0.0194255, 0.00444846, 18603, 126583, 489048, 595296, 32
0.039123, 0.0231362, 0.0159853, 0.00245698, 18597, 125675, 238620, 595104, 32
0.0364513, 0.0243644, 0.0120855, 0, 18603, 125693, 0, 595296, 32
0.0409438, 0.0232792, 0.0176629, 0, 18582, 127234, 0, 594624, 32
0.113247, 0.094101, 0.0191438, 0.00153465, 18518, 126852, 85362, 592576, 32
0.0464591, 0.0316431, 0.0148149, 9.865e-06, 18611, 125772, 246, 595552, 32
0.0571964, 0.0323502, 0.0248447, 0.00585065, 23109, 133978, 399504, 739488, 32
0.053942, 0.0297141, 0.024226, 0.00469662, 21164, 134003, 326565, 677248, 32
0.0468936, 0.0241238, 0.0227683, 0.00586391, 18320, 121306, 401349, 586240, 32
0.0462887, 0.0242061, 0.0220813, 0.00489066, 18693, 124706, 317463, 598176, 32
0.0453397, 0.0243019, 0.0210368, 0.00449187, 19225, 124190, 328041, 615200, 32
0.0452133, 0.0239562, 0.0212551, 0.00682747, 29416, 124877, 628161, 941312, 32
0.0351723, 0.0205114, 0.0146591, 0.00264446, 21654, 110627, 256209, 692928, 32
0.0372653, 0.0227469, 0.0145169, 0.00184715, 21648, 111994, 166296, 692736, 32
0.0320275, 0.0208971, 0.0111288, 0.000235229, 21649, 112013, 10947, 692768, 32
0.0338669, 0.0203977, 0.0134675, 0.00123174, 21626, 110860, 91512, 692032, 32
0.0313593, 0.020647, 0.0107109, 0.000105456, 21648, 112164, 4428, 692736, 32
0.0344268, 0.0223174, 0.0121072, 0.000744019, 21585, 111216, 45879, 690720, 32
0.0309687, 0.020819, 0.0101472, 1.8271e-05, 21654, 111055, 369, 692928, 32
0.0307109, 0.0208478, 0.00986026, 1.9822e-05, 21652, 110632, 738, 692864, 32
0.0315531, 0.0209579, 0.0105934, 0.000226812, 21699, 111241, 11439, 694368, 32
0.0297853, 0.0199958, 0.00978796, 0, 21602, 110042, 0, 691264, 32
0.0306214, 0.0202688, 0.0103512, 0.000141118, 21633, 111467, 5289, 692256, 32
0.0301317, 0.0200771, 0.0100536, 1.5302e-05, 21682, 110564, 615, 693824, 32
0.0306341, 0.0204524, 0.0101804, 1.1235e-05, 21655, 112049, 369, 692960, 32
0.0294336, 0.0200521, 0.00937993, 4.076e-06, 21627, 111202, 123, 692064, 32
0.0313045, 0.021834, 0.00946909, 0, 21697, 112467, 0, 694304, 32
0.0313143, 0.0213341, 0.00997876, 4.542e-06, 21686, 112051, 123, 693952, 32
0.0326043, 0.0212321, 0.0113703, 0, 21644, 110398, 0, 692608, 32
0.0318403, 0.0215827, 0.0102558, 4.866e-06, 21590, 111284, 123, 690880, 32
0.0318399, 0.0211567, 0.0106816, 0, 21659, 110370, 0, 693088, 32
0.0295623, 0.0204854, 0.00907493, 0, 21699, 111241, 0, 694368, 32
0.0290284, 0.0203135, 0.00871278, 0, 21652, 110049, 0, 692864, 32
0.0294178, 0.0202737, 0.00914143, 4.514e-06, 21667, 111140, 123, 693344, 32
0.0288064, 0.0202519, 0.00855111, 4.313e-06, 21630, 110081, 123, 692160, 32
0.0293829, 0.020193, 0.00918866, 0, 21691, 111244, 0, 694112, 32
0.029324, 0.0204773, 0.00884535, 0, 21668, 110316, 0, 693376, 32
0.0312112, 0.0212634, 0.00994624, 4.067e-06, 21635, 110444, 123, 692320, 32
0.0319518, 0.021901, 0.0100496, 8.755e-06, 21610, 110743, 246, 691520, 32
0.03104, 0.0212213, 0.00981694, 1.2325e-05, 21689, 112047, 369, 694048, 32
0.031093, 0.021495, 0.00959585, 5.179e-06, 21627, 110383, 123, 692064, 32
0.0306776, 0.021359, 0.00931719, 0, 21682, 110721, 0, 693824, 32
0.0305168, 0.0212998, 0.00921552, 0, 21707, 112571, 0, 694624, 32
0.0295558, 0.0207915, 0.0087629, 4.178e-06, 21654, 110627, 123, 692928, 32
0.0293784, 0.0202816, 0.00909527, 4.076e-06, 21585, 111216, 123, 690720, 32
0.0392255, 0.0298042, 0.0094191, 0, 21627, 111005, 0, 692064, 32
0.0298104, 0.0171432, 0.0126655, 0.00355798, 45440, 90143, 309468, 1.45408e+06, 32
0.0288237, 0.0173937, 0.011428, 0.00331779, 44845, 82644, 301227, 1.43504e+06, 32
0.0328062, 0.0196974, 0.0131073, 0.00443283, 53862, 74891, 373428, 1.72358e+06, 32
0.0264093, 0.0156154, 0.0107926, 0.00277249, 43866, 74228, 281301, 1.40371e+06, 32
0.0240989, 0.0151675, 0.00892936, 0.00172478, 43706, 71803, 165312, 1.39859e+06, 32
0.0244997, 0.0159049, 0.00859231, 0.00160702, 48032, 72613, 141327, 1.53702e+06, 32
0.0206092, 0.0136317, 0.00697529, 0.000784808, 38505, 66588, 64452, 1.23216e+06, 32
0.0199576, 0.0135276, 0.00642821, 0.000549364, 38498, 66248, 44034, 1.23194e+06, 32
0.0188028, 0.0136214, 0.00517947, 3.4223e-05, 38494, 66229, 1107, 1.23181e+06, 32
0.0196363, 0.0134519, 0.00618194, 0.000428793, 38469, 64777, 28044, 1.23101e+06, 32
0.0197534, 0.0140631, 0.00568874, 8.3738e-05, 38547, 66681, 3444, 1.2335e+06, 32
0.0190163, 0.0137803, 0.00523384, 4.752e-06, 38454, 64869, 123, 1.23053e+06, 32
0.0186853, 0.0135073, 0.00517476, 0, 38557, 65932, 0, 1.23382e+06, 32
0.0201673, 0.0145395, 0.0056258, 0.000187444, 38591, 66550, 9840, 1.23491e+06, 32
0.0188523, 0.0138218, 0.00502894, 6.098e-06, 38514, 66353, 123, 1.23245e+06, 32
0.0185904, 0.0134763, 0.00511195, 0, 38573, 67043, 0, 1.23434e+06, 32
0.0177337, 0.0128269, 0.00490505, 4.412e-06, 38493, 66226, 123, 1.23178e+06, 32
0.0184951, 0.0134231, 0.00506989, 4.175e-06, 38505, 66585, 123, 1.23216e+06, 32
0.018439, 0.0134088, 0.00502853, 0, 38498, 65463, 0, 1.23194e+06, 32
0.0184864, 0.0134933, 0.00499124, 0, 38534, 66689, 0, 1.23309e+06, 32
0.0199347, 0.0140197, 0.00591279, 0, 38550, 66760, 0, 1.2336e+06, 32
0.0187432, 0.0136293, 0.00511203, 1.618e-05, 38576, 66579, 369, 1.23443e+06, 32
0.018725, 0.0138353, 0.00488804, 4.269e-06, 38557, 66348, 123, 1.23382e+06, 32
0.0188673, 0.0139128, 0.00495293, 1.3508e-05, 38574, 66634, 369, 1.23437e+06, 32
0.0192506, 0.0142382, 0.00501052, 0, 38573, 66863, 0, 1.23434e+06, 32
0.0186086, 0.0134277, 0.00517938, 0, 38552, 66563, 0, 1.23366e+06, 32
0.0214816, 0.0145431, 0.00693598, 0, 38538, 66753, 0, 1.23322e+06, 32
0.0207439, 0.0154808, 0.00526131, 0, 38560, 66475, 0, 1.23392e+06, 32
0.0191343, 0.0140284, 0.00510459, 6.579e-06, 38598, 66480, 123, 1.23514e+06, 32
0.0186313, 0.0136471, 0.00498297, 0, 38547, 66622, 0, 1.2335e+06, 32
0.0186447, 0.0137484, 0.00489397, 0, 38442, 64792, 0, 1.23014e+06, 32
0.0184477, 0.0136198, 0.00482627, 0, 38546, 67022, 0, 1.23347e+06, 32
