elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3203440,3180070,0,7865692,0,6294776,0,0.0,0.0
1.025,3206060,3181858,0,7786952,0,6361176,0,0.0,0.0
2.045,3216256,3191967,0,7782784,0,6373668,0,0.0,0.0
3.066,3224324,3200034,0,7571672,0,6566808,0,0.0,0.0
4.086,3230048,3205759,0,7564628,0,6575692,0,0.0,0.0
5.111,3233952,3209663,0,7562288,0,6578676,0,0.0,0.0
6.133,3234748,3210458,0,7562536,0,6580092,0,0.0,0.0
7.153,3235204,3210914,0,7560256,0,6580828,0,0.0,0.0
8.174,3238460,3214171,0,7560524,0,6585432,0,0.0,0.0
9.193,3242088,3217798,0,7570500,0,6588612,0,0.0,0.0
10.216,3245176,3220887,0,7568504,0,6591532,0,0.0,0.0
11.238,3248832,3224543,0,7572688,0,6597488,0,0.0,0.0
12.258,3250060,3225771,0,7570660,0,6597680,0,0.0,0.0
13.282,3250060,3225771,0,7570748,0,6598416,0,0.0,0.0
14.303,3250496,3226207,0,7576432,0,6598180,0,0.0,0.0
15.329,3251828,3227539,0,7574560,0,6599608,0,0.0,0.0
16.354,3251828,3227539,0,7574648,0,6600364,0,0.0,0.0
17.373,3256712,3232422,0,7566360,0,6605724,0,0.0,0.0
18.399,3256712,3232423,0,7573260,0,6606348,0,0.0,0.0
19.419,3257256,3232966,0,7572896,0,6606404,0,0.0,0.0
20.44,3257552,3233263,0,7576296,0,6605664,0,0.0,0.0
21.457,3257564,3233275,0,7576852,0,6605376,0,0.0,0.0
22.478,3257564,3233275,0,7583932,0,6605604,0,0.0,0.0
23.5,3260384,3236094,0,7582884,0,6608772,0,0.0,0.0
24.52,3264064,3239774,0,7582560,0,6611752,0,0.0,0.0
25.546,3265988,3241698,0,7579244,0,6614232,0,0.0,0.0
26.566,3272628,3248339,0,7575548,0,6621276,0,0.0,0.0
27.588,3276500,3252210,0,7568660,0,6625572,0,0.0,0.0
28.609,3279036,3254747,0,7566772,0,6628392,0,0.0,0.0
29.633,3279560,3255271,0,7563684,0,6627296,0,0.0,0.0
30.657,3279632,3255343,0,7564780,0,6628216,0,0.0,0.0
31.681,3279632,3255343,0,7569276,0,6628536,0,0.0,0.0
32.708,3279632,3255338,0,7557556,0,6636560,0,0.0,0.0
33.731,3279632,3255344,0,7575848,0,6632252,0,0.0,0.0
34.748,3281004,3256716,0,7574040,0,6635784,0,0.0,0.0
35.769,3281004,3256717,0,7570972,0,6634944,0,0.0,0.0
36.79,3281004,3256719,0,7572748,0,6635004,0,0.0,0.0
37.811,3281012,3256724,0,7574476,0,6635056,0,0.0,0.0
38.837,3281012,3256724,0,7573660,0,6635544,0,0.0,0.0
39.859,3281012,3256723,0,7573876,0,6636428,0,0.0,0.0
40.882,3281012,3256723,0,7573388,0,6636244,0,0.0,0.0
41.906,3282140,3257852,0,7568636,0,6636616,0,0.0,0.0
42.932,3282408,3258120,0,7567628,0,6637328,0,0.0,0.0
43.955,3283124,3258835,0,7565284,0,6637576,0,0.0,0.0
44.978,3283124,3258836,0,7565380,0,6636832,0,0.0,0.0
46.004,3283536,3259248,0,7567520,0,6637964,0,0.0,0.0
47.027,3284512,3260224,0,7570460,0,6638672,0,0.0,0.0
48.047,3288228,3263940,0,7567256,0,6641776,0,0.0,0.0
49.068,3290988,3266700,0,7563792,0,6644268,0,0.0,0.0
50.091,3291628,3267340,0,7562384,0,6644660,0,0.0,0.0
51.114,3292260,3267972,0,7560448,0,6645168,0,0.0,0.0
52.139,3294876,3270588,0,7553288,0,6649120,0,0.0,0.0
53.163,3294904,3270616,0,7557016,0,6647264,0,0.0,0.0
54.187,3294928,3270640,0,7556156,0,6648600,0,0.0,0.0
55.209,3295352,3271064,0,7555180,0,6649140,0,0.0,0.0
56.235,3295380,3271092,0,7551960,0,6648508,0,0.0,0.0
57.259,3295404,3271120,0,7551644,0,6648612,0,0.0,0.0
58.285,3295432,3271148,0,7550308,0,6648892,0,0.0,0.0
59.31,3295460,3271172,0,7553724,0,6647424,0,0.0,0.0
60.337,3295484,3271196,0,7552092,0,6648456,0,0.0,0.0
61.364,3295512,3271224,0,7550820,0,6648348,0,0.0,0.0
62.391,3295528,3271240,0,7549356,0,6649244,0,0.0,0.0
63.418,3295556,3271268,0,7549100,0,6647540,0,0.0,0.0
64.447,3295568,3271280,0,7555180,0,6646352,0,0.0,0.0
65.469,3296108,3271820,0,7556176,0,6646972,0,0.0,0.0
66.495,3296140,3271852,0,7553604,0,6648548,0,0.0,0.0
67.521,3297648,3273360,0,7552464,0,6650108,0,0.0,0.0
68.551,3298100,3273812,0,7550204,0,6652620,0,0.0,0.0
69.575,3298124,3273837,0,7547552,0,6653840,0,0.0,0.0
70.602,3298152,3273864,0,7546032,0,6654744,0,0.0,0.0
71.629,3299000,3274712,0,7535964,0,6655808,0,0.0,0.0
72.653,3307960,3283672,0,7532748,0,6665244,0,0.0,0.0
73.676,3308828,3284547,0,7533652,0,6666844,0,0.0,0.0
74.701,3310540,3286252,0,7532472,0,6668036,0,0.0,0.0
75.727,3311328,3287040,0,7531000,0,6668812,0,0.0,0.0
76.75,3311352,3287064,0,7530088,0,6667356,0,0.0,0.0
77.775,3311788,3287500,0,7532540,0,6668356,0,0.0,0.0
78.8,3311768,3288351,0,7587688,0,6602868,0,0.0,0.0
78.828,3311768,3288351,0,7588012,0,6602732,0,0.0,0.0
