Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0690923, 0.0321398, 0.0369498, 0.0184347, 18591, 125892, 1.23135e+06, 594912, 32
0.0422373, 0.0246317, 0.0176034, 0.00481904, 18582, 127236, 588678, 594624, 32
0.0409256, 0.0266136, 0.0143103, 0.00109036, 18597, 125675, 80811, 595104, 32
0.0389847, 0.0269039, 0.0120791, 0, 18603, 125693, 0, 595296, 32
0.044582, 0.0300878, 0.0144923, 0, 18592, 126558, 0, 594944, 32
0.0401527, 0.0245736, 0.0155767, 4.099e-06, 18603, 125653, 123, 595296, 32
0.0973956, 0.0721306, 0.0252635, 0.0040802, 18518, 126852, 268386, 592576, 32
0.0459212, 0.0304581, 0.015461, 0, 18611, 125772, 0, 595552, 32
0.0503196, 0.0282754, 0.0220429, 0.0043883, 23582, 129405, 321522, 754624, 32
0.0500164, 0.0294198, 0.0205954, 0.00529822, 25233, 137349, 390156, 807456, 32
0.0477987, 0.0277329, 0.0200644, 0.00471359, 21863, 134129, 379086, 699616, 32
0.0464999, 0.0248676, 0.0216309, 0.0045953, 19199, 127221, 330255, 614368, 32
0.0468154, 0.0229733, 0.0238405, 0.00678541, 20256, 121167, 492492, 648192, 32
0.0469725, 0.0271608, 0.0198102, 0.00614479, 32786, 125574, 565923, 1.04915e+06, 32
0.0390815, 0.0233105, 0.0157694, 0.00278784, 27388, 122585, 283761, 876416, 32
0.0446855, 0.0257692, 0.018912, 0.0023861, 31918, 122518, 195324, 1.02138e+06, 32
0.0467066, 0.0314733, 0.0152303, 0.00223827, 31933, 122179, 167526, 1.02186e+06, 32
0.0302232, 0.0174282, 0.0127932, 0.00422473, 48572, 87088, 429762, 1.5543e+06, 32
0.0261178, 0.016235, 0.00988126, 0.00195551, 50415, 81642, 208977, 1.61328e+06, 32
0.0267515, 0.0186205, 0.0081291, 0.000773054, 50453, 81755, 64452, 1.6145e+06, 32
0.0230543, 0.0137369, 0.00931603, 0.00139812, 43167, 73329, 137022, 1.38134e+06, 32
0.019555, 0.0132786, 0.00627483, 0.000218157, 43104, 72672, 10578, 1.37933e+06, 32
0.0235912, 0.0156721, 0.00791748, 0.00091882, 43177, 74475, 90159, 1.38166e+06, 32
0.0254893, 0.0156229, 0.00986466, 0.00108299, 45810, 84953, 94710, 1.46592e+06, 32
0.0333055, 0.0199389, 0.0133648, 0.00277071, 46931, 111722, 253749, 1.50179e+06, 32
0.0317972, 0.019043, 0.0127526, 0.0021657, 40827, 113209, 209961, 1.30646e+06, 32
0.0340193, 0.0200462, 0.0139707, 0.00250398, 28956, 114407, 208854, 926592, 32
0.0372092, 0.0222425, 0.014965, 0.00235021, 26915, 114815, 209838, 861280, 32
0.0334264, 0.0197358, 0.0136889, 0.0021674, 26057, 116990, 191511, 833824, 32
0.0344424, 0.0232214, 0.0112188, 0.00148438, 23396, 108389, 135792, 748672, 32
0.0331849, 0.0227997, 0.0103831, 0.00063844, 23403, 108580, 40836, 748896, 32
0.0308025, 0.0184546, 0.0123462, 0.00102653, 23372, 108131, 69003, 747904, 32
0.0340502, 0.0206401, 0.0134088, 0.00180386, 29455, 116501, 140220, 942560, 32
0.0352644, 0.0205298, 0.0147331, 0.00404903, 29691, 102045, 361005, 950112, 32
